165	383	take out	hand	cauliflower	counter,cupboard	The person gets out a cauliflower.	She gets out the cauliflower.	A woman enters the kitchen, retrieves a cauliflower from the pantry and places it on the counter.	Cauliflower is removed from the cabinet.	Cauliflower is removed from the cabinet.	She took out cauliflower	She took out cauliflower	She took out cauliflower	She took out cauliflower	Woman walks to refrigerator. . Woman takes out cauliflower and places it on the counter.	The person gets a cauliflower from the pantry.	The woman removed the cauliflower from the cabinet and places it on the counter.	The person gets out a cauliflower.
422	523	take out	hand	knife	counter,drawer				The person removes a knife. 	The person removes a knife. 		She took out knife	She took out knife					
528	556	close	hand		drawer	The person gets out a knife.					She took out knife			She took out a knife	Woman takes paring knife out of drawer and places it on the counter.	The person removes a paring knife from a cutlery drawer.		The person gets out a knife.
572	680	take out	hand	colander	counter,drawer				The person removes a colander. 	The person removes a colander. 	She took out bowl	She took out bowl	She took out bowl	She took out a bowl		The person takes a colander from a drawer.		
689	932	take out	hand	bowl	counter,drawer	The person gets out a silver bowl and a blue bowl.	She gets out the needed equipment.	She removes a knife, a colander and a bowl from the drawer and places them on the counter. 	The person removes a bowl. 	The person removes a bowl. 	She took out second bowl		She took out plastic bowl	She took out second bowl	Woman takes colander and bowl out of cabinet and places them on the counter.	The person takes a plastic bowl from a drawer and sets it on the countertop.	She removes a knife and bowls from the drawer and puts them on the counter.	The person gets out a colander and a plastic bowl.
1005	1079	cut	knife	cauliflower	counter													
1080	1111	add	hand	cauliflower	bowl,counter						She cut off bottom of cauliflower							
1120	1182	cut	knife	cauliflower	counter													
1185	1222	add	hand	cauliflower	bowl,counter													
1237	1285	cut	knife	cauliflower	counter													
1286	1333	add	hand	cauliflower	bowl,counter													
1348	1414	cut	knife	cauliflower	counter													
1445	1487	cut	knife	cauliflower	counter													
1490	1534	add	hand	cauliflower	bowl,counter													
1550	1606	cut	knife	cauliflower	counter													
1609	1631	add	hand	cauliflower	bowl,counter													
1657	1707	cut	knife	cauliflower	counter													
1729	1770	cut	knife	cauliflower	counter													
1772	1797	add	hand	cauliflower	bowl,counter													
1810	1868	cut	knife	cauliflower	counter													
1875	1899	add	hand	cauliflower	bowl,counter													
1918	1962	cut	knife	cauliflower	counter													
1972	1995	add	hand	cauliflower	bowl,counter													
2012	2052	cut	knife	cauliflower	counter													
2053	2078	add	hand	cauliflower	bowl,counter													
2091	2132	cut	knife	cauliflower	counter													
2135	2154	add	hand	cauliflower	bowl,counter													
2193	2229	cut	knife	cauliflower	counter													
2231	2245	add	hand	cauliflower	bowl,counter													
2277	2318	cut	knife	cauliflower	counter													
2322	2334	add	hand	cauliflower	bowl,counter													
2352	2386	cut	knife	cauliflower	counter													
2386	2401	add	hand	cauliflower	bowl,counter													
2418	2439	cut	knife	cauliflower	counter													
2440	2452	add	hand	cauliflower	bowl,counter													
2507	2530	take apart	hand	cauliflower														
2532	2541	add	hand	cauliflower	bowl,counter								She cut leaves off cauliflower					
2560	2583	cut	knife	cauliflower	counter													
2592	2638	add	hand	cauliflower	bowl,counter				The cauliflower leaves are trimmed. 	The cauliflower leaves are trimmed off and placed in the bowl. 	She cut off leaves	She cut off leaves			The woman uses the paring knife to trim the leaves off of the cauliflower and puts them in the bowl.		She cuts all of the leaves off of the base of the cauliflower.	
2672	2948	cut	knife	cauliflower	counter				The stalk is removed.				She cut stem off cauliflower					
2949	2968	add	hand	,bowl						The stalk is removed and placed in the bowl.	She cut off stem	She cut off stem		She took off leaves	The woman uses the paring knife to cut the stem from the bottom of the cauliflower and places it in the bowl.	The person uses the paring knife to remove the leaves from the cauliflower as well as the stem.	She cuts the stem off the cauliflower.	The person cuts the leaves and stem off the cauliflower and puts them in the plastic bowl.
3039	3082	cut	knife	cauliflower	counter		She removes the bad parts of the cauliflower.											
3086	3169	take apart	hand	cauliflower	counter													
3173	3189	add	hand	cauliflower	,bowl													
3209	3256	cut	knife	cauliflower	counter											The person puts the stems and leaves into the plastic bowl.		
3268	3339	take apart	hand	cauliflower	counter	The person cuts pieces off the bottom of the cauliflower and puts them in the blue bowl.		She cut off and removed the base and all the leaves from the cauliflower placing them into the bowl.										
3339	3367	purge	hand	cauliflower	,bowl													
3367	3423	purge	hand	cauliflower	,bowl													
3448	3466	move	hand	bowl	counter													
3503	3690	purge	knife	cauliflower	,bowl													
3691	3717	add	hand	cauliflower	,colander													
3733	3807	cut	knife	cauliflower	counter													
3813	3892	take apart	hand	cauliflower	,counter													
3897	4124	purge	knife	cauliflower	,bowl													
4128	4159	add	hand	cauliflower	,colander												She cuts individual florets off the cauliflower and trims them with a knife.	
4172	4256	cut	knife	cauliflower	counter													
4270	4382	take apart	hand	cauliflower	counter													
4390	4437	cut	knife	cauliflower	counter													
4440	4469	take apart	hand	cauliflower	counter													
4485	4524	take apart	hand	cauliflower	,bowl													
4524	4566	add	hand	cauliflower	bowl,counter													
4566	4834	purge	knife	cauliflower	,bowl													
4834	4854	add	hand	cauliflower	,colander												She continues trimming individual florets and placing them in a bowl.	
4887	4970	cut	knife	cauliflower	counter													
4974	4998	take apart	hand	cauliflower	counter													
5012	5085	add	hand	cauliflower	,colander						She cut cauliflower into pieces							
5104	5172	cut	knife	cauliflower	counter													
5177	5233	take apart	hand	cauliflower	counter													
5292	5452	purge	knife	cauliflower	,bowl													
5451	5472	add	hand	cauliflower	,colander													
5522	5625	cut	knife	cauliflower	counter													
5631	5677	take apart	hand	cauliflower	,counter													
5681	5885	purge	knife	cauliflower	,bowl													
5890	5908	add	hand	cauliflower	,colander													
5936	5998	cut	knife	cauliflower	counter													
6007	6044	take apart	hand	cauliflower	counter													
6060	6089	purge	hand	cauliflower	,bowl													
6089	6182	purge	knife	cauliflower	,bowl													
6201	6227	add	hand	cauliflower	,colander													
6308	6357	cut	knife	cauliflower	counter													
6357	6413	add	hand	cauliflower	bowl,cauliflower	The person pulls off pieces of the cauliflower, trims them and puts them in the silver bowl.												
6417	6479	cut	knife	cauliflower	counter													
