145	448	take out	hand	pineapple	counter,cupboard	The woman got the pineapple out of the cupboard.	A pineapple is removed from the cabinet.			She gets a pineapple. 	She gets a pineapple.	The person gets out a pineapple.	The person takes out a pineapple.	The person removes a pineapple from the cabinet.		The person gets out a pineapple.	She took out pineapple	The person gets out a pineapple.	The person gets out a pineapple.		The person procures a pineapple from the pantry.	She took out pineapple	She grabs the pineapple out of the cabinet and places it on the counter.
469	682	take out	hand	knife	counter,drawer												She took out knife					She took out knife	
691	775	take out	hand	knife	counter,drawer		Two knives are selected.			She gets some knives. 							She took out second knife					She took out second knife	
794	848	close	hand		drawer	The woman got two knives out from the drawer.						The person gets out two knives.	The person takes out a knife and a fruit zester.	The person removes a small knife and a large knife from the top drawer.		The person gets out two knives.		The person gets out two knives.	The person gets out two knives.		The person removes a large and small knife from the cutlery drawer and places them on the countertop.		She opens the drawer and takes out two knives, places them on the counter, and closes the drawer.
858	1001	take out	hand	cutting board	counter,drawer		The person removes a cutting board. 				She gets knives and a cutting board.	The person gets out a cutting board.	The person takes out a cutting board.			The person gets out a cutting board.	She took out cutting board	The person gets out a cutting board.				She took out cutting board	
1008	1071	take out	hand	bowl	counter,drawer							The person gets out a bowl.				The person gets out a bowl.	She took out bowl	The person gets out a bowl.				She took out bowl	
1109	1150	take out	hand	plastic box	counter,drawer		A bowl and container are selected.					The person gets out a Tupperware container.		The person removes a metal bowl and a plastic bowl from another drawer.		The person gets out a Tupperware container.	She took out plastic container	The person gets out a Tupperware container.					She takes out a wooden cutting board, a metal bowl, and a plastic container from the drawer and puts them on the counter.
1150	1181	close	hand		drawer						She gets two bowls. 		THe person takes out a bowl and a plastic container.						The person gets out a cutting board, a Tupperware container and a bowl.	The woman sets up her station by grabbing a pine apple, a large and small knife, a cutting board, and a bowl.	The person removes a cutting board, a bowl, and a plastic tub from a drawer.	She took out container	
1181	1249	move	hand	bowl	drawer																		
1249	1318	close	hand		drawer	The woman got out a cutting board, bowl, and storage container.			Take out a pineapple, a large and small knife, a cutting board, a large bowl, and a plastic container.														
1323	1377	move	hand	pineapple	counter,cutting board			She gets out the needed equipment and fruit. 															
1392	1932	cut	knife	pineapple	cutting board	The woman cut the top off the pineapple.		She chops off the top of the fruit.					Using the large knife (that I thought was a fruit zester), the person cuts the top off of the pineapple.				She cut off top of pineapple			With the large knife the woman cuts off the top of the pineapple.		She cut off top of pineapple	
1957	2001	add	hand	pineapple	cutting board,plastic box		The top is cut off the pineapple and placed in the container.				She cuts off the top of the pineapple.								The person cuts off the top of the pineapple and puts it in the Tupperware container.				
2004	2079	add	hand	peel	cutting board,plastic box							The person cuts off the top and bottom of the pineapple and puts them in the Tupperware container.					She put top of pineapple in plastic container				The person cuts the fronds of the top of the pineapple using the large knife and places it into the plastic tub.		She cuts the top of the pineapple off and puts it in the plastic container.
2124	2265	cut	knife	pineapple	cutting board	The woman cut the bottom off the pineapple.														The woman cuts off the bottom of the pineapple.			
2276	2304	add	hand	pineapple	cutting board,plastic box				Use the large knife to cut off the top and bottom of the pineapple and put them in the plastic container.				The person cuts the end off of the pineapple.	The person uses the large knife to cut off the top and bottom of the pineapple and places discarded pieces into the plastic bowl.	Slice the skin off by standing the pineapple up and slicing downward.. Slice the top part of the pineapple off.. Take out your knives, cutting board, a bowl and a container for storage.	The person cuts off the top and bottom of the pineapple and puts them in the Tupperware container.	She cut one slice of pineapple	The person cuts off the top and bottom of the pineapple and puts them in the Tupperware container.	The person cuts the bottom of the pineapple off and puts it in the Tupperware container.				She cuts off the bottom of the pineapple and puts it in the plastic container, then sets the pineapple right-side up.
2349	2910	peel	knife	pineapple	cutting board												She cut skin off pineapple						
2921	2979	add	hand	peel	cutting board,plastic box																		She removes the outside layer of half the pineapple and puts it in the plastic container.
2985	3023	add	hand	peel	cutting board,plastic box												She put skin in plastic container						
3023	3057	move	knife	peel	cutting board																		
3079	3523	peel	knife	pineapple	cutting board			She cuts off the bottom and sides of the fruit.	Set the pineapple on its end and use the small knife to cut off the peel in strips all around the pineapple.								She cut skin off of pineapple					She took out pineapple peel	
3537	3571	peel	knife	pineapple	cutting board		The bottom and sides are removed and placed in the container.										She sliced pineapple						
3657	3823	peel	knife	pineapple	cutting board																		
3833	3846	add	hand	peel	cutting board,plastic box												She took off top of pineapple			With the small knife the woman removes the hard outer skin of the pineapple.			
3846	3890	add	hand	peel	cutting board,plastic box	The woman cut off the sides of the pineapple with a paring knife.							Using the small knife, the person stands the pineapple upright, and slices the skin off the pineapple from top to bottom.										
3893	3953	add	hand	peel	cutting board,plastic box																The person carefully removes the scaly peel of the pineapple using the small knife and places the peels into the plastic tub.		She removes the rest of the outside layer from the pineapple and puts it in the plastic container.
3972	4022	peel	knife	pineapple	cutting board																		
4028	4050	add	hand	peel	knife,plastic box																		
4068	4098	add	hand	peel	cutting board,plastic box																		
4142	4175	peel	knife	pineapple	cutting board																		
4181	4204	add	hand	peel	knife,plastic box																		
4215	4242	peel	knife	pineapple	cutting board																		
4247	4265	add	hand	peel	knife,plastic box																		
4274	4335	peel	knife	pineapple	cutting board																		
4339	4358	add	hand	peel	knife,plastic box																		
4393	4421	peel	knife	pineapple	cutting board																		
4426	4445	add	hand	peel	knife,plastic box																		
4456	4497	peel	knife	pineapple	cutting board																		
4501	4519	add	hand	peel	knife,plastic box																		
