221	494	take out	hand	orange	fridge	Person takes out orange.	The person procures an orange from the fridge.	She gets an orange. 	The person takes an orange from the fridge.			Person removes one orange from refrigerator.	She took out orange		She takes one orange out of the refrigerator. 	She took out orange	She took out orange	She took out orange	She took out orange	The person gets out an orange.	Girl goes to the fridge and gets an orange and washes it.	The person procures an orange from the crisper.	The person gets out an orange.
597	697	wash	hand	orange		Person washes orange.		She washes the orange. 											She washed orange				
697	767	shake	hand	orange			The person washes the orange in the sink. 		The person washes the orange under the faucet.	Take orange directly from fridge and wash it.	The woman selects an orange and washes it.	Moving to sink the person rinses the orange under running water and sets it on the counter.	She washed orange	She gets out an orange from the refrigerator and washes it in the sink.	She washes the orange in the sink and sets it on the counter. 	She washed orange	She washed orange	She washed orange		The person rinses the orange.		The person washes the orange under the faucet.	The person rinses the orange.
851	1032	take out	hand	squeezer	counter,drawer	Person takes out orange juicer.													She took out juicer				
1036	1073	close	hand,leg		drawer		The person takes out a juice strainer from the drawer.		The person takes out a juice strainer from the drawer. 							She took out juicer	She took out juicer	She took out juicer		The person gets out a juicer.		The person takes a juice strainer from a drawer.	The person gets out a juicer.
1119	1176	open	hand		drawer								She took out juicer		She places a juicer on the counter. 								
1191	1293	take out	hand	knife	drawer		The person takes out a knife from the drawer.		The person takes out a knife from the drawer. 				She took out knife						She took out knife	The person gets out a knife.			The person gets out a knife.
1307	1428	take out	hand	cutting board	counter,drawer	Person takes out knife and cutting board.	The person takes out a cutting board from the drawer.		The person takes out a cutting board from the drawer.				She took out cutting board				She took out knife and board	She took out cutting board and knife	She took out cutting board	The person gets out a cutting board.		The person gets a knife and a cutting board from the drawer.	
1438	1454	move	hand	orange	counter,cutting board			She gets the juicer, a knife, and a cutting board. 		Assemble knife, cutting board and manual juicer.		From a drawer, the person retrieves an orange juicer, cutting board and knife which she places on counter near orange.			She takes out a cutting board and a small knife. 	She took out knife and cutting board							The person gets out a cutting board.
1471	1591	cut	knife	orange	cutting board	Person cuts orange in half.	The person cuts the orange in half.	She cuts the orange in half. 	The person slices the orange into halves.			The person slices the orange into two halves.	She cut orange in half	She gets out a juice squeezer and a cutting board.. She cuts the orange into half.	She cuts the orange in half on the cutting board. . She takes half of the orange and places it over the juicer. 	She cut orange in half	She cut orange in half 	She cut orange in half 	She cut orange in half	The person cuts the orange in half.	The girl gets a knife and cuts the orange in half.	The person cuts the orange in half.	The person cuts the orange in half.
1694	1772	squeeze	squeezer	orange	squeezer																		
1817	1950	cut	knife	orange	cutting board	Person makes cuts in half an orange from peel to peel.				Cut orange in half and cut slits into the pulp.	The woman slices the orange in half.				She takes the same orange and makes small cuts in the orange.						She cuts some of the middle before squeezing it in a juicer.		
2013	2554	squeeze	squeezer	orange	squeezer																		
2589	2919	squeeze	squeezer	orange	squeezer										She juices a halve of the orange. 								
2977	3245	squeeze	squeezer	orange	squeezer																		
3267	3431	squeeze	squeezer	orange	squeezer	Person twists and squeezes first half of orange on juicer.			The person takes an orange slice and grinds it into the juice strainer.	Push down and rotate half of the orange on the juicer to get all juice.		The person makes small cuts in the first orange half and presses the half on the juicer, twisting and squeezing to extract as much juice and pulp as possible.		She puts the orange on the squeezer, uses the knife to loosen up the insides of the orange, and uses the juice squeezer to remove the juice from one half of the orange.						The person makes some shallow cuts in one half, then juices it.			
3521	3677	cut	knife	orange	cutting board	Person makes cuts in second half of orange from peel to peel.									She takes the over orange halve and places it over the juicer.								
3772	4226	squeeze	squeezer	orange	squeezer																		
4237	4655	squeeze	squeezer	orange	squeezer																		
4692	4890	squeeze	squeezer	orange	squeezer																		
4906	5042	squeeze	squeezer	orange	squeezer	Person twists and squeezes second half of orange over juicer.							She twisted orange on juicer		She completely squeezes the juice out of the orange. 					The person makes shallow cuts in the second half and juices it.			
5123	5447	squeeze	squeezer	orange	squeezer	Person twists and squeezes first half of orange over juicer again.. Person throws away the peel.	The person grinds each half of the orange into the juice strainer with her palm	After scoring each half, she juices them. 	The person grinds the second orange slice into the juice strainer.		The woman pushes and twist the orange into the juicer.	The person repeats the same procedure with the second half of the orange; making the small cuts to make juicing easier and twisting and squeezing the orange half on the juicer to extract all of the juice and pulp.		She does the same to the other half of the orange.	She grabs the previous orange halve and squeezes more juice out of it. 		She twisted orange on juicer		She twisted orange on juicer			The person grinds each half into the juice strainer.	
5537	5588	throw in garbage	hand	peel			The person throws the orange peels into the wastebin.			Repeat with other half of orange.		The person discards the orange rind halves in the garbage.	She threw away orange	She throws the peels away in the trash.		She twisted orange on juicer. She threw away orange	She threw away scraps	She twisted orange on juicer	She threw away orange	The person throws away the orange halves.		The person disposes of the orange halves into the trash.	The person juices the orange and throws it away.
5671	5772	scratch off	knife	orange	squeezer																		
5787	5866	remove lid	hand	lid	squeezer		The person removes the top of the juice strainer from the bottom.		The person removes the top part of the strainer from the juicer.						She removes the orange juicer lid and places it over the cutting board. 						The girl squeezes both halves extra well.	The person removes the strainer from the juicer.	
5950	6194	take out	hand	glass	counter,cupboard	Person pours juice into cup.	The person takes a glass from the cupboard.		The person takes a glass from the cupboard.				She took out glass			She took out glass	She took out glass	She took out glass	She took out glass	The person gets out a cup.		The person procures a glass from the cupboard.	The person gets out a glass.
6223	6335	pour	squeezer	orange	glass		The person pours the juice from the bottom portion of the strainer into the glass.	She grabs a glass and pours the juice into it. 	The person pours the juice from the bottom part of the strainer into the glass.	Make sure all juice exits the strainer and pour into glass.	She places the juice into the glass.	The person removes the top half of the juicer and pours the juice from the bottom half into a glass she retrieves from the cupboard.	She poured juice in glass	She removes the top from the juicer, gets out a glass from the cabinet, and pours the juice from the juicer into the glass.	She grabs a drinking glass and pours the orange juice into the glass. 	She poured juice in glass	She poured juice in glass	She poured juice in glass	She poured juice in glass	The person pours the juice into the cup.	The girl gets a glass and pours the fresh squeezed orange juice.	The person pours the juice from the bottom of the juice strainer into the glass.	The person pours the juice into the glass.
