146	344	take out	hand	leek	counter,drawer	She took out leek	A woman enters the kitchen, removes a leek from the cupboard and places it on the counter.	She took out leek	A woman enters the kitchen, takes a leek from the pantry and places it on the counter.	A lady enters the kitchen and pulls out onions.	Prepares to cut leek.	A leek is removed from a cabinet.	The person takes the leeks from the pantry.	The woman walks to the cupboard, opens the door, removes a leek and closes the door.	Girl takes out leeks	The person takes the leeks from the pantry.	The person gets out a leek.			The person gets out a leek.	She took out leek
345	435	take out	hand	cutting board	counter,drawer	She took out cutting board		She took out cutting board				The person removes a cutting board. 	The person takes out a cutting board from the drawer.	She walks to the counter, sets down the leek, opens a drawer, removes a cutting board and closes the drawer.	Girl takes out cutting board	The person takes out a cutting board from the drawer.	The person gets out a wooden plate.			The person gets out a wooden plate.	She took out cutting board
439	584	take out	hand	knife	drawer	She took out knife	She then removes a cutting board and a knife from the drawer and places them on the counter.	She took out knife	She removes a cutting board and a knife from the drawer and places them on the counter.	She sets them on the counter and pulls out a cutting board and knife.		The person selects a knife.	The person takes out a knife from the drawer. 	She opens the drawer again, removes a knife and closes the drawer.	Girl takes out knife	The person takes out a knife from the drawer. 	The person gets out a knife.	The woman gets out a leek, a cutting board, and a knife.		The person gets out a knife.	She took out knife
612	656	cut	knife	leek	cutting board														Preparer has taken out leek, cutting board and knife and cut ends off of leek		
662	765	cut	knife	leek	cutting board			She cut off ends of leek					The person cuts the bottom and top off the leeks.		Girl cuts off top and bottom of leek			The woman cuts off the end and the greens of the leek.		The person cuts off the top and bottom of the leek.	She cut off top and bottom of leek
769	842	move	hand	leek	counter,cutting board	She cut off top and bottom of leek	She cuts the bottom and the top off of the leek.		She cuts the bottom and the top of the leek and set them aside.	She cuts away the parts of the onion she does not want and sets them aside.		The bottom and top are cut off.		She picks up the leek, cuts away the very top of root and the green stems. She places the knife and the discarded parts on the counter.		The person cuts the bottom and top off the leeks.	The person cuts off what look like the roots and leaves of the leek, leaving just the stem.				
882	949	open	hand		drawer																
949	1032	take out	hand	pot	drawer,stove			She took out pot													She took out pot
1032	1074	close	hand		drawer	She took out pan								The woman opens another drawer and removes a sauce pan.  She places it on the stove and closes the drawer.			The person gets out a pan.				
1074	1117	remove lid	hand	lid	pot						Puts water in pot.				Girl takes out pan					The person gets out a pot.	
1201	1394	fill	faucet	water	,pot	She put water in pan		She put water in pot							Girl puts some water in pan		The person fills the pan with water.				
