214	342	take out	hand	cutting board	counter,drawer	The person takes out a cutting board.						The person takes out a cutting board from the drawer.		The person takes out a cutting board from the drawer.	The person took out cutting board	Takes cutting board out of drawer.					
361	429	take out	hand	knife	cutting board,drawer									The person takes out a knife from the drawer.	The person took out knife	Takes knife out of drawer.					
429	485	close	hand		drawer	The person took out a knife.				the person gets a cutting board and a sharp knife		The person takes out a knife from the drawer.					The person places a cutting board and sharp knife on the counter.	The man enters the kitchen and gets a cutting board and knife from the cabinet.			He gets out a cutting board and knife. 
526	673	take out	hand	plate	cupboard																
679	918	take out	hand	garlic	,cupboard	The person took out a plate and the garlic bulb.		Gather your cutting board, knife, bowl and bulb of garlic on the counter.	The person gathers a knive, a board, a garlic bulb, and a plate to get ready to prepare the garlic.		He obtains a plate, a clove of garlic, a knife, and a cuttingboard.	The person procures a plate from the cabinet and a clove of garlic from the pantry.	He obtains a large knife, a cuttingboard, a plate, and the garlic.	The person takes a plate from the cabinet and a clove of garlic from the pantry.	The person took out garlic	Takes plate and garlic out of cabinet.	The person selects a plate and clove of garlic from the cabinet.	 The man retrieves a plate and a garlic clove from a cabinet across the room.		The person gets a cutting board, a sharp knife, a plate and a head of garlic.	He gets out a plate and the garlic. 
918	1045	take apart	hand	garlic	,plate	The person took a clove of garlic.					He separates a small amount of garlic from the rest of the clove.								He prepares a cuttingboard, a knife, a plate, and a clove of garlic.	The person removes two cloves from the head of garlic.	He removes a clove and puts the rest away. 
1064	1135	put in	hand	garlic	,cupboard	The person put the bulb back in the cupboard.	The person stores unneeded garlic in the cabinet.. The person retrieves a plate and garlic from the cabinet.. The person places a knife onto the cutting board. . The person retrieves a cutting board.	Take two cloves of garlic from the bulb and return the bulb to the pantry.	The person removes one section from the garlic bulb and returns the remainder of the bulb to the cabinet.	the person gets a plate		The person takes a segment from the clove and returns the rest of the garlic to the pantry.		The person removes a clove from the garlic and returns the rest to the pantry.	The person put back unused garlic			The man takes a half from the clove and returns the other half back to the cabinet.			
1188	1367	take apart	hand	garlic	plate	The person removed the outer layer of the garlic.														The person peels away the loose exterior skin of the cloves.	
1367	1414	move	hand	garlic	cutting board,plate				The person cleans the outer skin from two cloves of the garlic and places them on the board for further preparation.		He breaks the smaller portion apart and moves two parts from it to the cuttingboard.		He separates the garlic into smaller pieces, then places two of those pieces on the cuttingboard.		The person peeled the garlic		The person uses his fingers to break apart the garlic clove.		He breaks the garlic apart into smaller pieces on the plate. 		
1429	1494	squash	knife	garlic	cutting board																
1520	1580	squash	knife	garlic	cutting board	Using the flat side of the knife, the person hit the cloves to remove more skin.		Crush each clove of garlic with the flat side of your knife.			He presses the garlic with the flat side of the knife.					Flattens garlic with knife.	The person taps each piece of garlic with the knife of the blade twice.		He uses the knife to press the garlic between it and the cuttingboard.	The person lays the cloves on the cutting board and uses the flat side of the knife to crush them, pressing down on the knife with the heel of his hand.	
1601	1819	peel	hand	garlic						the person smashes the Garlic on the cutting board with the knife			He slices one piece of the garlic into smaller pieces. 								
1837	1992	peel	hand	garlic		The person removed the skin/peel from each clove.		Peel outer layer from garlic and discard it in the bowl.	The person smashes the two cloves with the knife and removes the garlic's inner skin, which he places onto the plate.		He peels the garlic partially with his fingers.	The person peels the garlic and places the peel on the plate.	He breaks the garlic apart even more on the plate. 				The person peels each piece of garlic.		He breaks the garlic apart more on to the plate and then puts the larger pieces back on to the cuttingboard. 	The person peels off the stiff exterior skin of the garlic cloves and discards it.	He removes the skins. 
2072	2298	cut	knife	garlic	cutting board																
2310	2371	move	hand	garlic	cutting board,plate	The person cut the ends off of each clove.		Cut off the ends of the cloves and discard in bowl.	The person uses the knife to remove the inedible ends of the garlic cloves and places the cut ends on the plate.								The person trims each piece of garlic.			The person slices off the tips and bases of the cloves of garlic and discards them.	He removes the ends of the cloves. 
2403	2528	chop	knife	garlic	cutting board																
2528	2569	scratch off	hand	garlic	cutting board,knife				The person does a first rough chop of the garlic after lining them up on the board and then, using his finger, removes the garlic that has clung to the knife.	the person cuts one end of the Garlic and discards							The person begins to dice the garlic.			The person lays the garlic cloves on the cutting board and finely slices them.	
2694	2790	chop	knife	garlic	cutting board																
2790	2831	scratch off	hand	garlic	cutting board,knife												The person continues to dice the garlic.				
2858	2993	chop	knife	garlic	cutting board																
3000	3053	scratch off	hand	garlic	cutting board,knife	The person diced the garlic.	The person prepares and chops garlic.. This concludes demonstration.	Chop by alternating cutting horizontally and vertically across the cloves until you reach the desired size for your chopped garlic.	The person continues to chop the garlic until it gets to the desired size and, once reached, removes any garlic that has stuck to the knife completing the task assigned.	the person slices and dices the Garlic	He dices the garlic into much smaller pieces with the knife.	The person chops the garlic on the cutting board.	He dices the larger pieces of garlic into much smaller pieces.	The person removes the peels from the garlic, sets them on the plate, and then chops the garlic on the cutting board.	The person diced the garlic	Chops up the garlic pieces.	The person finishes by chopping the garlic into a fine mince.	  The man takes the half of the clove and dices it thinly with a knife before putting the diced pieces on the plate.. The man puts the knife back on the cutting board.	He dices the garlic into much smaller pieces and is finished.	The person repeats slicing the garlic cloves from different angles until the garlic is minced into tiny chunks.	He chops the garlic. 
