211	339	take out	hand	cutting board	counter,drawer	He took out cutting board				He gets a cutting board. 		The person gets out a cutting board.	He gets a cutting board.		He took out cutting board	The person takes out a cutting board.		The person gets out a cutting board.	The man gets a cutting board out of the drawer and places it on the counter.			He took out cutting board	The person gets out a cutting board.
344	370	close	hand		drawer												The person gets out a cutting board.			The person gets out a cutting board	The person takes a cutting board out from a drawer.		
373	472	take out	hand	knife	cutting board,drawer	He took out knife	A man enters the kitchen, removes a cutting board and a knife and places them on the counter.	Places cutting board and knife on counter top.	Gather cutting board, knife, ginger root and plate.	He gets a knife. 		The person gets out a knife.	She gets a knife.	He gets a cutting board and knife.	He took out knife	The person chooses a knife to use.. The person opens cabinet.	The person gets out a knife.	The person gets out a knife.	The man gets a knife out of the drawer and places it on the cutting board.	The person gets out a large knife.	The person takes a knife from a drawer and places it onto the cutting board.	He took out knife	The person gets out a knife.
520	763	take out	hand	ginger	cupboard,cutting board	He took out ginger	He removes the ginger from the pantry and places it on the cutting board.			He gets the ginger. 		The person gets out some ginger.	He gets the ginger.	He grabs some ginger.	He took out ginger	The person takes out piece of ginger.	The person gets out some ginger.	The person gets out some ginger.	The man gets the ginger out of the cupboard.	The person fetches his ginger.	The person gets some ginger from the pantry.	He took out ginger	The person gets out some ginger.
784	891	take out	hand	plate	cupboard	He took out plate					He gets out a cutting board and a knife from the drawers and gets out ginger and a plate from the cabinets.	The person gets out a plate.			He took out plate	The person takes out a plate.	The person gets out a plate.	The person gets out a plate.	The man gets a plate out of the cupboard.	The person gets a plate from the cabinent	The person gets a plate from the cabinet.	He took out plate 	The person gets out a plate.
921	1129	wash	hand	plate		He cleaned plate		Washes plate.							He washed plate	The person washes the plate.	The person rinses the plate.	The person rinses the plate.	The man rinses the plate.	The person rinses the plate with water.		He washed plate	
1140	1176	move	hand	plate	,counter		He takes a plate from the cupboard, rinses it in the sink and places in on the counter.		Soak plate in preparation of receiving diced ginger		He washes the plate in the sink.	The person rinses the plate.									The person washes the plate in the sink.		The person rinses the plate.
1209	1360	cut	knife	ginger	cutting board	He cut off piece of ginger		Splits the item in half and returns the other half to the cupboard.				The person cuts off a piece of ginger.	He cuts off a chunk of ginger.		He cut off piece of ginger	The person cuts off a piece of the ginger.	The person cuts off a piece of ginger.	The person cuts off a piece of ginger.	The man cuts off a piece of the ginger.				The person cuts off a piece of ginger.
1373	1548	put in	hand	ginger	cupboard,cutting board	He put back leftover ginger			Cut ginger root in half and return one half to refrigerator	He cuts off a piece of ginger and puts the rest away. 	He cuts off a piece of ginger and puts the rest back in the cupboard.	The person puts the rest of the ginger away.	He puts the rest of the ginger away.	He cuts off a bit of ginger and puts the rest away.	He put back unused ginger	The person returns a piece of ginger to the cabinet.	The person puts the rest of the ginger away.	The person puts the rest of the ginger back.	The man places the rest of the ginger in the cupboard.		The person cuts the ginger in halves and places on segment back into the pantry.	He put back extra ginger	The person puts away the rest of the ginger.
1586	1619	move	hand	ginger	,cutting board				Wash remaining ginger root thoroughly														
1619	1999	wash	hand	ginger		He washed ginger		Washes the item.		He rinses the ginger. 									The man washes the ginger, scrubbing it well.	The person rinses the ginger in water.			
