259	411	take out	hand	cutting board	counter,drawer		The person takes out a cutting board from the drawer.				The woman removes a cutting board from the drawer and places it on the counter.	The person takes out a cutting board from the drawer.	The person selects a cutting board.			She gets a cutting board.	The person gets out a cutting board.	The person gets out a cutting board.			She took out cutting board	
513	661	take out	hand	knife	cutting board,drawer	The person starts with a knife, cutting board and avocado.	The person takes out a knife from the drawer.	She takes out a knife and cutting board.	She gets out a cutting board and knife	The woman takes out a cutting board and small knife and places them on the counter. 	She removes a knife from the drawer and places it on the cutting board.	The person takes out a knife from the drawer.	A knife is selected.	The woman begins by retrieving a small wooden cutting board.. She then selects a small knife from a nearby drawer. 	Get a small cutting board and paring knife.	She gets a knife.	The person gets out a knife.	The person gets out a knife.		The person places a cutting board and paring knife on the counter.	She took out knife	She gets out a cutting board and knife. 
730	942	take out	hand	avocado	cutting board,fridge		The person procures an avocado from the fridge.	She chooses a ripe avocado.		The woman also takes out an avocado from the refrigerator and places it on the cutting board. 	She removes an avocado from the refrigerator and places it on the cutting board.	The person procures an avocado from the fridge.	An avocado is removed from the refrigerator.	Next, she selects an avocado from the fridge. 	Grab a ripe avocado from the refrigerator.	She gets an avocado. 	The person gets out an avocado.	The person gets out an avocado.	The person has placed a cutting board, knife and avocado on the countertop.	The person removes an avocado from the refrigerator and places it on the cutting board.	She took out avocado	She gets out the avocado. 
975	1220	cut	knife	avocado	cutting board				She gets out an avocado.											The person uses the paring knife to slice the avocado in half lenghwise.		
1254	1317	take apart	hand	avocado		The person slices the avocado lengthwise (vertically) going around the pit and ending with two equal halves.	The person cuts the avocado in half.	She cuts the avocado in half and then twists the two halves apart.	She cuts it in half.	The woman uses the knife to cut the avocado in half. 	She uses the knife to cut the avocado in half lengthwise.	The person cuts the avocado in half.	The avocado is cut in half and pulled apart.	She uses the knife to cut around the avocado and then pulls it apart giving her two halves. 	Use the knife to cut the avocado in half around the pit, after separate the two halves.	She cuts the avocado in half. 	The person cuts the avocado in half.	The person cuts the avocado in half.	The person has cut around the avocado lengthwise and separated the avocado into two halves.	The person seperates the halves of the avocado with a twisting motion.	She cut avocado in half 	She cuts the avocado in half. 
1434	1569	take apart	hand	stone																		
1622	1656	cut	knife	stone				She cuts one half of the skin lightly.		Next, she takes one of the halves and begins to peel off the skin of the avocado. 												
1845	2195	peel	hand	avocado			The person removes a peel from one avocado half.	She peels the skin off the half that has been cut.			She uses her fingers to peel the avocado skin off of one of the halves.											
2297	2410	take apart	hand	stone																		
2443	2484	peel	hand	avocado						Next, she takes the other halve and pulls of the skin of the avocado. 												
2646	2934	peel	hand	avocado		The person then peels each half by making a small cut in the rind with the knife and then using her fingers to peel the rind away from the flesh.	The person peels the second avocado half with her hands.	She peels the half that still has the pit in.			She removes the skin from the other half of the avocado.		The avocado is peeled by hand.	Next, she removes the skin from both halves of the avocado.	Remove the hard, dark green, outside peel from both halves.	She removes the skin.	The person peels the avocado.	The person peels the avocado.		The person removes the outer peel from the avocado using hands and knife.	She took off avocado peel	She removes the skin. 
