142	245	take out	hand	cutting board	counter,drawer	He took out cutting board	The person takes out a cutting board from the drawer.	He took out cutting board				He gets a cutting board.	He took out cutting board		The person takes out a cutting board and puts it on the counter.				The person gets out a cutting board.	Get out a cutting board.	The person takes out a chopping board from the drawer.	The person takes out a cutting board from the drawer.
255	308	close	hand		drawer					He goes to the drawer and opens it up and takes out a cutting board and knife.	He gets a cutting board.			The man places a cutting board on the counter. 		The man opens a drawer, removes a cutting board, places in on the counter and closes the drawer.	He got out a cutting board.					
325	577	take out	hand	plum	fridge	He took out plum	The person procures a plum from the fridge.	He took out plum		He goes to the refrigerator and takes out a plum.			He took out plum	He goes to the refrigerator and takes out a plum. 	The person removes a plum from the fridge.	He walks to the fridge, opens the door, removes a plum from the crisper drawer and closes the fridge door.	He opened the fridge.	Take out a cutting board and a plum.	The person gets out a plum.	Get plum out of fridge	The person takes out a plum from the refrigerator.	The person procures a plum from the fridge.
611	715	wash	hand	plum		He washed plum	The person washes the plum in the sink.	He washed plum	He gets out a plum and rinses it. 	He goes to the sink and washes the plum.	He gets a plum and rinses it.	He gets a plum and rinses it. 	He washed plum	He rinses the plum in the sink.	The person rinses the plum.	He goes to the sink, turns on the faucet and washes the fruit.	He washed an apple.		The person rinses the plum.	Wash plum in the sink	The person washes the plum.	The person washes the plum in the sink.
774	854	open	hand		drawer																	
898	1009	take out	hand	knife	drawer	He took out knife	The person takes out a knife from the drawer.	He took out knife	He gets a knife. 	He opens up a couple of drawers and takes a knife out of one of them.. He places the plum on the cutting board.	He gets a knife.	He gets a knife.	He took out knife	He takes out a cutting knife and places the plum on the cutting board. 	The person takes out a knife.	He opens a couple drawers, finds a large knife and removes it from the drawer.  He closes the drawer.		Wash the plum and take out a knife.	The person gets out a knife.	Get out knife, and place plum on cutting board	The person takes a knife out of the cupboard.	The person takes out a knife from the drawer.
1059	1255	cut	knife	plum	cutting board																	
1314	1558	cut	knife	plum	cutting board		The person slices the plum down the middle on the cutting board.			He slices the plum in half with the knife.				He uses the knife to cut the plum in half. 								
1602	1696	take apart	hand	plum						He tries to pry the plum apart with his fingers.							He cut the plum in half.					
1741	1893	cut	knife	plum	cutting board																	
1931	2048	take apart	hand	plum																		
2126	2474	cut	knife	plum	cutting board																	
2545	2686	take apart	hand	plum										He tries using his hands to pull the pieces of plum apart. 								
2731	2757	take apart	knife	plum	cutting board									He cuts off one piece of the plum.								
2798	2841	cut	knife	plum	cutting board				He removes a chunk from the plum.								He cut out a section of the plum.					
2883	3027	take apart	hand	plum										He uses his hands to break off the second piece.				Cut the plum in half around the pit, separate the plum halves with your hand cutting additionally if needed.				
3095	3342	take apart	hand	plum																		
3397	3453	take apart	hand	plum					He removes another chunk with his hands. 							The man sets the plum on the cutting board and begins to cut around the fruit to remove the pit.				Use knife to cut the plum into four pieces. Cut 2 perpendicular circles to the pit until you are able to pull the four pieces apart with your hands.  		
3525	3581	cut	knife	plum	cutting board																	
3648	3717	cut	knife	plum	cutting board	He cut out pit 	The person repeatedly tries to tear the plum apart into sections and finally does so.				He takes the plum apart.	He cuts up the plum.	He cut plum into pieces	Finally, he uses the knife to cut the remaining pieces. 	The person cuts the plum into quarters to separate it from the pit.			Remove the pit, and cut the plum into smaller pieces.	The person cuts the plum into four quarters and the pit.	Cut out pit from the piece that it is still attached to. 	The person cuts and peels the plum into sections.	The person slices the plum with the knife and then spends several minutes futilely trying to twist it apart until he breaks it into several pieces.
3765	3842	throw in garbage	hand	stone		He threw out pit 	The person disposes the plum core in the trash.. The person washes his hands.	He threw away pit	He discards part of the plum.	He cuts some more at the plum till he successfully has the plum into several pieces.	He discards the bad parts.	He discards the rest.	He threw away pit		The person throws the pit away.	He removes the pit and throws it in the garbage.. The man walks to the sink, turns on the faucet and rinses his hands.	He washed his hands.	Discard the plum pit and rinse your hands.	The person throws away the plum pit.	Throw away the pit in the trash. . Wash hands.	The person discards the pit of the plum.	The person throws the plum core in the trash.. The person washes his hands in the sink.
