192	273	take out	hand	cutting board	counter,drawer	The person gets the cutting board.	The person removes a cutting board. 			He gets a cutting board. 		The person takes out a cutting board from the drawer.	He gets a cutting board.		person get out cutting board			The person takes out a cutting board, and places it on the counter.	The person takes a chopping board out of the drawer.	The person gets out a cutting board.	He gets out a cutting board.
350	564	take out	hand	beans	,fridge	The person gets the beans from the refrigerator.			The person gets out a cutting board.		He gets a cutting board.			The man takes out a cutting board and places it on the counter. 	person gets out fresh broad beans	The person takes out a cutting board from the drawer.			The person takes some broad beans out from the refrigerator.		
615	711	take out	hand	chef knife	cutting board,drawer		Beans are removed from the refrigerator.		The person gets out some beans.			 The person procures a handful of broad beans from the fridge.	He gets the beans.		person gets out knife	The person takes a handful of broad beans from the fridge.	The person gets out a cutting board, a knife, and a small handful of fresh broad beans.	The person takes out some fresh broad beans from the refrigerator, and grabs a cutting knife.	The person takes a knife out from the drawer.	The person gets out some beans.	
750	912	wash	hand	beans		The person washes the beans in the sink.	The person selects a knife.	Get out cutting board, broad beans and knife.	The person gets out a knife.	He gets the beans and a knife. 	He gets beans and a knife.	The person takes out a knife from the drawer.	He gets a knife.	The man takes out broad beans and from the refrigerator. . He also takes out a cutting knife and places it on the cutting board. 	person washes fresh broad beans	The person takes out a knife from the drawer.		The person thoroughly washes the broad beans in the sink.	The person washes the broad beans.	The person gets out a knife.	He washes the stalks of beans.
973	1135	shake	hand	beans			The beans are washed.	Rinse broad beans under water.	The person rinses the beans.	He rinses the beans. 	He rinses the beans. 	The person washes the beans in the sink.	He rinses the beans.	He washes the broad beans in the sink and places them on the cutting board. 		The person washes the broad beans in the sink.	The person washes the beans.			The person rinses the beans.	
1186	1643	cut ends off	chef knife	beans	cutting board										person cuts the ends off the fresh broad beans			The person places the broad beans on the cutting board, and uses the cutting knife to chop off the ends of the beans.			
1661	1862	throw in garbage	hand	garbage		The person cuts off the ends of the bean stalks.		Cut the tips off both sides of the beans.									The person cuts off both ends of each bean.	The person throws away the ends of the broad beans.	The person chops off the ends of the broad beans and discards them.		He cuts off the ends of the beanstalks.
1897	1949	wash	hand	hand															The person rinses his hands.		
1961	1982	shake	hand	hand			The ends are trimmed and discarded.	Discard tips of beans.	The person cuts off the tips of the beans and throws them away.	He cuts the ends off the beans and discards them. 	He cuts off the ends of the beans and discards them.	The person cuts the ends off the broad beans and throws them into the wastebin.	He cuts the ends off the beans and discards them.	He slowly cuts the ends of the broad beans and throws them in the trash. 		The person cuts the ends off the broad beans and throws them away.				The person cuts the tips off the beans and throws them away.	He throws away the ends.
2009	2232	arrange	hand	beans	cutting board		The person rinsed their hands.					The person washes his hands.				The person washes his hands in the sink.	The person bunches the beans together so they will be easier to cut.				He starts dicing the beans.
2257	3180	chop	chef knife	beans	cutting board													The person groups the broad beans together, laying them on the flat side and proceeds to cut them into small pieces.			
3189	3257	scratch off	hand	beans	chef knife,cutting board	The person cuts up the beans.									person dices fresh broad beans				The person chops the broad beans into small pieces.		
3270	3408	move	chef knife,hand	beans	cutting board		The beans are stacked together and cut in pieces.. The beans are prepared.	Cut into thin slices diagonally.	The person chops up the beans.	He chops the beans. 	He chops the beans. 	The person chops the broad beans on the cutting board.	He chops the beans.	Next, he cuts the broad beans in tiny pieces on the cutting board. 		The person chops the broad beans on the cutting board.	The person cuts the beans into fine pieces.	The person cleans off the excess broad bean from the knife, and makes a pile of the freshly cut beans.		The person cuts up the beans.	He gathers up all the beans on the cutting board.
