224	556	take out	hand	orange	counter,fridge	Obtain 1 Medium Sized Orange.	A man enters the kitchen removes an orange from the refrigerator and places it on the counter.	The person gets out an orange.	The person gets out an orange.	The young man retrieves a orange from the refrigerator	The man takes out an orange.	The person gets out an orange.	He took out orange	The person procures an orange from the fridge.	Get your fresh orange ready.	He took out orange	The person procures an orange from the fridge.	The person selects and orange.	The person takes an orange out of the fridge.	The person gets out an orange.	The person procures an orange from the fridge.	He took out orange	The person gets out an orange.
562	662	take out	hand	cutting board	counter,drawer			The person gets out a cutting board.	The person gets out a cutting board.			The person gets out a cutting board.	He took out cutting board	The person takes out a cutting board from the drawer.		He took out cutting board	The person takes out a cutting board from the drawer.		The person takes a chopping board out of the drawer.	The person gets out a cutting board.	The person procures a cutting board from the drawer.	He took out cutting board	The person gets out a cutting board.
668	765	take out	hand	squeezer	counter,drawer			The person gets out a juicer.	The person gets out a juicer.			The person gets out a juicer.	He took out juicer	The person takes out a juice strainer from the drawer.		He took out juicer	The person takes out a juice strainer from the drawer.		The person takes an orange juice squeezer out of the drawer.	The person gets out a juicer.	The person takes out a juice strainer from a drawer.	He took out juicer	The person gets out a juicer.
784	978	take out	hand	knife	cutting board,drawer		He removes a cutting board, a juice press and a knife from the drawer and places them on the counter.	The person gets out a knife.	The person gets out a knife.	The young man pulls a cutting board , knife and a orange juice squeezer out of the draws and places them and the orange on the kitchen counter.		The person gets out a knife.	He took out knife	The person takes out a knife from the drawer.	Get your cutting board, juicer and knife.	He took out knife	The person takes out a knife from the drawer.		The person takes a knife out of the drawer.	The person gets out a knife.	The person takes a knife from a drawer and places it on the cutting board.	He took out knife	The person gets out a knife.
1030	1177	take out	hand	glass	counter,cupboard	Get your tools ready. You will need one knife, one juicer extractor, and one cutting board.		The person gets out a glass.	The person gets out a glass.	He then gets a glass from the cabinets behind him and places it with the rest of the items on the kitchen counter.	The man takes out the rest of his supplies.	The person gets out a glass.	He took out glass	The person takes a glass from the cupboard.		He took out glass	The person takes a glass from the cupboard.	The person gets a cutting board, a hand juicer, a knife and a juice glass.	The person takes a glass out from the cupboard.	The person gets out a glass.	The person gets a glass from the cabinet.	He took out glass	The person gets out a glass.
1190	1230	move	hand	sponge	counter,faucet										Grab a glass.							He washed orange	
1388	1836	wash	hand	orange						He then washes the orange in the sink next to the collected items.													
1836	1882	shake	hand	orange		Rinse the orange in cool water for approximately ten seconds.		The person rinses the orange.	The person rinses the orange.		The man washes the orange.	The person rinses the orange.	He washed orange		Rinse off your orange.	He washed orange		The person washes the orange.	The person washes the orange.	The person rinses the orange.			The person rinses the orange.
1927	1974	dry	towel	hand		Before cutting, roll the orange on the cutting board a few times to firm it.	He retrieves a glass from the counter and places it on the counter and washes the orange.. Using his hand, he rolls the orange around on the cutting board.	The person rolls the orange around the cutting board.	The person rolls the orange around on the cutting board.	He preps the orange by rolling it on the cutting board.		The person rolls the orange on the cutting board.		The person washes the orange in the sink, dries his hands on a towel, then rolls the orange on the cutting board with his palm.	Roll the orange around on the cutting board, pushing it down firmly.		The person washes the orange in the sink, dries his hands on a towel, then rolls the orange on the cutting board with his palm.	The person dries his hands and rolls the orange over the cutting board to dry off the rind.	The person rolls the orange around the chopping board to dry the orange.	The person rolls the orange around on the cutting board.	The person washes the orange in the sink.. The person softens the orange by rubbing it on the cutting board with his palm.	He dried orange	The person rolls the orange on the cutting board.
2272	2353	cut	knife	orange	cutting board	Cut the orange into two equal slices.		The person cuts the orange in half.	The person cuts the orange in half.	He then cuts the orange in into halfs.	The man tenderizes the orange and slices it in half.	The person cuts the orange in half.	He cut orange in half	The person slices the orange in half.	Cut your orange in half.	He cut orange in half 	The person slices the orange in half.	The person slices the orange in half, making the cut mid-way between the navel and the stem.	The person cuts the orange into half.	The person cuts the orange in half.	The person cuts the orange in halves.	He cut orange in half	The person cuts the orange in half.
2380	2422	move	hand	squeezer	counter,cutting board																		
