251	837	take out	hand	orange	counter,fridge	He took out orange	The person procures an orange from the fridge.	The person takes an orange from the fridge.	He took out orange	An orange is removed from the refrigerator.	The man takes out an orange.	He gets an orange. 	He gets an orange. 	The man begins by selecting an orange from the fridge. 	He grabs an orange. 	The man begins by selecting an orange from the fridge. 	The person gets out an orange.	An orange is removed from the refrigerator.	He took out orange		Remove orange from fridge.	A man enters the kitchen, removes an orange from the refrigerator and places it on the counter.	He took out orange
847	1138	take out	hand	cutting board	counter,drawer	He took out cutting board		The person takes out a cutting board from the drawer.	He took out cutting board								The person gets out a plate.	The person selects a cutting board.	He took out cutting board				He took out cutting board
1138	1200	close	hand		drawer		The person takes out a cutting board from the drawer.																
1200	1389	take out	hand	knife	drawer	He took out knife	The person takes out a knife from the drawer. 	The person takes out a knife from the drawer.	He took out knife			He gets a cutting board and knife. 			He gets a knife and cutting board.		The person gets out a knife.	 The person selects a knife.	He took out knife		Gather cutting board and knife on counter.		
1389	1420	move	hand	orange	counter,cutting board					The person selects a cutting board and knife.	The man takes out a knife and a cutting board.		He gets a cutting board and knife. 	He then takes out a knife and a wooden cutting board. 		He then retrieves a large knife and a wooden cutting board.				He gets an orange from the refrigerator and a cutting board and knife from drawers.			
1517	1581	cut	knife	orange	cutting board	He cut orange in half	The person cuts the orange in half.	The person chops the orange in half on the cutting board.	He cut orange in half	The orange  is cut in half.	The man slices the orange in half.	He cuts the orange in half. 	He halves the orange. 	Next, he uses the knife to cut the orange in half. 	He cuts the orange in half. 	Next, he uses the knife to cut the orange in half. 	The person cuts the orange in half on the plate.	The orange is cut in half.	He cut orange in half	He cuts the orange in half.	Cut orange in half.	The man removes a cutting board and knife from the drawer and cuts the orange in two.	
1682	1749	open	hand		drawer																		
1764	2141	take out	hand	squeezer	counter,drawer	He took out juicer	The person takes out a juice strainer from the drawer. 	The person takes out a juice strainer from the drawer.	He took out juicer	The person removes a juicer.		He gets out a juicer. 	He gets a juicer.				The person gets out a juicer.	The person removed a juicer.	He took out juicer		Put juicer on counter and hold steady with one hand.. Push orange half onto juicer spike.		He took out juicer
2192	3538	squeeze	squeezer	orange	squeezer			The person grinds on half of the orange into the juice strainer with his palm.		One half of the orange is juiced.				He then takes out a juicer and juices the first half of the orange.		After getting out the juicer, he juices the first orange half. 		One half of the orange is juiced.				The man removes a juice press from the drawer and presses one half of the orange on the juice press releasing the juice of the orange.	
3720	4835	squeeze	squeezer	orange	squeezer	He twisted orange on juicer	The person grinds each half into the juice strainer with his palm.	The person grinds the second orange half into the juice strainer.	He twisted orange on juicer	The other half of the orange is juiced.	The man pushes and twist the orange halves into the juicer.	He juices the orange. 	He juices the orange. 	He juices the second half of the orange.	He juices the orange. 	He then juices the second half of the orange. 	The person puts each orange half on the juicer, pushes down and twists repeatedly until no more juice comes out.	The other half of the orange is juiced.	He twisted orange on juicer	He gets out a juicer and uses it take all of the juice from the two halves of the orange.	Press orange half with heel of palm and rotate orange on spike.	The man repeats the previous action with the second half of the orange.	He twisted orange on juicer
5292	5422	take out	hand	teaspoon	drawer		The person takes out a spoon from the drawer. 	The person takes a spoon from the drawer.	He took out spoon								THe person gets out a spoon.	A spoon is removed.	He took out spoon				
5596	5687	throw in garbage	hand	peel					He threw away orange	The orange peels are discarded.			He discards the orange. 				The person throws the orange rinds away.		He threw out orange scraps	He throws away the orange peels in the trash can.			He threw away orange
