192	282	take out	hand	cutting board	counter,drawer				He took out cutting board		The person takes out a cutting board from the drawer.		He took out cutting board				He took out cutting board	How to prepare leeks.. The person takes out a cutting board.	He took out cutting board		He took out cutting board			He took out cutting board	
314	494	take out	hand	knife	cutting board,drawer	He gets a cutting board and knife.	The person selects a cutting and a large chef knife.		He took out knife		The person takes out a knife from the drawer.		He took out knife	He gets a cutting board and knife. 	He gets a cutting board and knife.	He gets a cutting board and knife.	He took out knife	The person take out a knife.	He took out knife		He took out knife			He took out knife	The man begins by retrieving a cutting board and a kitchen knife, both of which he places on the counter. 
524	833	take out	hand	leek	cutting board,fridge	He gets the leeks.	The person selects the chuck leek to be used. 		He took out leek		The person procures some leeks from the fridge.	He gets out the needed items. 	He took out leek	He gets the leeks. 	He gets the leeks.		He took out leek	The person gets a fresh leek.	He took out leek		He took out leek		The person takes out a carving board, knife and leeks from the refrigerator to begin preparation.	He took out leeks	
970	1037	cut	knife	leek	cutting board																				
1053	1095	cut	knife	leek	cutting board																				
1136	1179	cut	knife	leek	cutting board					The person cuts off all but two inches of the green portion of the leek using a chef's knife.														He cut off leaves	
1196	1250	move	hand	leek	counter,cutting board		The person removes the unwanted sections of the leaves and stem of the Leek.		He cut off leaves				He cut leaves off leek			He gets out the leeks and cuts of the leaves.	He cut off leaves	The person cuts off the bad leaves and end of the leek.	He cut off leaves		He cut off leaves				
1298	1441	take apart	hand	leek							The person cuts off the leaves of the leeks.												The person removes the unusable/spoiled parts from the leeks first to discard.		
1480	1622	cut	knife	leek	cutting board	He eliminates the bad parts of the leeks.	The person cuts open the middle of the leave section of the leek.																		Next, he takes a vegetable from the fridge and trims the excess leaves off with his knife. . He then uses his knife to split the green leaves that are left and rinses inside the split with water. 
1729	2350	wash	hand	leek			The person washes thoroughly leave section and stem of the leek.		He washed leek			He rinses the leeks. 	He washed leek	He rinses the leeks. 		He rinses the leeks. 		The person cuts the leek, from the middle to the top, then washes it.					The person makes a slit into the top of the leeks to open it up and then washes the inside/outside under water.	He washed leek	
2356	2445	shake	hand	leek		He rinses the leeks.				The person thouroughly washes the leek.	The person washes the leeks in the sink.				He trims the leeks and washes them.		He washed leek		He washed leek	The man washes the leeks.	He washed leek				
2532	2588	cut	knife	leek	cutting board		The person then removes the root of the leek.			The person cuts the roots from the leek.			He cut off bottom of leek									He cut off bottom of leek. He washed leek. He cut off leaves. He took out leek. He took out knife. He took out cutting board			
2592	2620	move	hand	leek	counter,cutting board				He cut off bottom of leek								He cut off end of leek		He cut off bottom of leek		He cut off bottom			He cut off bottom of leek	
2879	3068	cut	knife	leek	cutting board					The person cuts the leek in half axially.															Next, he cuts off the other end of the root and splits it down the middle. 
3099	3148	cut	knife	leek	cutting board																		The person cuts off the other end then slices the leek in half lengthwise.	He cut leek in half	
3230	3290	cut	knife	leek	cutting board				He chopped up leek	The person cuts the halves in half laterally.															
3533	4649	slice	knife	leek	cutting board		The person chops leek first into four big pieces then into smaller pieces. 				The person chops the leeks on the cutting board.				He chops the leeks.		He chopped leek								
4673	4717	scratch off	hand	leek	cutting board,knife	He chops the leeks.				The person stacks pieces of the leek and chops them into quarter-inch pieces.		He chops the leeks. 	He chopped leek	He chops the leeks. 								He chopped leek	The person cuts the two leek pieces into halves then begins to chop the entire leek into thin slices.		
4721	4768	scratch off	knife	leek	cutting board,hand			The person peeled and chopped up the leeks								He chops the leeks.		The person cuts of the root and finishes cutting the leek down the middle. The person cuts the leek in half then in quarters. The person puts the leeks together and slices them.	He chopped leek	The man chops up the leeks.	He diced leek			He chopped up leek	Next, he cuts the root in half and then proceeds to chop both halves into fine pieces. 
5000	5141	take out	hand	pan	drawer,stove				He took out pan		The person takes a pan from the drawer and sets it on the stove.								He took out pan					He took out pan	
5191	5252	open	hand		cupboard																				
5553	5758	take out	hand	bottle	,cupboard																			He took out oil	
5771	5858	open	hand		fridge				He took out oil																
5955	6021	put in	hand	bottle	,cupboard																				
6051	6266	take out	hand	plastic box	,fridge				He took out butter										He took out butter					He took out butter 	
6266	6335	remove lid	hand	lid	counter,plastic box						The person procures butter from the fridge.														
6387	6512	cut	knife	butter	plastic box																				
6565	6585	add	knife	butter	,pan	He gets a pan and adds butter to it.												The person gets a skillet, turns on the stove and adds butter to the skillet.						He put butter in pan	
6630	6730	turn on	hand	stove					He put butter in pan			He adds butter to a pan and turns on the stove. 													He places a saute pan on the stove and then retrieves some butter from the fridge which he then adds to the pan. 
6730	6873	change temperature	hand	stove				The person added butter to a frying pan on the stove	He turned on stove					He puts butter in a pan and turn on the stove.	He gets a pan, puts butter in it, and turns on the heat.	He adds butter to the pan and turns the stove on.				The man adds butter to the pan.			The person places a medium frying pan onto the stove, adds a slice of butter, then turns on the heat to melt the butter.	He turned on stove	
7044	7109	throw in garbage	hand	leek					He threw away scraps		The person adds butter to the frying pan and then throws the leaves and stems into the trash.													He threw away scraps	
7188	7244	put lid	hand	lid	plastic box																				
7246	7622	put in	hand	plastic box	counter,fridge						The person returns the butter to the fridge.													He put away butter	While he waits for the butter to melt he discards the waste from the leeks and puts the butter back in the fridge. 
7682	8087	take out	hand	spice shaker	counter,spice holder																				
8087	8165	move	hand	spice shaker	counter																		The person discards the damaged/spoiled parts of the leek, puts away the butter and gathers spices to add once the leeks are put into the frying pan.		
8165	8581	spread	pan	butter	pan					The person browns approximately two tablespoons of butter in a frying pan.															
8839	9012	spread	pan	butter	pan																				
