207	317	take out	hand	cutting board	counter,drawer		The person takes out a cutting board from the drawer.	The person takes out a cutting board from the drawer.	He took out cutting board	He took out cutting board		He took out cutting board			He gets a cutting board.	The person takes out a cutting board from the drawer.		The person takes out a cutting board from the drawer.				He took out cutting board		He took out cutting board	The person takes out a cutting board from the drawer.
342	449	take out	hand	knife	cutting board,drawer		The person takes out a knife from the drawer.	The person takes out a knife from the drawer.	He took out knife	He took out knife	Get your cutting board and knife ready.	He took out knife				The person takes out a knife from the drawer.		The person takes out a knife from the drawer.	The person gets out a cutting board and a knife.	The person gets out a cutting board and a knife.		He took out knife		He took out knife	The person takes out a knife from the drawer.
478	887	take out	hand	beans,plastic bag	counter,fridge		The person takes a package of broad beans from the fridge.	The person takes a package of broad beans from the fridge.	He took out beans	He took out beans		He took out beans				The person procures a package of broad beans from the fridge.	He gets out the needed items.					He took out beans		He took out beans	
887	946	move	hand	beans	cutting board,plastic bag										He gets broad beans from the fridge.										
955	1029	remove from package	hand	beans	cutting board,plastic bag																				
1036	1164	remove from package	hand	beans	cutting board,plastic bag	The man takes the beans from the refrigerator.																He put back unused beans	The person gets a cutting board, a sharp knife and some broad beans.		
1164	1341	put in	hand	plastic bag	counter,fridge		The person takes out a half dozen broad beans and returns the package to the fridge.	The person removes six broad beans from the package and returns the rest to the fridge.	He put back extra beans		Place the amount of beans you are going to use on the cutting board.	He put back extra beans		Collect your ingredients and tools.		The person removes a handful of broad beans from the package and returns the rest of the package to the fridge.		The person procures a package of broad beans from the fridge, takes a handful, then returns the package to the fridge.	The person gets out some beans.	The person gets out some broad beans.	He takes out a knife and a cutting board from the drawers and gets some fresh broad beans from the refrigerator.			He put away extra beans	The person procures a package of broad beans from the fridge, puts six on the cutting board, and returns the rest to the package to the fridge.
1439	1678	wash	hand	beans					He washed beans	He washed beans		He washed beans	The person washes the sweet peas.				He washes the beans.	The person washes the broad beans in the sink.				He washed beans		He washed beans	
1678	1812	shake	hand	beans		The man washes the beans.	The person rinses the broad beans in the sink.	The person washes the broad beans in the sink.			Rinse off your beans in the sink, shaking off excess water.			Wash the beans.	He washes the beans.	The person washes the broad beans in the sink.			The person rinses the beans.	The person rinses the beans.			The person rinses the beans.		The person washes the broad beans in the sink.
1870	1955	cut	knife	beans	cutting board																				
1959	2067	cut	knife	beans	cutting board																				
2071	2156	cut	knife	beans	cutting board										He cuts the ends off of the beans.										
2162	2342	cut	knife	beans	cutting board								The person cuts the tips off the sweet peas.												
2370	2466	cut	knife	beans	cutting board																				
2494	2597	cut	knife	beans	cutting board																				
2622	2762	cut	knife	beans	cutting board	The man chops the ends off the beans.	The person chops the top and bottoms from the broad beans.	The person chops the tops and bottoms off the broad beans.	He cut off ends of beans	He cut off ends of beans						The person cuts the ends from the broad beans and pushes them to the side.	He cuts the ends off the beans.	The person cuts the ends from the broad beans and sets them to the side.			He washes the beans and cuts the ends off the beans.	He chopped off ends of beans	The person cuts the tips off of the beans.	He cut off ends of beans	The person cuts the ends of all the broad beans.
2860	3097	arrange	hand	beans	cutting board						Cut off the ends of the beans.														
3097	3142	cut	knife	beans	cutting board																				
3142	3333	arrange	hand	beans	cutting board									Cut off the ends of the beans.											
3403	3455	arrange	hand	beans	cutting board						Lay your beans evenly on the cutting board.														
3470	3803	cut	knife	beans	cutting board	The man slices the broad beans.			He chopped up beans	He chopped beans	Cut your beans in desired pieces.	He chopped up beans	The person chops the sweet peas into pieces.		He chops the beans evenly.	The person chops the broad beans on the cutting board.	He chops the beans.	The person chops the broad beans on the cutting board.		The person cuts off the ends of each bean and cuts the beans into pieces.	He cuts the beans into smaller pieces.	He chopped beans	The person cuts the beans into one-inch segments.		The person chops the broad beans on the cutting board.
3989	4146	throw in garbage	knife	beans			The person chops the broad beans and discards the top and bottoms into the trash.	The person chops the broad beans and disposes the discarded ends into the wastebin.	He threw away ends		Discard ends into the trash.			Chop up the beans into small pieces.		The person throws the ends into the wastebin.		The person throws the ends into the wastebin.	The person cuts off the tips of the beans, cuts the beans into small pieces and throws away the tips.		He throws the ends of the beans away.	He threw away scraps	The person discards the bean tips.	He threw away ends of beans	The person throws the ends into the trash.
4273	4395	take out	hand	pan	drawer,stove				He took out pan						He gets a frying pan.		He gets out a pan.							He took out pan	
4402	4459	turn on	hand	stove																					
4467	4529	change temperature	hand	stove			The person takes a pan from the cabinet, places it on the stove, and turns it on.	The person takes out a pan from the drawer, places it on the stove, and turns it on.	He turned on stove		Put a pan on the stove top and set temperature.					The person takes out a pan from the drawer, puts it on the stove and turns it on.			The person gets out a pan, puts it on the stove and turns it on.	The person gets out a pan and puts it on the stove.				He turned on stove	The person takes out a pan, places it on the stove, and turns it on.
4561	4805	take out	hand	bottle	,cupboard																				
4811	4842	screw	hand	bottle					He took out oil															He took out oil	
4892	4973	pour	bottle	oil	pan				He put oil in pan																
5007	5060	pour	bottle	oil	pan												He places oil in the pan.			The person puts what looks like oil in the pan.				He put oil in pan	
5070	5149	screw	hand	bottle									The person pours oil into the frying pan.												
5155	5186	put in	hand	bottle	,cupboard		The person takes a bottle of oil from the pantry, adds a bit to the pan, and then returns the bottle to the pantry.				Add oil to pan.										He gets out a frying pan, turns on the stove, and gets a bottle of liquid from the cabinet which he pours into the pan.				
5186	5239	close	hand		cupboard	The man takes out a pan and adds oil to the pan.		The person procures a bottle of oil from the pantry, adds a bit to the pan on the stove, and then returns the bottle to the pantry.	He put away oil							The person takes a bottle of cooking oil from the pantry, pours some into the pan, then returns the bottle to the pantry.		The person takes out a pan from the drawer, places it on the stove, turns it on, then procures a bottle of oil from the pantry from which he pours into the pan after which he returns the bottle to pantry.	The person puts what looks like oil in the pan.						The person takes a bottle of oil from the pantry, pours some into the frying pan, and then returns the bottle to the pantry.
5259	5361	spread	pan	oil	pan																		The person gets a skillet, turns on the heat and adds oil to it.		
5410	5482	move	hand	beans	cutting board																				
5515	5704	take out	hand	spice shaker	counter,spice holder										He gets salt and pepper.		He gets out salt and pepper.				He spreads the oil around and takes out some salt and pepper.				
5746	6204	take out	hand	paper bag	cupboard																				
6582	6664	put in	hand	paper bag	,cupboard																				
6664	6895	take out	hand	paper bag	counter,cupboard		The person takes several condiments from the counter and one from the pantry.	The person procures several condiments from the counter and the pantry.											The person gets out salt, pepper and a spice I don't recognize.	The person gets out some spices.			The person gets salt and pepper and spices.		The person takes out several condiments.
6900	7000	spread	pan	oil	pan																				
7007	7054	change temperature	hand	stove										Heat olive oil in a pan.											
7135	7222	take out	hand	spatula	drawer				He took out wooden spoon										The person gets out a wooden spatula.	The person gets out a wooden spatula.				He took out wooden spoon	
7274	7558	add	spatula	beans	cutting board,pan	The man adds the broad beans to the pan.	The person takes a wooden spatula from the drawer and sweeps the chopped beans from the cutting board into the oil frying pan.	The person takes a wooden utensil from the drawer and uses it to sweep the chopped beans from the cutting board into the frying pan.	He put beans in pot				The person puts the sweet peas into the frying pan.		He puts the beans into the pan.		He puts the beans in the pan.				He pushes the beans into the frying pan.			He put beans in pan	The person removes a wooden spatula from the drawer and uses it to brush the chopped beans into the frying pan.
7566	8404	stir	spatula	beans	pan						Once the oil has heated up, spread beans evenly in pan.		The person gentle spreads the sweet peas up in the pan.			The person takes out several condiments, then removes a wooden spatula from the drawer and uses the spatula to scoop the chopped beans into the pan and stirs them.		The person gathers several condiments, takes out a wooden spatula from the drawer and uses it scoop the chopped beans into the pan which he then stirs.					The person gets a wooden spoon and uses it to push the cut beans into the hot skillet, stirring it slightly.		
8414	8647	change temperature	hand	stove																The person puts the beans in the pan and cooks them for a while.					
8688	8766	remove rubber band	hand	rubber band	paper bag														The person puts the beans into the pan and cooks them for awhile.						
8766	8988	open	hand	paper bag																					
8988	9085	take out	hand	teaspoon	,drawer																				
9186	9500	add	teaspoon	sugar	pan,paper bag										He puts some spices on the beans.										
9502	9808	add	teaspoon	sugar	pan,paper bag								The person seasons the sweet peas with an unknown seasoning.												
9881	9994	close	hand	paper bag																	He puts powder on top of the beans.				
