214	325	take out	hand	lime	,fridge	Girl takes out lime		A lime is removed from the refrigerator.	The person gets out a lime.	The person removes a lime from the fridge.		The person gets out a lime.	Takes lime out of refrigerator.	The woman walks to the fridge, opens the door, removes one lime and closes the fridge door.	She goes to refrigerator and takes out a lime.					Take lime out of refrigerator	She takes a lime from the fridge	The person removes a lime from the refrigerator.	The person gets out a lime.
338	447	take out	hand	cutting board	counter,drawer	Girl takes out cutting board		The person selects a cutting board.	The person gets out a cutting board.			The person gets out a cutting board.	Takes cutting board out of drawer.	She walks to the counter, opens a drawer, removes a cutting board, closes the drawer and places it on the counter.							She takes out a cutting board	The person got out a cutting board.	The person gets out a cutting board.
463	616	take out	hand	squeezer	counter,drawer	Girl takes out juicer	She gets out a lime, cutting board, and juicer.	The person removes a juicer.	The person gets out a juicer.			The person gets out a juicer.	Takes juice extractor out of drawer.							Take out cutting board and juicer	she takes out a hand-held juice extractor	The person removed a juicer.	The person gets out a juicer.
616	648	move	hand	cutting board	counter					The person removes a cutting board and juicer from the drawer.	Get your lime, cutting board, knife and juicer ready.			She opens the drawer again, removes a juice extractor, places it on the counter and closes the drawer.	She opens the drawer and takes out a cutting board and juicer.	Lady enters the kitchen, pulls out a lime out of the fridge, then pulls out a cutting board and juice squeezer and places them on the counter. She then begins to wash the lime.	Get a lime, a cutting board and a squeezer out.	gather lime, cutting board and juicer	The woman takes out a cutting board, a lime, and a manual juicer.	Clean lime by washing it under sink water			
667	819	wash	hand	lime									Rinses lime off in the sink.						The woman washes off the lime.		she rinses the lime		The person rinses the lime.
819	883	shake	hand	lime		Girl washes lime	She washes the lime.	The lime is washed.	The person rinses the lime.	The person rinses off the lime.	Rinse off your lime and place on the cutting board.	The person rinses the lime.		She goes to the sink, turns on the faucet, rinses the fruit and places it on the counter.	She goes to the sink and washes the lime.		Wash the lime.					The lime is washed.. The lime is placed on the cutting board.	
910	1030	take out	hand	knife	drawer	Girl takes out knife		A knife is selected.	The person gets out a knife.	The person removes a knife from the drawer.		The person gets out a knife.	Takes knife out of drawer.	The woman opens a drawer, removes a knife, then closes the drawer.	She goes into the drawer and takes out a knife.	She finishes washing the lime and pulls out a knife. She then places the lime on the cutting boar and begins to slice up the lime.				Take out knife to begin cutting	she takes out a knife	A knife is chosen.	The person gets out a knife.
1055	1160	cut	knife	lime	cutting board							The person cuts the lime in half.									she cuts the lime in half		The person cuts the lime in half.
1160	1193	take apart	hand	lime		Girl cuts lime in half	She gets a knife and cuts the lime in half.	The lime is cut in half.	The person cuts the lime in half.	The person cuts the lime in half.	Cut your lime in half.		Slices lime in half.		She then cuts the lime in half.		Cut lime in half with a knife	wash lime and then cut it in half on the cutting board	Using a knife she cuts the lime into two equal peices.			The lime is sliced in half.	
1224	1292	move	hand	squeezer	counter															Cut lime down the middle and begin twisting lime on juicer top			
1292	1753	squeeze	squeezer	lime	squeezer											After slicing the lime in half, she takes on half of it and starts to squish it into the juicer, trying to get as much juice as she can from the lime.							
1776	2221	squeeze	squeezer	lime	squeezer																		
2273	2752	squeeze	squeezer	lime	squeezer											She is taking her time and thoroughly getting as much juice as she can from the half of lime.							
2756	2791	squeeze	squeezer	lime	squeezer																		
2791	2812	move	hand	lime	cutting board,squeezer			One half of the lime is juiced.					Uses juice extractor on first half of lime.		She picks up half of the lime and start juicing it.		Press one half energetically against the squeezer until there is no juice left in it.	put 1/2 of the lime on the ridged oval part of the juicer, push down and rotate lime several times	She takes one half of the lime, pushes the flat side onto the top of the juicer and twists.		She uses the extractor on one half of the lime	One half of the lime is juiced.	
2812	2855	move	hand	lime	cutting board,squeezer		She juices the first half of the lime.			The person juices the first half of the lime.	Place half of the lime firmly over the top of the juicer and twist back and forth.			She cuts the line in half, picks up one half and removes the juice with the juice extractor.						After getting all the juice, take the other side of the lime and begin twisting. Cut slits in the middle of the lime to make it easier to juice			
2899	3177	cut	knife	lime	cutting board			Slits are cut into the other lime half.		The person makes small incisions in the fruit of the other half of the lime.						After being satisfied she got all the juice out of the lime, she then placed the half lime back on the cutting board and picks up the other half. She cuts a bunch of slats into the other half of the lime to make it turn easier in the juicer.	Make cuts in the other half of the lime to ease the squeezed process.		She cuts the flat side of the other half of the lime with the knife.			The person cuts slits into the lime half.	
3202	4005	squeeze	squeezer	lime	squeezer											she then proceeds to try and get as much juice out of the lime.							
4060	4376	squeeze	squeezer	lime	squeezer			The other half of the lime is juiced.					Uses juice extractor on second half of lime.	She picks up the other half, cuts it open a little for easier juicing.  She repeats the process of removing the juice with the extractor.	She then takes the other half of the lime and cuts slices into it and begins juicing it.		Press the other half against the squeezer until there is no more juice in the lime.	with the second half of the lime, try scoring the top several times to make juicing easier, again, push down and rotate the lime on the juicer several times 	She repeats step 4 with the second half of the lime.	Make sure all juice is extracted from the lime	She extracts the juice from the other half of the lime	The other lime half is juiced.	
4453	4590	squeeze	squeezer	lime	squeezer	Girl twists lime on juicer	After scoring the lime, she juices the rest of it.	The first half is juiced some more.	The person juices the lime.	The person juices the remaining half of the lime.	Repeat the steps for the second half of the lime.	The person juices the lime.		She attempts to get a little more juice from the first half.  Then sets it back on the cutting board.			Squeeze the lime again to check there's no more juice left.	for good measure, redo the first half of the lime a few times				Juicing is complete.	The person juices each half of the lime.
4706	4806	wash	hand	knife		Girl washes knife		The person washed the knife.				The person rinses the knife.	Rinses off the knife in the sink.				Wash the knife.		She washes the knife used during the video.			The person rinsed the knife.	The person rinses the knife.
4848	4891	shake	hand	hand					The person rinses the knife.	The person rinses the knife off.				She picks up the knife, takes it to the sink and washes it.	She picks up the knife and washes it.	After getting as much juice as she can from the limes, she then washes the knife and sets it aside.		wash knife					
