277	437	take out	hand	kiwi	fridge	The woman retrieves a kiwi from the refrigerator.	The person gets a kiwi fruit out of the fridge.	She took out kiwi	The person gets out a kiwi.		The woman removes a kiwi fruit from the refrigerator and places it in the sink.	She took out kiwi	The person takes a kiwi out of the refrigerator.	The person takes out a kiwi.	She took out kiwi		Get 1 kiwi from fridge.	A kiwi is removed  from the refrigerator and placed in the sink.	The woman removes a kiwi from the refrigerator and places it in the sink.	The woman gets a kiwi fruit out of the refrigerator.	A woman enters, removes a kiwi from the refrigerator and places it in sink.	She walked to the refrigerator and took out a kiwi.
496	691	take out	hand	peeler	drawer			She took out peeler	The person gets out a vegetable peeler.			She took out peeler		The person takes out a fruit peeler.	She took out peeler		Get out a peeler.	The person selected a produce peeler.				She placed the kiwi in the sink and took a peeler out of the drawer.
699	866	open	hand		drawer																	
901	1008	take out	hand	cutting board	drawer		The person gets out a small cutting board and a potato peeler.	She took out cutting board	The person gets out a wooden plate.		She removes a peeler and cutting board from the drawer and places them on the counter.	She took out cutting board	The person takes a peeler and a chopping board out of the drawers.	The person takes out a cutting board.	She took out cutting board		Get out a cutting board.	The person removed a cutting board.		The woman gets a peeler and cutting board out of the drawer and places them on the counter.		
1052	1167	wash	hand	kiwi		The woman washes the kiwi in the sink with water.							The person washes the kiwi.						 The woman removes a peeler from one drawer and a cutting board from the other drawer.			She took out the cutting board and washed off the kiwi.
1171	1208	shake	hand	kiwi			The person washes off the kiwi fruit.	She washed kiwi	The person rinses the kiwi.	the person gets a peeler and a cutting board. the person washes the Kiwi	She rinses the kiwi fruit and places it on the cutting board.	She washed kiwi			She washed kiwi	The person washes the kiwi	Wash the kiwi under running water and shake off excess.	The kiwi was washed and placed on the cutting board.		The woman washes the kiwi fruit.	The woman removes a peeler and cutting board from drawer and washes kiwi.	
1226	1466	take out	hand	knife	drawer		The person gets out a knife.	She took out knife	The person gets out a knife.			She took out knife	The person takes a knife out of the drawer.	The person takes out a knife.	She took out knife		Get out a sharp knife.					She place the kiwi on the cutting board and took out a knife from the drawer.
1506	1551	wash	hand	knife		The woman retrieves a knife from the drawer and rinses it in the sink.		She washed knife														
1594	1647	wash	hand	peeler																		
1647	1666	shake	hand	peeler			The person washes the knife and the peeler.	She washed peeler	The person rinses the knife and vegetable peeler.		She removes a knife from the drawer.		The person washes the knife and the peeler.				Rinse off knife and peeler, if needed.	The person picked out a knife for cutting and rinsed it and the peeler .		The woman gets a knife out of the drawer, washes it, and places if on the cutting board.	The woman removes a knife from the drawer and then washes the peeler and the knife.	She rinsed off the knife and the peeler.
