237	742	take out	hand	orange	fridge,sink	Obtain one large orange.	She gets an orange.	The person procures an orange from the fridge.		She grabs an orange. 	She gets an orange from the fridge.	She took out orange	person gets orange		The woman grabs an orange.	The person takes out an orange.	Girl takes out orange	The person procures an orange from the fridge.	The person takes an orange from the fridge.	The woman retrieves an orange from the refrigerator and places it in the sink.	She goes to the refrigerator where she takes out an orange which she places in the sink.		The person takes an orange from the fridge.	The person gets out an orange and puts it in the sink.	She get the orange from the refrigerator.
764	915	take out	hand	cutting board	counter,drawer			The person takes out a cutting board from the drawer.				She took out cutting board	person gets cutting board		The woman grabs a cutting board.	The person takes out a cutting board.	Girl takes out cutting board	The person takes out a cutting board from the drawer.	The person takes a cutting board from a drawer.				The person takes out a cutting board.	The person gets out a wooden plate.	She gets the cutting board from the cupboard.
922	1356	take out	hand	knife	drawer			The person takes out a knife from the drawer.		She gets a cutting board and knife. 			person gets knife	Grab a orange, cutting board, and a knife.		The person takes out a knife.	Girl takes out knife	The person takes out a knife from the drawer. 	The person takes a knife from the cutlery drawer.			The woman grabs an orange, a cutting board, and a knife.	The person takes out a knife.	The person gets out a knife.	She gets the knife from the drawer.
1398	1450	wash	hand	knife								She took out knife			The woman grabs a knife and rinses it.					The woman gets a knife and cutting board from the drawer.					
1502	1565	wash	hand	cutting board																					
1565	1587	shake	hand	cutting board																					
1604	1700	wash	hand	orange																The woman rinses the orange, cutting board, and knife.		The woman rinses the knife, cutting board and knife under running water.			
1709	1726	shake	hand	orange						She rinses everything. 		She washed orange			The woman rinses the cutting board and orange.		Girl washes supplies		The person rinses off the knife, cutting board, and orange in the sink.					The person rinses the knife, plate and orange.	
1736	1765	shake	hand	knife,orange		organize tools. One knife and One Cutting Board. Rinse if necessary		The person washes the knife, the cutting board, and the orange in the sink.	Gather and rinse orange, knife and cutting board.				person washes orange					The person washes the knife, the cutting board, and the orange in the sink.			She takes out a cutting board and a knife, which she washes along with the orange.		The person washes the knife, the cutting board, and the orange.		
1815	1892	cut	knife	orange	cutting board	Slice orange in half.	She slices the orange.	The person slices the orange into halves.	Cut orange in half.	She cuts the orange in half. 	She cuts the orange in half. 	She cut orange in half	person cuts orange in half	Slice your orange in halves. 	The woman cuts the orange in half.	The person slices the orange in half width-wise.	Girl cuts orange in half		The person cuts the orange in half on the cutting board with the knife.	The woman slices the orange in half with the knife.		The woman cuts the orange in half.	The person halves the orange with the knife on the cutting board.	The person cuts the orange in half.	She cuts the orange in half.
1935	1998	wash	hand	hand																					
2005	2037	dry	sponge	hand								She washed hands						The person chops the orange in half and then washes her hands.			She cuts the orange in half and wets her hands.				
