137	191	open	hand		cupboard																				
196	458	take out	hand	onion	,cupboard		She took out onion		She took out onion				She took out onion					The woman removes two onions from a cabinet.	The person gets out two onions.	She gets a knife and onions. 		The person gets out two onions.		The person gets an onion from the pantry.	
480	722	take out	hand	knife	,drawer									She gets an onion and a knife. 		The woman takes out two onions from a cabinet. 			The person gets out a knife.			The person gets out a knife.	The person obtains two small onions from the pantry.		
751	806	open	hand		drawer		She took out knife					She gets onions and knife.	She took out knife												
806	835	move	hand	onion	,counter			She gets out some onions. 	She took out knife	She gets out an onion and a knife. 	She gets a knife and a couple onions. 					She takes out a small knife, walks over to the trash can, and sets one onion on the counter. 		She then removes a knife from the drawer.			The person has grabbed the onion and a knife.		The person takes a small knife from the drawer.	The person takes a knife from the drawer.	She get a knife and an onion.
860	1811	peel	knife	onion		The woman takes out a knife and an onion, and cuts the peel off of the onion over the garbage.										She uses the small knife to cut off the outer layer of the onion.	The woman peels the onions.			She peels the onions.	The person has removed the outer layer of skin.				
1812	1864	move	hand	onion	,sink		She peels onion		She peeled onion						The person peeled the onion with a knife	She places the peeled onion in the sink and picks up the second onion. 								The person peels an onion over the trash can.	She peels the first onion.
1882	2842	peel	hand	onion																					
2849	2879	move	hand	onion	,sink	She cuts a second onion over the garbage can.	She peels second onion	She peels the onions. 	She peeled second onion	She peels the onions. 	She peels the onions. 	She peels onions with knife.	She peeled onions	She peels the onions. 	The person peeled a second onion 	She peels the second onion and places it in the sink. 	The woman dices the first onion.	She peels the onion skins off into the recycling bin, and places the onions in the sink.	The person peels the onions and puts them in the sink.		The person has removed the outer layer of skin on a second onion.	The person peels the onions and puts them in the sink.		The person peels another onion over the wastebin with the knife.	She peels the other onion. 
2909	3250	take out	hand	cutting board	counter,drawer																		The person peels the onions over the trashcan with the knife then sets them in the sink.		
3256	3285	close	hand		drawer												The woman adds the first onion to the pan.		The person gets out a wooden plate.			The person gets out a wooden plate.			
3307	3346	move	hand	onion	cutting board,sink		She takes out cutting board		She took out cutting board		She gets a cutting board.	She gets cutting board.	She took out cutting board	She gets a cutting board.									The person chooses a circular cutting board from the drawer and sets it on the countertop.	The person takes out a cutting board from the drawer.	
3357	3571	cut	knife	onion	cutting board											She takes out a round cutting board and places one onion on it. 									
3582	3733	chop	knife	onion	cutting board																				
3775	3832	cut	knife	onion	cutting board																				
3849	4618	chop	knife	onion	cutting board												The woman dices the second onion.								
4667	4778	slice	knife	onion	cutting board												She adds the second onion to the pan.			She chops the onion and adds it to a pan.					
4804	5847	chop	knife	onion	cutting board	She cuts the first onion into small pieces on a cutting board.											The woman adds oil to the pan.		The person cuts up an onion.	She heats the pan and adds oil.	The person has thinly sliced the onion and then chopped it into small pieces.	The person cuts up an onion.			
