263	354	open	hand		drawer																			
396	540	take out	hand	garlic press	counter,drawer							s13-d31_7_1			s13-d31_10_1		s13-d31_12_1		s13-d31_15_1	s13-d31_16_1				
540	584	close	hand		drawer	s13-d31_1_1			s13-d31_4_1		s13-d31_6_1			s13-d31_9_1										s13-d31_20_1
584	632	close	hand		drawer		s13-d31_2_1									s13-d31_11_1								
676	912	take out	hand	plate	counter,cupboard	s13-d31_1_2	s13-d31_2_2		s13-d31_4_2		s13-d31_6_2	s13-d31_7_2		s13-d31_9_2		s13-d31_11_2	s13-d31_12_2		s13-d31_15_2	s13-d31_16_2				
949	1289	take out	hand	garlic	counter,cupboard	s13-d31_1_3	s13-d31_2_3		s13-d31_4_3		s13-d31_6_3	s13-d31_7_3	s13-d31_8_1	s13-d31_9_3	s13-d31_10_2	s13-d31_11_3	s13-d31_12_3		s13-d31_15_3	s13-d31_16_3				s13-d31_20_2
1325	1519	take out	hand	knife	drawer,plate				s13-d31_4_4		s13-d31_6_4	s13-d31_7_4		s13-d31_9_4			s13-d31_12_4		s13-d31_15_4	s13-d31_16_4				
1519	1572	close	hand		drawer	s13-d31_1_4	s13-d31_2_4	s13-d31_3_1								s13-d31_11_4								
1632	1788	take out	hand	plate	counter,cupboard	s13-d31_1_5	s13-d31_2_5	s13-d31_3_2	s13-d31_4_5	s13-d31_5_1		s13-d31_7_5	s13-d31_8_2	s13-d31_9_5		s13-d31_11_5	s13-d31_12_5	s13-d31_14_1	s13-d31_15_5	s13-d31_16_5	s13-d31_17_1	s13-d31_18_1	s13-d31_19_1	s13-d31_20_3
1887	2205	take apart	hand	garlic				s13-d31_3_3		s13-d31_5_2			s13-d31_8_3				s13-d31_12_6	s13-d31_14_2			s13-d31_17_2		s13-d31_19_2	s13-d31_20_4
2218	2288	cut	knife	garlic																	s13-d31_17_3			
2299	2694	peel	knife	garlic																				
2769	2931	peel	hand	garlic																				
3054	3189	cut	knife	garlic																				
3195	3384	peel	hand	garlic		s13-d31_1_6	s13-d31_2_6		s13-d31_4_6	s13-d31_5_3	s13-d31_6_5	s13-d31_7_6	s13-d31_8_4	s13-d31_9_6	s13-d31_10_3	s13-d31_11_6	s13-d31_12_7	s13-d31_14_3	s13-d31_15_6	s13-d31_16_6	s13-d31_17_4	s13-d31_18_2	s13-d31_19_3	s13-d31_20_5
3548	3611	put in	hand	garlic	garlic press,plate																			
3635	3867	press	garlic press	garlic	garlic press,plate													s13-d31_14_4						
3890	3985	put in	hand	garlic	garlic press,plate																			
4007	4193	press	garlic press	garlic	garlic press,plate																			
4227	4270	put in	hand	garlic	garlic press,plate																			
4287	4478	press	garlic press	garlic	garlic press,plate		s13-d31_2_7	s13-d31_3_4		s13-d31_5_4	s13-d31_6_6	s13-d31_7_7	s13-d31_8_5		s13-d31_10_4	s13-d31_11_7	s13-d31_12_8	s13-d31_14_5	s13-d31_15_7	s13-d31_16_7	s13-d31_17_5		s13-d31_19_4	s13-d31_20_6
4530	4624	take out	hand	teaspoon	drawer									s13-d31_9_7			s13-d31_12_9					s13-d31_18_3. s13-d31_18_4		
4712	4835	scratch off	hand	garlic	garlic press,plate																			
4835	4902	gather	teaspoon	garlic	plate						s13-d31_6_7	s13-d31_7_8				s13-d31_11_8					s13-d31_17_6		s13-d31_19_5	
4902	4952	move	hand	plate	counter	s13-d31_1_7	s13-d31_2_8	s13-d31_3_5	s13-d31_4_7. s13-d31_4_8	s13-d31_5_5		s13-d31_7_9	s13-d31_8_6		s13-d31_10_5	s13-d31_11_9	s13-d31_12_10	s13-d31_14_6		s13-d31_16_8		s13-d31_18_5		s13-d31_20_7
