276	566	take out	hand	plum	fridge		s14-d35_2_1	s14-d35_3_1	s14-d35_4_1	s14-d35_5_1		s14-d35_7_1	s14-d35_8_1	s14-d35_9_1	s14-d35_10_1	s14-d35_11_1	s14-d35_12_1	s14-d35_13_1	s14-d35_14_1	s14-d35_15_1			s14-d35_20_1
576	683	take out	hand	knife	counter,drawer	s14-d35_1_1	s14-d35_2_2	s14-d35_3_2	s14-d35_4_2	s14-d35_5_2	s14-d35_6_1	s14-d35_7_2	s14-d35_8_2	s14-d35_9_2	s14-d35_10_2	s14-d35_11_2	s14-d35_12_2	s14-d35_13_2	s14-d35_14_2	s14-d35_15_2	s14-d35_17_1		s14-d35_20_2
728	895	take out	hand	plate	counter,cupboard	s14-d35_1_2	s14-d35_2_3	s14-d35_3_3	s14-d35_4_3	s14-d35_5_3	s14-d35_6_2	s14-d35_7_3	s14-d35_8_3	s14-d35_9_3	s14-d35_10_3	s14-d35_11_3	s14-d35_12_3	s14-d35_13_3	s14-d35_14_3	s14-d35_15_3	s14-d35_17_2	s14-d35_19_1	s14-d35_20_3
922	1061	wash	hand	plum		s14-d35_1_3											s14-d35_12_4						
1061	1092	shake	hand	plum			s14-d35_2_4			s14-d35_5_4			s14-d35_8_4										s14-d35_20_4
1092	1125	move	hand	towel	,handle																		
1125	1223	dry	towel	plum		s14-d35_1_4						s14-d35_7_4		s14-d35_9_4									s14-d35_20_5
1236	1293	hang up	hand	towel	,handle	s14-d35_1_5	s14-d35_2_5	s14-d35_3_4	s14-d35_4_4	s14-d35_5_5	s14-d35_6_3		s14-d35_8_5		s14-d35_10_4	s14-d35_11_4	s14-d35_12_5	s14-d35_13_4	s14-d35_14_4	s14-d35_15_4	s14-d35_17_3	s14-d35_19_2	
1346	1462	cut	knife	plum		s14-d35_1_6																	
1462	1551	take apart	hand	plum		s14-d35_1_7	s14-d35_2_6					s14-d35_7_5	s14-d35_8_6	s14-d35_9_5	s14-d35_10_5	s14-d35_11_5	s14-d35_12_6	s14-d35_13_5	s14-d35_14_5		s14-d35_17_4	s14-d35_19_3	
1590	1646	cut	knife	plum		s14-d35_1_8																s14-d35_19_4	
1646	1723	take apart	hand	plum																			
1723	1846	cut	knife	plum		s14-d35_1_9					s14-d35_6_4											s14-d35_19_5	
1867	1962	cut	knife	plum		s14-d35_1_10									s14-d35_10_6							s14-d35_19_6	
1973	2055	cut	knife	plum		s14-d35_1_11	s14-d35_2_7	s14-d35_3_5	s14-d35_4_5	s14-d35_5_6		s14-d35_7_6	s14-d35_8_7	s14-d35_9_6	s14-d35_10_7		s14-d35_12_7	s14-d35_13_6		s14-d35_15_5	s14-d35_17_5	s14-d35_19_7	s14-d35_20_6
2097	2221	throw in garbage	hand	stone		s14-d35_1_12	s14-d35_2_8	s14-d35_3_6	s14-d35_4_6	s14-d35_5_7		s14-d35_7_7	s14-d35_8_8	s14-d35_9_7	s14-d35_10_8	s14-d35_11_6		s14-d35_13_7	s14-d35_14_6	s14-d35_15_6	s14-d35_17_6	s14-d35_19_8	s14-d35_20_7
2247	2344	wash	hand	knife		s14-d35_1_13																	
2344	2377	shake	hand	knife			s14-d35_2_9	s14-d35_3_7	s14-d35_4_7	s14-d35_5_8	s14-d35_6_5	s14-d35_7_8		s14-d35_9_8	s14-d35_10_9	s14-d35_11_7		s14-d35_13_8	s14-d35_14_7	s14-d35_15_7	s14-d35_17_7	s14-d35_19_9	s14-d35_20_8
