214	342	take out	hand	cutting board	counter,drawer	s23-d31_1_1						s23-d31_9_1		s23-d31_11_1	s23-d31_12_1	s23-d31_13_1					
361	429	take out	hand	knife	cutting board,drawer									s23-d31_11_2	s23-d31_12_2	s23-d31_13_2					
429	485	close	hand		drawer	s23-d31_1_2				s23-d31_6_1		s23-d31_9_2					s23-d31_14_1	s23-d31_15_1			s23-d31_20_1
526	673	take out	hand	plate	cupboard																
679	918	take out	hand	garlic	,cupboard	s23-d31_1_3		s23-d31_4_1	s23-d31_5_1		s23-d31_7_1	s23-d31_9_3	s23-d31_10_1	s23-d31_11_3	s23-d31_12_3	s23-d31_13_3	s23-d31_14_2	s23-d31_15_2		s23-d31_19_1	s23-d31_20_2
918	1045	take apart	hand	garlic	,plate	s23-d31_1_4					s23-d31_7_2								s23-d31_17_1	s23-d31_19_2	s23-d31_20_3
1064	1135	put in	hand	garlic	,cupboard	s23-d31_1_5	s23-d31_3_1. s23-d31_3_2. s23-d31_3_3. s23-d31_3_4	s23-d31_4_2	s23-d31_5_2	s23-d31_6_2		s23-d31_9_4		s23-d31_11_4	s23-d31_12_4			s23-d31_15_3			
1188	1367	take apart	hand	garlic	plate	s23-d31_1_6														s23-d31_19_3	
1367	1414	move	hand	garlic	cutting board,plate				s23-d31_5_3		s23-d31_7_3		s23-d31_10_2		s23-d31_12_5		s23-d31_14_3		s23-d31_17_2		
1429	1494	squash	knife	garlic	cutting board																
1520	1580	squash	knife	garlic	cutting board	s23-d31_1_7		s23-d31_4_3			s23-d31_7_4					s23-d31_13_4	s23-d31_14_4		s23-d31_17_3	s23-d31_19_4	
1601	1819	peel	hand	garlic						s23-d31_6_3			s23-d31_10_3								
1837	1992	peel	hand	garlic		s23-d31_1_8		s23-d31_4_4	s23-d31_5_4		s23-d31_7_5	s23-d31_9_5	s23-d31_10_4				s23-d31_14_5		s23-d31_17_4	s23-d31_19_5	s23-d31_20_4
2072	2298	cut	knife	garlic	cutting board																
2310	2371	move	hand	garlic	cutting board,plate	s23-d31_1_9		s23-d31_4_5	s23-d31_5_5								s23-d31_14_6			s23-d31_19_6	s23-d31_20_5
2403	2528	chop	knife	garlic	cutting board																
2528	2569	scratch off	hand	garlic	cutting board,knife				s23-d31_5_6	s23-d31_6_4							s23-d31_14_7			s23-d31_19_7	
2694	2790	chop	knife	garlic	cutting board																
2790	2831	scratch off	hand	garlic	cutting board,knife												s23-d31_14_8				
2858	2993	chop	knife	garlic	cutting board																
3000	3053	scratch off	hand	garlic	cutting board,knife	s23-d31_1_10	s23-d31_3_5. s23-d31_3_6	s23-d31_4_6	s23-d31_5_7	s23-d31_6_5	s23-d31_7_6	s23-d31_9_6	s23-d31_10_5	s23-d31_11_5	s23-d31_12_6	s23-d31_13_5	s23-d31_14_9	s23-d31_15_4. s23-d31_15_5	s23-d31_17_5	s23-d31_19_8	s23-d31_20_6
