211	339	take out	hand	cutting board	counter,drawer	s23-d34_1_1				s23-d34_6_1		s23-d34_9_1	s23-d34_10_1		s23-d34_12_1	s23-d34_13_1		s23-d34_15_1	s23-d34_16_1			s23-d34_19_1	s23-d34_20_1
344	370	close	hand		drawer												s23-d34_14_1			s23-d34_17_1	s23-d34_18_1		
373	472	take out	hand	knife	cutting board,drawer	s23-d34_1_2	s23-d34_2_1	s23-d34_4_1	s23-d34_5_1	s23-d34_6_2		s23-d34_9_2	s23-d34_10_2	s23-d34_11_1	s23-d34_12_2	s23-d34_13_2. s23-d34_13_3	s23-d34_14_2	s23-d34_15_2	s23-d34_16_2	s23-d34_17_2	s23-d34_18_2	s23-d34_19_2	s23-d34_20_2
520	763	take out	hand	ginger	cupboard,cutting board	s23-d34_1_3	s23-d34_2_2			s23-d34_6_3		s23-d34_9_3	s23-d34_10_3	s23-d34_11_2	s23-d34_12_3	s23-d34_13_4	s23-d34_14_3	s23-d34_15_3	s23-d34_16_3	s23-d34_17_3	s23-d34_18_3	s23-d34_19_3	s23-d34_20_3
784	891	take out	hand	plate	cupboard	s23-d34_1_4					s23-d34_8_1	s23-d34_9_4			s23-d34_12_4	s23-d34_13_5	s23-d34_14_4	s23-d34_15_4	s23-d34_16_4	s23-d34_17_4	s23-d34_18_4	s23-d34_19_4	s23-d34_20_4
921	1129	wash	hand	plate		s23-d34_1_5		s23-d34_4_2							s23-d34_12_5	s23-d34_13_6	s23-d34_14_5	s23-d34_15_5	s23-d34_16_5	s23-d34_17_5		s23-d34_19_5	
1140	1176	move	hand	plate	,counter		s23-d34_2_3		s23-d34_5_2		s23-d34_8_2	s23-d34_9_5									s23-d34_18_5		s23-d34_20_5
1209	1360	cut	knife	ginger	cutting board	s23-d34_1_6		s23-d34_4_3				s23-d34_9_6	s23-d34_10_4		s23-d34_12_6	s23-d34_13_7	s23-d34_14_6	s23-d34_15_6	s23-d34_16_6				s23-d34_20_6
1373	1548	put in	hand	ginger	cupboard,cutting board	s23-d34_1_7			s23-d34_5_3	s23-d34_6_4	s23-d34_8_3	s23-d34_9_7	s23-d34_10_5	s23-d34_11_3	s23-d34_12_7	s23-d34_13_8	s23-d34_14_7	s23-d34_15_7	s23-d34_16_7		s23-d34_18_6	s23-d34_19_6	s23-d34_20_7
1586	1619	move	hand	ginger	,cutting board				s23-d34_5_4														
1619	1999	wash	hand	ginger		s23-d34_1_8		s23-d34_4_4		s23-d34_6_5									s23-d34_16_8	s23-d34_17_6			
1999	2033	shake	hand	ginger							s23-d34_8_4	s23-d34_9_8	s23-d34_10_6	s23-d34_11_4	s23-d34_12_8	s23-d34_13_9	s23-d34_14_8	s23-d34_15_8			s23-d34_18_7	s23-d34_19_7	
2033	2093	move	hand	ginger	,cutting board		s23-d34_2_4																s23-d34_20_8
2101	2201	cut	knife	ginger	cutting board			s23-d34_4_5								s23-d34_13_10			s23-d34_16_9		s23-d34_18_8	s23-d34_19_8	
2338	2424	cut	knife	ginger	cutting board				s23-d34_5_5														
2483	2671	slice	knife	ginger	cutting board			s23-d34_4_6	s23-d34_5_6														
2721	2964	slice	knife	ginger	cutting board																		
2964	3004	scratch off	hand	ginger	cutting board,knife											s23-d34_13_11				s23-d34_17_7			
3039	3211	cut	knife	ginger	cutting board																		
3211	3230	move	hand,knife	ginger	cutting board,plate				s23-d34_5_7						s23-d34_12_9							s23-d34_19_9	
3230	3270	scratch off	hand	ginger	knife,plate																		
3391	3623	cut	knife	ginger	cutting board																		
3623	3658	scratch off	hand	ginger	cutting board,knife																		
3699	3829	cut	knife	ginger	cutting board																		
3829	3862	scratch off	hand	ginger	cutting board,knife																		
3915	4170	cut	knife	ginger	cutting board																		
4170	4224	scratch off	hand	ginger	cutting board,knife																		
4249	4402	cut	knife	ginger	cutting board																		
4402	4426	scratch off	hand	ginger	cutting board,knife																		
4466	4622	cut	knife	ginger	cutting board																		
4649	4729	cut	knife	ginger	cutting board																		
4729	4772	scratch off	hand	ginger	cutting board,knife	s23-d34_1_9			s23-d34_5_8							s23-d34_13_12			s23-d34_16_10	s23-d34_17_8			
4818	4922	move	hand,knife	ginger	cutting board,plate	s23-d34_1_10		s23-d34_4_7		s23-d34_6_6		s23-d34_9_9		s23-d34_11_5	s23-d34_12_10	s23-d34_13_13	s23-d34_14_9	s23-d34_15_9	s23-d34_16_11	s23-d34_17_9	s23-d34_18_9		s23-d34_20_9
4991	5058	throw in garbage	hand	garbage			s23-d34_2_5				s23-d34_8_5		s23-d34_10_7			s23-d34_13_14					s23-d34_18_10		
