188	316	take out	hand	cutting board	counter,drawer	s23-d39_1_1	s23-d39_2_1	s23-d39_3_1		s23-d39_5_1	s23-d39_6_1				s23-d39_10_1	s23-d39_11_1	s23-d39_12_1. s23-d39_12_2		s23-d39_14_1		s23-d39_16_1	s23-d39_17_1	s23-d39_18_1	s23-d39_19_1	s23-d39_20_1
346	443	take out	hand	knife	cutting board,drawer	s23-d39_1_2	s23-d39_2_2	s23-d39_3_2	s23-d39_4_1	s23-d39_5_2	s23-d39_6_2	s23-d39_7_1			s23-d39_10_2	s23-d39_11_2	s23-d39_12_3		s23-d39_14_2		s23-d39_16_2		s23-d39_18_2	s23-d39_19_2	s23-d39_20_2
468	652	take out	hand	plate	counter,cupboard	s23-d39_1_3	s23-d39_2_3	s23-d39_3_3		s23-d39_5_3	s23-d39_6_3		s23-d39_8_1	s23-d39_9_1	s23-d39_10_3	s23-d39_11_3	s23-d39_12_4	s23-d39_13_1	s23-d39_14_3		s23-d39_16_3		s23-d39_18_3	s23-d39_19_3	s23-d39_20_3
692	851	take out	hand	leek	cupboard	s23-d39_1_4	s23-d39_2_4	s23-d39_3_4	s23-d39_4_2	s23-d39_5_4	s23-d39_6_4	s23-d39_7_2		s23-d39_9_2	s23-d39_10_4	s23-d39_11_4			s23-d39_14_4	s23-d39_15_1	s23-d39_16_4	s23-d39_17_2	s23-d39_18_4	s23-d39_19_4	s23-d39_20_4
908	1021	wash	hand	leek									s23-d39_8_2												
1021	1047	shake	hand	leek		s23-d39_1_5	s23-d39_2_5	s23-d39_3_5			s23-d39_6_5	s23-d39_7_3		s23-d39_9_3				s23-d39_13_2	s23-d39_14_5		s23-d39_16_5		s23-d39_18_5		
1071	1104	move	hand	leek	cutting board,sink				s23-d39_4_3	s23-d39_5_5					s23-d39_10_5	s23-d39_11_5	s23-d39_12_5			s23-d39_15_2				s23-d39_19_5	s23-d39_20_5
1120	1158	cut	knife	leek	cutting board	s23-d39_1_6				s23-d39_5_6	s23-d39_6_6			s23-d39_9_4	s23-d39_10_6				s23-d39_14_6		s23-d39_16_6	s23-d39_17_3	s23-d39_18_6	s23-d39_19_6	s23-d39_20_6
1243	1531	take apart	hand	leek						s23-d39_5_7				s23-d39_9_5	s23-d39_10_7	s23-d39_11_6			s23-d39_14_7		s23-d39_16_7	s23-d39_17_4	s23-d39_18_7		s23-d39_20_7
1582	1620	move	hand	leek	,cutting board		s23-d39_2_6				s23-d39_6_7							s23-d39_13_3		s23-d39_15_3				s23-d39_19_7	
1632	1961	wash	hand	leek		s23-d39_1_7	s23-d39_2_7	s23-d39_3_6		s23-d39_5_8	s23-d39_6_8	s23-d39_7_4		s23-d39_9_6	s23-d39_10_8	s23-d39_11_7			s23-d39_14_8		s23-d39_16_8		s23-d39_18_8		s23-d39_20_8
2049	2089	move	hand	leek	,cutting board															s23-d39_15_4				s23-d39_19_8	
2106	2136	cut	knife	leek	cutting board						s23-d39_6_9										s23-d39_16_9		s23-d39_18_9		
2145	2186	move	hand	leek	cutting board,plate	s23-d39_1_8		s23-d39_3_7	s23-d39_4_4	s23-d39_5_9			s23-d39_8_3	s23-d39_9_7	s23-d39_10_9		s23-d39_12_6		s23-d39_14_9	s23-d39_15_5				s23-d39_19_9	s23-d39_20_9
2350	2578	cut	knife	leek	cutting board			s23-d39_3_8			s23-d39_6_10			s23-d39_9_8				s23-d39_13_4	s23-d39_14_10	s23-d39_15_6	s23-d39_16_10	s23-d39_17_5	s23-d39_18_10		
2596	3353	slice	knife	leek	cutting board			s23-d39_3_9										s23-d39_13_5							
3442	3481	scratch off	hand	leek	cutting board,knife																				
3481	4370	slice	knife	leek	cutting board																				
4371	4428	scratch off	hand	leek	cutting board,knife	s23-d39_1_9	s23-d39_2_8	s23-d39_3_10	s23-d39_4_5	s23-d39_5_10	s23-d39_6_11	s23-d39_7_5	s23-d39_8_4		s23-d39_10_10	s23-d39_11_8	s23-d39_12_7	s23-d39_13_6	s23-d39_14_11		s23-d39_16_11	s23-d39_17_6	s23-d39_18_11	s23-d39_19_10	s23-d39_20_10
4479	4531	move	hand	leek	counter,plate															s23-d39_15_7					
4531	4569	move	hand	plate	counter																				
4625	4742	move	hand	leek	cutting board,plate									s23-d39_9_9											
4827	4909	gather	hand,knife	leek	cutting board																				
4909	4968	move	hand,knife	leek	cutting board,plate																				
4968	5003	scratch off	hand	leek	knife,plate																				
5012	5071	gather	hand,knife	leek	cutting board																				
5071	5113	move	hand,knife	leek	cutting board,plate																				
5113	5152	scratch off	hand	leek	knife,plate																				
5160	5202	shake	hand	hand,knife			s23-d39_2_9	s23-d39_3_11								s23-d39_11_9	s23-d39_12_8								
5219	5272	gather	knife	leek	cutting board																				
5289	5314	move	hand,knife	leek	cutting board,plate														s23-d39_14_12						
5314	5351	scratch off	hand	leek	knife,plate	s23-d39_1_10			s23-d39_4_6	s23-d39_5_11	s23-d39_6_12	s23-d39_7_6	s23-d39_8_5		s23-d39_10_11			s23-d39_13_7					s23-d39_18_12		s23-d39_20_11
5360	5397	shake	hand	hand							s23-d39_6_13						s23-d39_12_9			s23-d39_15_8	s23-d39_16_12	s23-d39_17_7		s23-d39_19_11	
