225	339	take out	hand	cutting board	counter,drawer		s23-d51_2_1	s23-d51_3_1				s23-d51_7_1				s23-d51_11_1	s23-d51_12_1	s23-d51_13_1		s23-d51_15_1	s23-d51_16_1		s23-d51_18_1	
356	468	take out	hand	knife	cutting board,drawer	s23-d51_1_1		s23-d51_3_2			s23-d51_6_1					s23-d51_11_2	s23-d51_12_2			s23-d51_15_2	s23-d51_16_2			
468	500	close	hand		drawer		s23-d51_2_2			s23-d51_5_1		s23-d51_7_2			s23-d51_10_1			s23-d51_13_2					s23-d51_18_2	
500	696	take out	hand	bowl	drawer,sink		s23-d51_2_3	s23-d51_3_3	s23-d51_4_1	s23-d51_5_2		s23-d51_7_3	s23-d51_8_1		s23-d51_10_2	s23-d51_11_3	s23-d51_12_3	s23-d51_13_3	s23-d51_14_1	s23-d51_15_3	s23-d51_16_3	s23-d51_17_1	s23-d51_18_3	s23-d51_19_1
737	912	take out	hand	plastic bag	counter,fridge	s23-d51_1_2		s23-d51_3_4			s23-d51_6_2						s23-d51_12_4		s23-d51_14_2				s23-d51_18_4	
920	946	rip open	hand	plastic bag	counter					s23-d51_5_3				s23-d51_9_1	s23-d51_10_3	s23-d51_11_4								
946	1401	remove from package	hand	beans	bowl,paper box										s23-d51_10_4									
1420	1511	move	hand	plastic bag	counter																		s23-d51_18_5	
1529	1672	take out	hand	plastic bag	counter,fridge										s23-d51_10_5		s23-d51_12_5						s23-d51_18_6	
1780	1825	rip open	knife	plastic bag	counter																			
1842	1902	rip open	hand	plastic bag	counter																			
1902	1994	remove from package	hand	beans	bowl,paper box																			
1994	2043	remove from package	hand	beans	bowl,paper box					s23-d51_5_4					s23-d51_10_6						s23-d51_16_4	s23-d51_17_2	s23-d51_18_7	
2059	2237	put in	hand	plastic bag	counter,fridge		s23-d51_2_4	s23-d51_3_5	s23-d51_4_2	s23-d51_5_5	s23-d51_6_3			s23-d51_9_2	s23-d51_10_7		s23-d51_12_6		s23-d51_14_3	s23-d51_15_4			s23-d51_18_8	s23-d51_19_2
2277	2818	wash	hand	beans	bowl	s23-d51_1_3														s23-d51_15_5				
2818	2961	wash	hand	beans													s23-d51_12_7							
2976	3060	pour	bowl	water	sink		s23-d51_2_5	s23-d51_3_6	s23-d51_4_3	s23-d51_5_6	s23-d51_6_4	s23-d51_7_4	s23-d51_8_2		s23-d51_10_8	s23-d51_11_5		s23-d51_13_4	s23-d51_14_4		s23-d51_16_5	s23-d51_17_3	s23-d51_18_9	s23-d51_19_3
3149	3241	cut	knife	beans	cutting board																			
3252	3276	move	hand	beans	counter,cutting board																			
3286	3332	move	hand	beans	cutting board																			
3350	3452	cut	knife	beans	cutting board																			
3456	3472	move	hand	beans	counter,cutting board																			
3472	3525	move	hand	beans	cutting board																			
3525	3631	cut	knife	beans	cutting board																			
3643	3660	move	hand	beans	counter,cutting board									s23-d51_9_3										
3660	3759	move	hand	beans	cutting board																			
3759	3883	cut	knife	beans	cutting board																			
3888	3904	move	hand	beans	counter,cutting board																			
3904	3944	move	hand	beans	cutting board																			
3952	4038	cut	knife	beans	cutting board																			
4044	4054	move	hand	beans	counter,cutting board																			
4054	4065	move	hand	beans	cutting board																			
4079	4121	cut	knife	beans	cutting board																			
4122	4135	move	hand	beans	counter,cutting board												s23-d51_12_8							
4136	4155	scratch off	hand	beans	cutting board,knife			s23-d51_3_7		s23-d51_5_7					s23-d51_10_9	s23-d51_11_6			s23-d51_14_5		s23-d51_16_6	s23-d51_17_4	s23-d51_18_10	
4284	4396	throw in garbage	hand	beans			s23-d51_2_6			s23-d51_5_8	s23-d51_6_5			s23-d51_9_4		s23-d51_11_7	s23-d51_12_9						s23-d51_18_11	
4410	4441	wash	hand	hand				s23-d51_3_8	s23-d51_4_4			s23-d51_7_5	s23-d51_8_3		s23-d51_10_10			s23-d51_13_5			s23-d51_16_7			
4468	4494	move	hand	beans	counter,cutting board																			s23-d51_19_4
4515	4747	chop	knife	beans	cutting board																			
4747	4768	move	knife	beans	cutting board																			
4768	4805	move	hand	beans	counter,cutting board									s23-d51_9_5										
4852	5095	chop	knife	beans	cutting board																			
5095	5119	move	knife	beans	cutting board																			
5119	5155	move	hand	beans	counter,cutting board																			
5181	5471	chop	knife	beans	cutting board																			
5471	5502	move	hand	beans	cutting board																			
5502	5531	move	hand	beans	counter,cutting board																			
5541	5788	chop	knife	beans	cutting board																			
5788	5808	move	hand	beans	cutting board	s23-d51_1_4	s23-d51_2_7												s23-d51_14_6		s23-d51_16_8			
5808	5851	clean	hand	beans	cutting board,knife			s23-d51_3_9	s23-d51_4_5	s23-d51_5_9	s23-d51_6_6	s23-d51_7_6			s23-d51_10_11	s23-d51_11_8	s23-d51_12_10	s23-d51_13_6				s23-d51_17_5	s23-d51_18_12	s23-d51_19_5
