203	390	take out	hand	cutting board	counter,drawer	s24-d34_1_1	s24-d34_2_1	s24-d34_3_1	s24-d34_4_1	s24-d34_5_1	s24-d34_6_1	s24-d34_7_1	s24-d34_8_1				s24-d34_12_1	s24-d34_13_1	s24-d34_14_1	s24-d34_15_1	s24-d34_16_1	s24-d34_17_1	s24-d34_18_1		s24-d34_20_1
427	516	take out	hand	knife	cutting board,drawer	s24-d34_1_2	s24-d34_2_2	s24-d34_3_2	s24-d34_4_2	s24-d34_5_2	s24-d34_6_2	s24-d34_7_2	s24-d34_8_2	s24-d34_9_1	s24-d34_10_1		s24-d34_12_2	s24-d34_13_2	s24-d34_14_2	s24-d34_15_2	s24-d34_16_2	s24-d34_17_2	s24-d34_18_2		s24-d34_20_2
674	999	take out	hand	ginger	cupboard,cutting board	s24-d34_1_3	s24-d34_2_3	s24-d34_3_3	s24-d34_4_3	s24-d34_5_3	s24-d34_6_3	s24-d34_7_3	s24-d34_8_3		s24-d34_10_2	s24-d34_11_1	s24-d34_12_3		s24-d34_14_3	s24-d34_15_3	s24-d34_16_3	s24-d34_17_3	s24-d34_18_3	s24-d34_19_1	s24-d34_20_3
999	1054	cut	knife	ginger	cutting board																s24-d34_16_4				
1054	1091	move	hand	ginger	counter,cutting board	s24-d34_1_4	s24-d34_2_4	s24-d34_3_4	s24-d34_4_4		s24-d34_6_4	s24-d34_7_4	s24-d34_8_4				s24-d34_12_4	s24-d34_13_3	s24-d34_14_4	s24-d34_15_4		s24-d34_17_4	s24-d34_18_4	s24-d34_19_2	s24-d34_20_4
1226	1309	peel	knife	ginger								s24-d34_7_5	s24-d34_8_5		s24-d34_10_3	s24-d34_11_2					s24-d34_16_5				
1342	1489	take out	hand	peeler	drawer	s24-d34_1_5	s24-d34_2_5	s24-d34_3_5	s24-d34_4_5	s24-d34_5_4. s24-d34_5_5		s24-d34_7_6. s24-d34_7_7	s24-d34_8_6	s24-d34_9_2						s24-d34_15_5	s24-d34_16_6				s24-d34_20_5
1489	2291	peel	peeler	ginger			s24-d34_2_6	s24-d34_3_6	s24-d34_4_6		s24-d34_6_5		s24-d34_8_7	s24-d34_9_3		s24-d34_11_3	s24-d34_12_5	s24-d34_13_4	s24-d34_14_5	s24-d34_15_6	s24-d34_16_7	s24-d34_17_5			s24-d34_20_6
2404	2464	cut	knife	ginger	cutting board	s24-d34_1_6				s24-d34_5_6		s24-d34_7_8													
2738	2793	throw in garbage	hand	peel		s24-d34_1_7	s24-d34_2_7	s24-d34_3_7	s24-d34_4_7		s24-d34_6_6		s24-d34_8_8			s24-d34_11_4		s24-d34_13_5	s24-d34_14_6	s24-d34_15_7	s24-d34_16_8	s24-d34_17_6	s24-d34_18_5	s24-d34_19_3	s24-d34_20_7
2829	2853	move	hand	peeler	counter,cutting board							s24-d34_7_9		s24-d34_9_4											
2952	3123	slice	knife	ginger	cutting board																s24-d34_16_9			s24-d34_19_4	
3225	3445	cut	knife	ginger	cutting board																				
3482	3614	cut	knife	ginger	cutting board					s24-d34_5_7															
3708	3939	chop	knife	ginger	cutting board										s24-d34_10_4										
3939	4071	cut	knife	ginger	cutting board																				
4071	4091	gather	knife	ginger	cutting board																				
4091	4159	chop	knife	ginger	cutting board																				
4159	4220	gather	knife	ginger	cutting board																				
4220	4422	chop	knife	ginger	cutting board																				
4422	4469	scratch off	hand	ginger	cutting board,knife																				
4469	4525	gather	knife	ginger	cutting board																				
4525	4769	chop	knife	ginger	cutting board																				
4769	4812	gather	knife	ginger	cutting board																				
4812	4925	chop	knife	ginger	cutting board																				
4925	4955	gather	knife	ginger	cutting board																				
4971	5043	scratch off	hand	ginger	cutting board,knife						s24-d34_6_7								s24-d34_14_7						
5086	5131	chop	knife	ginger	cutting board												s24-d34_12_6	s24-d34_13_6							
5131	5192	scratch off	hand	ginger	cutting board,knife	s24-d34_1_8	s24-d34_2_8	s24-d34_3_8	s24-d34_4_8			s24-d34_7_10. s24-d34_7_11	s24-d34_8_9	s24-d34_9_5	s24-d34_10_5	s24-d34_11_5				s24-d34_15_8	s24-d34_16_10	s24-d34_17_7	s24-d34_18_6	s24-d34_19_5	s24-d34_20_8
5365	5429	wash	hand	hand				s24-d34_3_9	s24-d34_4_9	s24-d34_5_8					s24-d34_10_6	s24-d34_11_6					s24-d34_16_11				
