222	441	take out	hand	plastic bag	fridge	s24-d40_1_1	s24-d40_2_1	s24-d40_4_1	s24-d40_5_1		s24-d40_7_1	s24-d40_8_1		s24-d40_10_1	s24-d40_11_1					s24-d40_18_1	s24-d40_19_1
441	537	remove from package	hand	lime	plastic bag				s24-d40_5_2	s24-d40_6_1						s24-d40_13_1	s24-d40_15_1	s24-d40_16_1	s24-d40_17_1		
564	661	wash	hand	lime		s24-d40_1_2	s24-d40_2_2									s24-d40_13_2					
661	723	shake	hand	lime				s24-d40_4_2	s24-d40_5_3	s24-d40_6_2	s24-d40_7_2	s24-d40_8_2	s24-d40_9_1						s24-d40_17_2	s24-d40_18_2	s24-d40_19_2
723	804	dry	towel	lime					s24-d40_5_4			s24-d40_8_3		s24-d40_10_2	s24-d40_11_2			s24-d40_16_2		s24-d40_18_3	
848	984	take out	hand	cutting board	counter,drawer	s24-d40_1_3	s24-d40_2_3	s24-d40_4_3		s24-d40_6_3	s24-d40_7_3	s24-d40_8_4	s24-d40_9_2	s24-d40_10_3	s24-d40_11_3				s24-d40_17_3		s24-d40_19_3
996	1101	take out	hand	knife	drawer	s24-d40_1_4	s24-d40_2_4	s24-d40_4_4	s24-d40_5_5	s24-d40_6_4	s24-d40_7_4	s24-d40_8_5	s24-d40_9_3	s24-d40_10_4	s24-d40_11_4	s24-d40_13_3	s24-d40_15_2	s24-d40_16_3	s24-d40_17_4		s24-d40_19_4
1101	1274	cut	knife	lime	cutting board	s24-d40_1_5	s24-d40_2_5	s24-d40_4_5	s24-d40_5_6	s24-d40_6_5	s24-d40_7_5	s24-d40_8_6		s24-d40_10_5	s24-d40_11_5	s24-d40_13_4	s24-d40_15_3	s24-d40_16_4	s24-d40_17_5	s24-d40_18_4	s24-d40_19_5
1338	1512	take out	hand	squeezer	drawer	s24-d40_1_6	s24-d40_2_6	s24-d40_4_6	s24-d40_5_7	s24-d40_6_6	s24-d40_7_6	s24-d40_8_7		s24-d40_10_6	s24-d40_11_6			s24-d40_16_5	s24-d40_17_6		s24-d40_19_6
1559	1680	squeeze	squeezer	lime	squeezer								s24-d40_9_4								
1689	1725	squeeze	hand	lime	squeezer																
1729	2350	squeeze	squeezer	lime	squeezer																
2358	2421	squeeze	hand	lime	squeezer																
2426	2548	squeeze	squeezer	lime	squeezer																
2550	2642	squeeze	hand	lime	squeezer																
2647	2775	squeeze	squeezer	lime	squeezer																
2798	3021	squeeze	squeezer	lime	squeezer																
3057	3123	squeeze	squeezer	lime	squeezer																
3130	3197	squeeze	hand	lime	squeezer																
3204	3374	squeeze	squeezer	lime	squeezer				s24-d40_5_8				s24-d40_9_5					s24-d40_16_6			
3534	3759	squeeze	hand	lime	squeezer																
3765	4042	squeeze	squeezer	lime	squeezer																
4056	4179	squeeze	hand	lime	squeezer																
4183	4543	squeeze	squeezer	lime	squeezer																
4584	4826	squeeze	hand	lime	squeezer																
4835	5092	squeeze	squeezer	lime	squeezer																
5117	5185	squeeze	hand	lime	squeezer																
5198	5347	squeeze	squeezer	lime	squeezer																
5363	5489	squeeze	hand	lime	squeezer																
5495	5807	squeeze	squeezer	lime	squeezer																
5815	6037	squeeze	hand	lime	squeezer	s24-d40_1_7	s24-d40_2_7	s24-d40_4_7	s24-d40_5_9	s24-d40_6_7	s24-d40_7_7	s24-d40_8_8		s24-d40_10_7	s24-d40_11_7	s24-d40_13_5	s24-d40_15_4	s24-d40_16_7	s24-d40_17_7	s24-d40_18_5	s24-d40_19_7
6158	6266	throw in garbage	hand	peel			s24-d40_2_8		s24-d40_5_10	s24-d40_6_8		s24-d40_8_9		s24-d40_10_8	s24-d40_11_8	s24-d40_13_6	s24-d40_15_5	s24-d40_16_8	s24-d40_17_8	s24-d40_18_6	s24-d40_19_8
