259	411	take out	hand	cutting board	counter,drawer		s24-d53_2_1				s24-d53_7_1	s24-d53_9_1	s24-d53_10_1			s24-d53_13_1	s24-d53_15_1	s24-d53_16_1			s24-d53_19_1	
513	661	take out	hand	knife	cutting board,drawer	s24-d53_1_1	s24-d53_2_2	s24-d53_3_1	s24-d53_5_1	s24-d53_6_1	s24-d53_7_2	s24-d53_9_2	s24-d53_10_2	s24-d53_11_1. s24-d53_11_2	s24-d53_12_1	s24-d53_13_2	s24-d53_15_2	s24-d53_16_2		s24-d53_18_1	s24-d53_19_2	s24-d53_20_1
730	942	take out	hand	avocado	cutting board,fridge		s24-d53_2_3	s24-d53_3_2		s24-d53_6_2	s24-d53_7_3	s24-d53_9_3	s24-d53_10_3	s24-d53_11_3	s24-d53_12_2	s24-d53_13_3	s24-d53_15_3	s24-d53_16_3	s24-d53_17_1	s24-d53_18_2	s24-d53_19_3	s24-d53_20_2
975	1220	cut	knife	avocado	cutting board				s24-d53_5_2											s24-d53_18_3		
1254	1317	take apart	hand	avocado		s24-d53_1_2	s24-d53_2_4	s24-d53_3_3	s24-d53_5_3	s24-d53_6_3	s24-d53_7_4	s24-d53_9_4	s24-d53_10_4	s24-d53_11_4	s24-d53_12_3	s24-d53_13_4	s24-d53_15_4	s24-d53_16_4	s24-d53_17_2	s24-d53_18_4	s24-d53_19_4	s24-d53_20_3
1434	1569	take apart	hand	stone																		
1622	1656	cut	knife	stone				s24-d53_3_4		s24-d53_6_4												
1845	2195	peel	hand	avocado			s24-d53_2_5	s24-d53_3_5			s24-d53_7_5											
2297	2410	take apart	hand	stone																		
2443	2484	peel	hand	avocado						s24-d53_6_5												
2646	2934	peel	hand	avocado		s24-d53_1_3	s24-d53_2_6	s24-d53_3_6			s24-d53_7_6		s24-d53_10_5	s24-d53_11_5	s24-d53_12_4	s24-d53_13_5	s24-d53_15_5	s24-d53_16_5		s24-d53_18_5	s24-d53_19_5	s24-d53_20_4
3081	3117	cut	knife	avocado	cutting board				s24-d53_5_4			s24-d53_9_5										
3146	3184	take apart	hand	avocado																s24-d53_18_6		
3204	3314	take apart	hand	avocado,stone		s24-d53_1_4		s24-d53_3_7	s24-d53_5_5	s24-d53_6_6	s24-d53_7_7	s24-d53_9_6	s24-d53_10_6	s24-d53_11_6	s24-d53_12_5	s24-d53_13_6		s24-d53_16_6	s24-d53_17_3	s24-d53_18_7	s24-d53_19_6	
3395	3539	throw in garbage	hand	peel,stone		s24-d53_1_5	s24-d53_2_7	s24-d53_3_8	s24-d53_5_6	s24-d53_6_7	s24-d53_7_8		s24-d53_10_7	s24-d53_11_7			s24-d53_15_6	s24-d53_16_7	s24-d53_17_4		s24-d53_19_7	s24-d53_20_5
3573	3779	wash	hand	hand		s24-d53_1_6															s24-d53_19_8	
3827	3884	dry	towel	hand			s24-d53_2_8			s24-d53_6_8	s24-d53_7_9		s24-d53_10_8		s24-d53_12_6		s24-d53_15_7	s24-d53_16_8	s24-d53_17_5	s24-d53_18_8		
3976	4005	cut	knife	avocado	cutting board																	
4067	4093	cut	knife	avocado	cutting board	s24-d53_1_7		s24-d53_3_9												s24-d53_18_9		
4176	4382	slice	knife	avocado	cutting board					s24-d53_6_9												
4444	4533	slice	knife	avocado	cutting board																	
4687	4839	slice	knife	avocado	cutting board		s24-d53_2_9	s24-d53_3_10		s24-d53_6_10	s24-d53_7_10		s24-d53_10_9		s24-d53_12_7	s24-d53_13_7	s24-d53_15_8	s24-d53_16_9	s24-d53_17_6	s24-d53_18_10	s24-d53_19_9	
4946	5054	throw in garbage	cutting board,knife	garbage		s24-d53_1_8			s24-d53_5_7			s24-d53_9_7	s24-d53_10_10	s24-d53_11_8					s24-d53_17_7. s24-d53_17_8		s24-d53_19_10	s24-d53_20_6
