142	245	take out	hand	cutting board	counter,drawer	s25-d35_1_1	s25-d35_2_1	s25-d35_3_1				s25-d35_7_1	s25-d35_8_1		s25-d35_10_1				s25-d35_14_1	s25-d35_16_1	s25-d35_17_1	s25-d35_20_1
255	308	close	hand		drawer					s25-d35_5_1	s25-d35_6_1			s25-d35_9_1		s25-d35_11_1	s25-d35_12_1					
325	577	take out	hand	plum	fridge	s25-d35_1_2	s25-d35_2_2	s25-d35_3_2		s25-d35_5_2			s25-d35_8_2	s25-d35_9_2	s25-d35_10_2	s25-d35_11_2	s25-d35_12_2	s25-d35_13_1	s25-d35_14_2	s25-d35_16_2	s25-d35_17_2	s25-d35_20_2
611	715	wash	hand	plum		s25-d35_1_3	s25-d35_2_3	s25-d35_3_3	s25-d35_4_1	s25-d35_5_3	s25-d35_6_2	s25-d35_7_2	s25-d35_8_3	s25-d35_9_3	s25-d35_10_3	s25-d35_11_3	s25-d35_12_3		s25-d35_14_3	s25-d35_16_3	s25-d35_17_3	s25-d35_20_3
774	854	open	hand		drawer																	
898	1009	take out	hand	knife	drawer	s25-d35_1_4	s25-d35_2_4	s25-d35_3_4	s25-d35_4_2	s25-d35_5_4. s25-d35_5_5	s25-d35_6_3	s25-d35_7_3	s25-d35_8_4	s25-d35_9_4	s25-d35_10_4	s25-d35_11_4		s25-d35_13_2	s25-d35_14_4	s25-d35_16_4	s25-d35_17_4	s25-d35_20_4
1059	1255	cut	knife	plum	cutting board																	
1314	1558	cut	knife	plum	cutting board		s25-d35_2_5			s25-d35_5_6				s25-d35_9_5								
1602	1696	take apart	hand	plum						s25-d35_5_7							s25-d35_12_4					
1741	1893	cut	knife	plum	cutting board																	
1931	2048	take apart	hand	plum																		
2126	2474	cut	knife	plum	cutting board																	
2545	2686	take apart	hand	plum										s25-d35_9_6								
2731	2757	take apart	knife	plum	cutting board									s25-d35_9_7								
2798	2841	cut	knife	plum	cutting board				s25-d35_4_3								s25-d35_12_5					
2883	3027	take apart	hand	plum										s25-d35_9_8				s25-d35_13_3				
3095	3342	take apart	hand	plum																		
3397	3453	take apart	hand	plum					s25-d35_4_4							s25-d35_11_5				s25-d35_16_5		
3525	3581	cut	knife	plum	cutting board																	
3648	3717	cut	knife	plum	cutting board	s25-d35_1_5	s25-d35_2_6				s25-d35_6_4	s25-d35_7_4	s25-d35_8_5	s25-d35_9_9	s25-d35_10_5			s25-d35_13_4	s25-d35_14_5	s25-d35_16_6	s25-d35_17_5	s25-d35_20_5
3765	3842	throw in garbage	hand	stone		s25-d35_1_6	s25-d35_2_7. s25-d35_2_8	s25-d35_3_5	s25-d35_4_5	s25-d35_5_8	s25-d35_6_5	s25-d35_7_5	s25-d35_8_6		s25-d35_10_6	s25-d35_11_6. s25-d35_11_7	s25-d35_12_6	s25-d35_13_5	s25-d35_14_6	s25-d35_16_7. s25-d35_16_8	s25-d35_17_6	s25-d35_20_6. s25-d35_20_7
