160	238	open	hand		drawer																			
251	377	take out	hand	pan	drawer,stove	s26-d69_1_1			s26-d69_5_1	s26-d69_6_1	s26-d69_7_1	s26-d69_8_1		s26-d69_10_1			s26-d69_13_1	s26-d69_14_1	s26-d69_15_1	s26-d69_16_1. s26-d69_16_2	s26-d69_17_1		s26-d69_19_1	
425	824	take out	hand	egg,plastic box	counter,fridge	s26-d69_1_2			s26-d69_5_2		s26-d69_7_2		s26-d69_9_1				s26-d69_13_2		s26-d69_15_2	s26-d69_16_3			s26-d69_19_2	
840	973	take out	hand	cutting board	counter,drawer	s26-d69_1_3	s26-d69_2_1	s26-d69_4_1		s26-d69_6_2		s26-d69_8_2	s26-d69_9_2	s26-d69_10_2	s26-d69_11_1	s26-d69_12_1		s26-d69_14_2			s26-d69_17_2			
980	1135	wash	hand	hand					s26-d69_5_3. s26-d69_5_4	s26-d69_6_3	s26-d69_7_3		s26-d69_9_3						s26-d69_15_3	s26-d69_16_4			s26-d69_19_3	
1140	1184	shake	hand	hand																				s26-d69_20_1
1199	1262	dry	towel	hand									s26-d69_9_4			s26-d69_12_2			s26-d69_15_4	s26-d69_16_5				
1286	1374	take out	hand	chef knife	,drawer			s26-d69_4_2			s26-d69_7_4							s26-d69_14_3						
1394	1466	move	hand	flower pot	counter				s26-d69_5_5									s26-d69_14_4		s26-d69_16_6	s26-d69_17_3		s26-d69_19_4	
1491	1555	move	hand	flower pot	counter	s26-d69_1_4				s26-d69_6_4	s26-d69_7_5				s26-d69_11_2			s26-d69_14_5	s26-d69_15_5			s26-d69_18_1		
1663	1795	cut	chef knife	chive	cutting board,flower pot								s26-d69_9_5							s26-d69_16_7				
1828	1882	move	hand	chive	counter,cutting board															s26-d69_16_8				
1894	1974	move	hand	flower pot	counter		s26-d69_2_2	s26-d69_4_3	s26-d69_5_6										s26-d69_15_6					
1988	2034	wash	hand	hand					s26-d69_5_7. s26-d69_5_8		s26-d69_7_6	s26-d69_8_3			s26-d69_11_3	s26-d69_12_3			s26-d69_15_7	s26-d69_16_9			s26-d69_19_5	s26-d69_20_2
2095	2236	wash	hand	chive		s26-d69_1_5										s26-d69_12_4			s26-d69_15_8	s26-d69_16_10				
2298	2363	dry	towel	hand					s26-d69_5_9	s26-d69_6_5	s26-d69_7_7				s26-d69_11_4			s26-d69_14_6	s26-d69_15_9	s26-d69_16_11	s26-d69_17_4	s26-d69_18_2		
2424	2481	turn on	hand	stove																				
2485	2502	change temperature	hand	stove			s26-d69_2_3	s26-d69_4_4										s26-d69_14_7						
2528	2683	change temperature	hand	stove		s26-d69_1_6																		
2721	2768	remove lid	hand	lid	counter,plastic box				s26-d69_5_10											s26-d69_16_12				
2787	2886	take out	hand	spatula	,drawer						s26-d69_7_8						s26-d69_13_3	s26-d69_14_8	s26-d69_15_10		s26-d69_17_5			
2926	3038	take apart	spatula	butter	pan,plastic box			s26-d69_4_5	s26-d69_5_11									s26-d69_14_9						
3062	3095	spread	spatula	butter	pan	s26-d69_1_7	s26-d69_2_4		s26-d69_5_12	s26-d69_6_6	s26-d69_7_9		s26-d69_9_6		s26-d69_11_5	s26-d69_12_5	s26-d69_13_4	s26-d69_14_10					s26-d69_19_6	
3242	3358	take out	hand	spice shaker	counter,spice holder			s26-d69_4_6				s26-d69_8_4									s26-d69_17_6			s26-d69_20_3
3406	3466	put lid	hand	lid	counter,plastic box																			
3468	3494	move	hand	plastic box	counter																	s26-d69_18_3		
3510	3551	move	hand	cutting board	counter	s26-d69_1_8																		
3739	3860	change temperature	hand	stove																				
3969	4011	spread	spatula	butter	pan				s26-d69_5_13. s26-d69_5_14		s26-d69_7_10	s26-d69_8_5												
4365	4469	take out	hand	spice shaker	counter,spice holder					s26-d69_6_7														
4837	4937	spread	spatula	butter	pan																			
5819	5940	spread	spatula	butter	pan								s26-d69_9_7	s26-d69_10_3										
6861	7350	spread	spatula	butter	pan																			
