255	309	open	hand		fridge																	
453	517	rip open	hand	plastic bag																		
517	631	remove from package	hand	pepper	plastic bag														s27-d45_16_1			
633	829	take out	hand	pepper	counter,fridge	s27-d45_1_1	s27-d45_2_1	s27-d45_3_1		s27-d45_5_1	s27-d45_6_1	s27-d45_9_1	s27-d45_10_1. s27-d45_10_2	s27-d45_11_1	s27-d45_12_1		s27-d45_14_1	s27-d45_15_1		s27-d45_18_1	s27-d45_19_1	s27-d45_20_1
836	948	take out	hand	cutting board	counter,drawer				s27-d45_4_1												s27-d45_19_2	
954	995	put in	hand	cutting board	counter,drawer																	
1001	1147	take out	hand	cutting board	counter,drawer	s27-d45_1_2	s27-d45_2_2	s27-d45_3_2	s27-d45_4_2		s27-d45_6_2		s27-d45_10_3						s27-d45_16_2	s27-d45_18_2	s27-d45_19_3	s27-d45_20_2
1149	1197	close	hand		drawer									s27-d45_11_2			s27-d45_14_2	s27-d45_15_2				
1197	1413	take out	hand	knife	cutting board,drawer	s27-d45_1_3		s27-d45_3_3	s27-d45_4_3						s27-d45_12_2				s27-d45_16_3			
1413	1465	close	hand		drawer		s27-d45_2_3			s27-d45_5_2	s27-d45_6_3	s27-d45_9_2	s27-d45_10_4	s27-d45_11_3		s27-d45_13_1	s27-d45_14_3	s27-d45_15_3		s27-d45_18_3	s27-d45_19_4	s27-d45_20_3
1491	1576	wash	hand	pepper																		
1576	1612	shake	hand	pepper				s27-d45_3_4							s27-d45_12_3		s27-d45_14_4		s27-d45_16_4		s27-d45_19_5	
1640	1676	shake	hand	pepper		s27-d45_1_4	s27-d45_2_4			s27-d45_5_3. s27-d45_5_4	s27-d45_6_4	s27-d45_9_3	s27-d45_10_5	s27-d45_11_4		s27-d45_13_2		s27-d45_15_4		s27-d45_18_4		s27-d45_20_4
2002	2115	cut	knife	pepper	cutting board	s27-d45_1_5	s27-d45_2_5	s27-d45_3_5	s27-d45_4_4		s27-d45_6_5			s27-d45_11_5		s27-d45_13_3		s27-d45_15_5	s27-d45_16_5	s27-d45_18_5	s27-d45_19_6	s27-d45_20_5
2123	3246	cut	knife	pepper	cutting board			s27-d45_3_6										s27-d45_15_6		s27-d45_18_6	s27-d45_19_7	
3257	3521	cut	knife	pepper	cutting board	s27-d45_1_6	s27-d45_2_6			s27-d45_5_5	s27-d45_6_6		s27-d45_10_6	s27-d45_11_6	s27-d45_12_4					s27-d45_18_7		s27-d45_20_6
3526	3655	gather	hand	seed	cutting board											s27-d45_13_4						
3659	3903	gather	knife	seed	cutting board				s27-d45_4_5	s27-d45_5_6		s27-d45_9_4					s27-d45_14_5					s27-d45_20_7. s27-d45_20_8
4395	4604	throw in garbage	hand	seed		s27-d45_1_7	s27-d45_2_7	s27-d45_3_7		s27-d45_5_7	s27-d45_6_7. s27-d45_6_8	s27-d45_9_5	s27-d45_10_7	s27-d45_11_7	s27-d45_12_5	s27-d45_13_5	s27-d45_14_6	s27-d45_15_7	s27-d45_16_6	s27-d45_18_8	s27-d45_19_8	s27-d45_20_9. s27-d45_20_10
