152	295	take out	hand	cutting board	counter,drawer	s28-d46_1_1			s28-d46_4_1	s28-d46_5_1		s28-d46_8_1			s28-d46_11_1	s28-d46_12_1		s28-d46_14_1	s28-d46_16_1			s28-d46_19_1
324	386	take out	hand	knife	cutting board,drawer	s28-d46_1_2	s28-d46_2_1	s28-d46_3_1	s28-d46_4_2	s28-d46_5_2	s28-d46_7_1	s28-d46_8_2	s28-d46_9_1	s28-d46_10_1	s28-d46_11_2	s28-d46_12_2	s28-d46_13_1	s28-d46_14_2	s28-d46_16_2	s28-d46_17_1		s28-d46_19_2
415	630	take out	hand	pineapple	cupboard,cutting board	s28-d46_1_3	s28-d46_2_2	s28-d46_3_2	s28-d46_4_3	s28-d46_5_3	s28-d46_7_2	s28-d46_8_3	s28-d46_9_2	s28-d46_10_2	s28-d46_11_3	s28-d46_12_3		s28-d46_14_3	s28-d46_16_3	s28-d46_17_2	s28-d46_18_1	s28-d46_19_3
662	781	cut	knife	pineapple	cutting board	s28-d46_1_4				s28-d46_5_4		s28-d46_8_4	s28-d46_9_3		s28-d46_11_4	s28-d46_12_4		s28-d46_14_4		s28-d46_17_3		s28-d46_19_4
869	1167	take out	hand	plate	counter,cupboard	s28-d46_1_5		s28-d46_3_3	s28-d46_4_4	s28-d46_5_5	s28-d46_7_3	s28-d46_8_5	s28-d46_9_4. s28-d46_9_5	s28-d46_10_3	s28-d46_11_5	s28-d46_12_5	s28-d46_13_2	s28-d46_14_5	s28-d46_16_4	s28-d46_17_4	s28-d46_18_2	s28-d46_19_5
1225	2236	slice	knife	pineapple	cutting board	s28-d46_1_6			s28-d46_4_5			s28-d46_8_6			s28-d46_11_6	s28-d46_12_6	s28-d46_13_3	s28-d46_14_6	s28-d46_16_5	s28-d46_17_5		s28-d46_19_6
2265	2385	throw in garbage	hand	pineapple		s28-d46_1_7	s28-d46_2_3	s28-d46_3_4	s28-d46_4_6	s28-d46_5_6	s28-d46_7_4	s28-d46_8_7		s28-d46_10_4	s28-d46_11_7	s28-d46_12_7	s28-d46_13_4	s28-d46_14_7	s28-d46_16_6	s28-d46_17_6	s28-d46_18_3	s28-d46_19_7
2416	2489	move	hand	pineapple	cutting board																	
2497	2925	peel	knife	pineapple	cutting board																	
2995	3022	scratch off	hand	peel	cutting board,knife																	
3022	3234	cut	knife	pineapple	cutting board																	
3258	3297	move	knife	pineapple	cutting board,plate																	
3302	3374	move	knife	pineapple	cutting board,plate																	
3491	3824	peel	knife	pineapple	cutting board																s28-d46_18_4	
3878	4151	cut	knife	pineapple	cutting board																	
4163	4216	move	knife	pineapple	cutting board,plate																	
4220	4269	move	knife	pineapple	cutting board,plate								s28-d46_9_6									
4327	4647	peel	knife	pineapple	cutting board																	
4661	4909	cut	knife	pineapple	cutting board																	
4918	4992	move	knife	pineapple	cutting board,plate																	
4996	5045	move	hand	pineapple	cutting board,plate																	
5085	5423	peel	knife	pineapple	cutting board																	
5435	5644	cut	knife	pineapple	cutting board																	
5660	5694	move	knife	pineapple	cutting board,plate																	
5698	5789	move	knife	pineapple	cutting board,plate								s28-d46_9_7									
5835	5930	gather	hand,knife	peel	cutting board													s28-d46_14_8				
6128	6419	peel	knife	pineapple	cutting board																	
6438	6620	cut	knife	pineapple	cutting board																	
6635	6673	move	knife	pineapple	cutting board,plate																	
6677	6722	move	knife	pineapple	cutting board,plate																	
6731	6765	move	hand	pineapple	cutting board,plate																	
6794	7035	peel	knife	pineapple	cutting board																	
7056	7178	cut	knife	pineapple	cutting board																	
7187	7223	move	knife	pineapple	cutting board,plate																	
7227	7288	move	knife	pineapple	cutting board,plate																	
7292	7339	move	knife	pineapple	cutting board,plate																	
7513	7837	peel	knife	pineapple	cutting board																	
7855	8022	cut	knife	pineapple	cutting board																	
8044	8090	move	knife	pineapple	cutting board,plate																	
8112	8176	move	knife	pineapple	cutting board,plate																	
8180	8229	move	knife	pineapple	cutting board,plate																	
8353	8620	peel	knife	pineapple	cutting board																	
8620	8754	cut	knife	pineapple	cutting board																	
8768	8837	move	knife	pineapple	cutting board,plate																	
8842	8928	move	knife	pineapple	cutting board,plate	s28-d46_1_8		s28-d46_3_5		s28-d46_5_7		s28-d46_8_8			s28-d46_11_8	s28-d46_12_8	s28-d46_13_5		s28-d46_16_7	s28-d46_17_7		s28-d46_19_8
9017	9204	take out	hand	bowl	counter,cupboard		s28-d46_2_4			s28-d46_5_8					s28-d46_11_9				s28-d46_16_8			s28-d46_19_9
9229	9551	add	knife	pineapple	bowl,plate	s28-d46_1_9		s28-d46_3_6		s28-d46_5_9					s28-d46_11_10	s28-d46_12_9	s28-d46_13_6		s28-d46_16_9	s28-d46_17_8		
9618	9860	peel	knife	pineapple	cutting board																	
9887	10025	cut	knife	pineapple	cutting board																	
10033	10088	move	knife	pineapple	bowl,cutting board																	
10091	10190	move	knife	pineapple	bowl,cutting board												s28-d46_13_7					
10275	10536	peel	knife	pineapple	cutting board																	
10547	10653	cut	knife	pineapple	cutting board																	
10653	10832	chop	knife	pineapple	cutting board																	
10865	10940	move	knife	pineapple	bowl,cutting board	s28-d46_1_10																
10947	10980	move	hand	pineapple	bowl,cutting board		s28-d46_2_5	s28-d46_3_7	s28-d46_4_7	s28-d46_5_10	s28-d46_7_5			s28-d46_10_5	s28-d46_11_11		s28-d46_13_8. s28-d46_13_9		s28-d46_16_10	s28-d46_17_9. s28-d46_17_10	s28-d46_18_5	
