247	369	take out	hand	cutting board	counter,drawer	s29-d42_2_1					s29-d42_8_1							s29-d42_16_1				
419	730	take out	hand	broccoli	counter,fridge			s29-d42_4_1					s29-d42_10_1	s29-d42_11_1	s29-d42_12_1		s29-d42_14_1	s29-d42_16_2	s29-d42_17_1	s29-d42_18_1		
749	857	take out	hand	knife	,drawer																	
857	894	close	hand		drawer	s29-d42_2_2. s29-d42_2_3	s29-d42_3_1	s29-d42_4_2	s29-d42_6_1	s29-d42_7_1	s29-d42_8_2. s29-d42_8_3	s29-d42_9_1	s29-d42_10_2. s29-d42_10_3	s29-d42_11_2. s29-d42_11_3	s29-d42_12_2. s29-d42_12_3		s29-d42_14_2. s29-d42_14_3	s29-d42_16_3	s29-d42_17_2. s29-d42_17_3	s29-d42_18_2	s29-d42_19_1	s29-d42_20_1
974	1546	cut	knife	broccoli	cutting board																	
1551	1581	gather	knife	broccoli	cutting board																	
1585	1689	cut	knife	broccoli	cutting board																	
1717	1741	move	hand	broccoli	counter,cutting board													s29-d42_16_4				
1840	1918	throw in garbage	hand	stem		s29-d42_2_4	s29-d42_3_2	s29-d42_4_3		s29-d42_7_2	s29-d42_8_4				s29-d42_12_4		s29-d42_14_4	s29-d42_16_5	s29-d42_17_4			s29-d42_20_2
2039	2135	take out	hand	lid,pot	,drawer	s29-d42_2_5		s29-d42_4_4	s29-d42_6_2		s29-d42_8_5	s29-d42_9_2	s29-d42_10_4. s29-d42_10_5	s29-d42_11_4			s29-d42_14_5	s29-d42_16_6	s29-d42_17_5	s29-d42_18_3	s29-d42_19_2	
2135	2221	close	leg		drawer	s29-d42_2_6		s29-d42_4_5			s29-d42_8_6		s29-d42_10_6		s29-d42_12_5	s29-d42_13_1	s29-d42_14_6					
2256	2578	pour	faucet	water	pot									s29-d42_11_5					s29-d42_17_6			
2599	2708	move	hand	pot	,stove													s29-d42_16_7				
2719	2813	turn on	hand	stove		s29-d42_2_7		s29-d42_4_6. s29-d42_4_7			s29-d42_8_7. s29-d42_8_8		s29-d42_10_7. s29-d42_10_8	s29-d42_11_6. s29-d42_11_7	s29-d42_12_6		s29-d42_14_7	s29-d42_16_8	s29-d42_17_7	s29-d42_18_4		
2919	2952	take out	hand	spice	,spice holder	s29-d42_2_8																
2974	3022	screw	hand	lid	spice shaker	s29-d42_2_9	s29-d42_3_3	s29-d42_4_8	s29-d42_6_3	s29-d42_7_3	s29-d42_8_9	s29-d42_9_3	s29-d42_10_9	s29-d42_11_8	s29-d42_12_7	s29-d42_13_2			s29-d42_17_8	s29-d42_18_5	s29-d42_19_3	s29-d42_20_3
3041	3420	spice	spice shaker	spice	pot							s29-d42_9_4										
3423	3466	screw	hand	lid	spice shaker													s29-d42_16_9				
3538	3581	put lid	hand	lid	pot	s29-d42_2_10. s29-d42_2_11	s29-d42_3_4	s29-d42_4_9. s29-d42_4_10	s29-d42_6_4		s29-d42_8_10. s29-d42_8_11	s29-d42_9_5	s29-d42_10_10. s29-d42_10_11	s29-d42_11_9	s29-d42_12_8. s29-d42_12_9	s29-d42_13_3		s29-d42_16_10	s29-d42_17_9	s29-d42_18_6	s29-d42_19_4	s29-d42_20_4
4174	4198	move	hand	knife	counter,cutting board																	
4204	4342	gather	hand	broccoli	cutting board																	
4347	4447	gather	hand	garbage	cutting board																	
4462	4557	throw in garbage	hand	garbage														s29-d42_16_11				
4608	4704	put in	hand	spice shaker	counter,spice holder	s29-d42_2_12		s29-d42_4_11														
4736	4784	move	hand	cutting board,knife	counter																	
4839	4865	remove lid	hand	lid	pot																	
4865	4926	put lid	hand	lid	pot		s29-d42_3_5	s29-d42_4_12														
5444	5498	remove lid	hand	lid	cutting board,pot																	
5503	5618	move	hand	broccoli	cutting board,pot																	
5665	5721	put lid	hand	lid	cutting board,pot															s29-d42_18_7	s29-d42_19_5	
5763	5946	take out	hand	fork	counter,drawer	s29-d42_2_13	s29-d42_3_6		s29-d42_6_5			s29-d42_9_6		s29-d42_11_10		s29-d42_13_4				s29-d42_18_8		s29-d42_20_5
6077	6292	wash	sponge	knife																		
6372	6541	dry	towel	knife																		
6585	6681	put in	hand	knife	,drawer																	
6770	6937	wash	hand	cutting board																		
6973	7071	wash	sponge	cutting board																		
7193	7440	dry	towel	cutting board																		
7470	7630	put in	hand	cutting board	,drawer																	
7675	7706	remove lid	hand	lid	pot																	
7718	7805	stir	fork	broccoli	pot					s29-d42_7_4												
7805	7844	put lid	hand	lid	pot		s29-d42_3_7		s29-d42_6_6			s29-d42_9_7									s29-d42_19_6	s29-d42_20_6
9273	9299	remove lid	hand	lid	pot																	
9303	9387	stir	fork	broccoli	pot																	
9387	9437	put lid	hand	lid	pot											s29-d42_13_5						
11137	11194	wring out	hand	sponge																		
11273	11451	dry	hand	towel																		
11455	11515	hang up	hand	towel	hook																	
11636	11658	remove lid	hand	lid	pot																	
11658	11780	stir	fork	broccoli	pot																	
11780	11835	put lid	hand	lid	pot							s29-d42_9_8										s29-d42_20_7
12293	12338	change temperature	hand	stove																		
14293	14315	remove lid	hand	lid	pot																	
14315	14476	stir	fork	broccoli	pot																	
14476	14525	put lid	hand	lid	pot																	
14987	15275	take out	hand	plate	counter,cupboard									s29-d42_11_11								
15295	15770	take out	hand	pot	counter,drawer																	
15886	15919	remove lid	hand	lid	pot		s29-d42_3_8					s29-d42_9_9		s29-d42_11_12								
15919	16164	stir	fork	broccoli	pot																s29-d42_19_7	
16164	16207	put lid	hand	lid	pot																	
17562	17635	change temperature	hand	stove																		
17692	17732	change temperature	hand	stove																		s29-d42_20_8
18528	18558	remove lid	hand	lid	pot																	
18558	18870	stir	fork	broccoli	pot																	
18870	18914	put lid	hand	lid	pot																	
19098	19128	take out	hand	towel	,hook																	
19163	19223	clean	towel	stove																		
19233	19333	change temperature	hand	stove																		
19365	19571	change temperature	hand	stove																		
19767	19808	change temperature	hand	stove																		
20014	20066	hang up	hand	towel	hook																	
20457	20597	change temperature	hand	stove																		
20601	20769	remove lid	hand	lid	counter,pot															s29-d42_18_9		
