186	358	take out	hand	bowl	counter,cupboard		s36-d50_3_1	s36-d50_6_1	s36-d50_7_1	s36-d50_8_1	s36-d50_9_1	s36-d50_10_1	s36-d50_12_1		s36-d50_14_1	s36-d50_15_1	s36-d50_16_1	s36-d50_17_1	s36-d50_18_1	s36-d50_19_1	s36-d50_20_1
401	692	take out	hand	egg	,fridge			s36-d50_6_2	s36-d50_7_2		s36-d50_9_2	s36-d50_10_2	s36-d50_12_2		s36-d50_14_2	s36-d50_15_2	s36-d50_16_2	s36-d50_17_2	s36-d50_18_2	s36-d50_19_2	
724	1084	take out	hand	teaspoon	,drawer	s36-d50_2_1	s36-d50_3_2	s36-d50_6_3	s36-d50_7_3		s36-d50_9_3	s36-d50_10_3	s36-d50_12_3	s36-d50_13_1	s36-d50_14_3	s36-d50_15_3	s36-d50_16_3	s36-d50_17_3	s36-d50_18_3	s36-d50_19_3	s36-d50_20_2
1122	1386	tap	teaspoon	egg												s36-d50_15_4					
1386	1630	peel	teaspoon	egg				s36-d50_6_4			s36-d50_9_4									s36-d50_19_4	s36-d50_20_3
1658	1747	peel	hand	egg			s36-d50_3_3														
1747	1809	peel	teaspoon	egg																	
1809	1882	peel	hand	egg																	
1882	2142	peel	teaspoon	egg		s36-d50_2_2		s36-d50_6_5					s36-d50_12_4		s36-d50_14_4	s36-d50_15_5	s36-d50_16_4		s36-d50_18_4		
2142	2274	peel	hand	egg		s36-d50_2_3	s36-d50_3_4		s36-d50_7_4	s36-d50_8_2	s36-d50_9_5	s36-d50_10_4						s36-d50_17_4			s36-d50_20_4
2543	3195	open egg	hand	egg white	bowl	s36-d50_2_4	s36-d50_3_5	s36-d50_6_6	s36-d50_7_5	s36-d50_8_3	s36-d50_9_6	s36-d50_10_5	s36-d50_12_5	s36-d50_13_2	s36-d50_14_5	s36-d50_15_6	s36-d50_16_5	s36-d50_17_5	s36-d50_18_5		
3268	3355	tap	teaspoon	egg																s36-d50_19_5	
3376	3540	take apart	hand	egg										s36-d50_13_3							
3609	3672	take apart	hand	egg				s36-d50_6_7			s36-d50_9_7										
3723	3863	add	eggshell	egg white	bowl,eggshell						s36-d50_9_8				s36-d50_14_6	s36-d50_15_7	s36-d50_16_6				
3863	4010	add	teaspoon	yolk	bowl,eggshell	s36-d50_2_5	s36-d50_3_6	s36-d50_6_8. s36-d50_6_9	s36-d50_7_6	s36-d50_8_4	s36-d50_9_9	s36-d50_10_6			s36-d50_14_7	s36-d50_15_8	s36-d50_16_7	s36-d50_17_6	s36-d50_18_6	s36-d50_19_6	s36-d50_20_5
4066	4126	move	hand	teaspoon	,sink								s36-d50_12_6	s36-d50_13_4							
4257	4358	throw in garbage	hand	eggshell				s36-d50_6_10	s36-d50_7_7		s36-d50_9_10	s36-d50_10_7			s36-d50_14_8		s36-d50_16_8	s36-d50_17_7			
4371	4401	wash	hand	hand																s36-d50_19_7	
4401	4431	shake	hand	hand					s36-d50_7_8	s36-d50_8_5		s36-d50_10_8			s36-d50_14_9					s36-d50_19_8	
4496	4594	throw in garbage	hand	garbage						s36-d50_8_6	s36-d50_9_11				s36-d50_14_10						
4605	4654	wash	hand	hand																	
4669	4718	wash	hand	teaspoon																	
4723	4747	shake	hand	teaspoon													s36-d50_16_9	s36-d50_17_8	s36-d50_18_7		
4760	4834	put in	hand	teaspoon	,drawer			s36-d50_6_11	s36-d50_7_9			s36-d50_10_9			s36-d50_14_11		s36-d50_16_10				
4841	4932	clean	hand	counter																	
4932	4968	wash	hand	hand																	
4968	4998	shake	hand	hand		s36-d50_2_6	s36-d50_3_7	s36-d50_6_12			s36-d50_9_12	s36-d50_10_10	s36-d50_12_7	s36-d50_13_5		s36-d50_15_9					s36-d50_20_6
