193	277	take out	hand	cutting board	counter,drawer
322	578	take out	hand	fig	fridge
634	780	wash	hand	fig	
781	846	shake	hand	fig	
874	891	shake	hand	hand	
909	947	dry	towel	hand	
981	1098	take out	hand	knife	,drawer
1130	1305	cut	knife	fig	cutting board
1322	1397	cut	knife	fig	cutting board
1415	1465	cut	knife	fig	cutting board
1477	1579	cut	knife	fig	cutting board
1627	1733	throw in garbage	hand	fig	
1765	1951	take out	hand	plate	counter,cupboard
1963	1987	put on	hand	fig	cutting board,plate
1990	2058	put on	hand	fig	cutting board,plate
2062	2122	put on	hand	fig	cutting board,plate
2125	2174	put on	hand	fig	cutting board,plate
