	s13-d52_2_1	s13-d52_3_1			s13-d52_6_1	s13-d52_7_1	s13-d52_8_1	s13-d52_9_1		s13-d52_12_1. s13-d52_12_2	s13-d52_13_1	s13-d52_14_1		s13-d52_16_1	s13-d52_17_1		s13-d52_19_1	
s13-d52_1_1										s13-d52_12_3. s13-d52_12_4	s13-d52_13_2		s13-d52_15_1					
s13-d52_1_2	s13-d52_2_2	s13-d52_3_2								s13-d52_12_5				s13-d52_16_2	s13-d52_17_2			s13-d52_20_1
			s13-d52_4_1	s13-d52_5_1	s13-d52_6_2	s13-d52_7_2	s13-d52_8_2	s13-d52_9_2	s13-d52_11_1	s13-d52_12_6	s13-d52_13_3	s13-d52_14_2	s13-d52_15_2			s13-d52_18_1	s13-d52_19_2	
		s13-d52_3_3	s13-d52_4_2		s13-d52_6_3	s13-d52_7_3	s13-d52_8_3				s13-d52_13_4	s13-d52_14_3	s13-d52_15_3	s13-d52_16_3			s13-d52_19_3	
								s13-d52_9_3		s13-d52_12_7					s13-d52_17_3	s13-d52_18_2		
s13-d52_1_3		s13-d52_3_4		s13-d52_5_2	s13-d52_6_4	s13-d52_7_4	s13-d52_8_4	s13-d52_9_4	s13-d52_11_2	s13-d52_12_8	s13-d52_13_5	s13-d52_14_4	s13-d52_15_4	s13-d52_16_4	s13-d52_17_4	s13-d52_18_3	s13-d52_19_4	
																		
																		
			s13-d52_4_3							s13-d52_12_9	s13-d52_13_6				s13-d52_17_5			
s13-d52_1_4	s13-d52_2_3			s13-d52_5_3	s13-d52_6_5	s13-d52_7_5		s13-d52_9_5	s13-d52_11_3	s13-d52_12_10	s13-d52_13_7	s13-d52_14_5					s13-d52_19_5	s13-d52_20_2
			s13-d52_4_4				s13-d52_8_5								s13-d52_17_6			
		s13-d52_3_5									s13-d52_13_8			s13-d52_16_5		s13-d52_18_4		
				s13-d52_5_4		s13-d52_7_6			s13-d52_11_4			s13-d52_14_6			s13-d52_17_7	s13-d52_18_5		
																		
s13-d52_1_5	s13-d52_2_4				s13-d52_6_6			s13-d52_9_6			s13-d52_13_9				s13-d52_17_8	s13-d52_18_6		s13-d52_20_3
									s13-d52_11_5	s13-d52_12_11	s13-d52_13_10	s13-d52_14_7		s13-d52_16_6	s13-d52_17_9		s13-d52_19_6	s13-d52_20_4
s13-d52_1_6	s13-d52_2_5	s13-d52_3_6			s13-d52_6_7			s13-d52_9_7	s13-d52_11_6		s13-d52_13_11				s13-d52_17_10		s13-d52_19_7	
			s13-d52_4_5	s13-d52_5_5		s13-d52_7_7. s13-d52_7_8	s13-d52_8_6		s13-d52_11_7	s13-d52_12_12		s13-d52_14_8	s13-d52_15_5	s13-d52_16_7		s13-d52_18_7		s13-d52_20_5
