s14-d26_1_1	s14-d26_3_1	s14-d26_7_1	s14-d26_8_1	s14-d26_9_1	s14-d26_10_1	s14-d26_12_1	s14-d26_14_1	s14-d26_15_1	s14-d26_16_1. s14-d26_16_2	s14-d26_18_1	s14-d26_19_1	s14-d26_20_1
			s14-d26_8_2	s14-d26_9_2		s14-d26_12_2	s14-d26_14_2					
s14-d26_1_2					s14-d26_10_2			s14-d26_15_2	s14-d26_16_3	s14-d26_18_2		s14-d26_20_2
			s14-d26_8_3	s14-d26_9_3	s14-d26_10_3	s14-d26_12_3	s14-d26_14_3	s14-d26_15_3		s14-d26_18_3		
s14-d26_1_3	s14-d26_3_2	s14-d26_7_2	s14-d26_8_4	s14-d26_9_4	s14-d26_10_4		s14-d26_14_4	s14-d26_15_4	s14-d26_16_4	s14-d26_18_4	s14-d26_19_2	s14-d26_20_3
												
					s14-d26_10_5							
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
							s14-d26_14_5					
												
			s14-d26_8_5	s14-d26_9_5	s14-d26_10_6	s14-d26_12_4			s14-d26_16_5		s14-d26_19_3	
			s14-d26_8_6				s14-d26_14_6					
				s14-d26_9_6	s14-d26_10_7	s14-d26_12_5		s14-d26_15_5	s14-d26_16_6	s14-d26_18_5	s14-d26_19_4	s14-d26_20_4
	s14-d26_3_3											
												
												
										s14-d26_18_6		
s14-d26_1_4		s14-d26_7_3										
												
												
												
												
												
												
												
												
											s14-d26_19_5	
												
												
												
												
												
												
												
											s14-d26_19_6	
												
												
					s14-d26_10_8							
												
												
												
												
												
												
												
												
												
												
												
												
												
												
s14-d26_1_5												
												
												
s14-d26_1_6												
												
												
							s14-d26_14_7					
												
												
												
												
												
												
s14-d26_1_7												
												
												
												
												
s14-d26_1_8												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
s14-d26_1_9	s14-d26_3_4		s14-d26_8_7	s14-d26_9_7		s14-d26_12_6			s14-d26_16_7	s14-d26_18_7	s14-d26_19_7	s14-d26_20_5
		s14-d26_7_4						s14-d26_15_6	s14-d26_16_8		s14-d26_19_8	
s14-d26_1_10			s14-d26_8_8	s14-d26_9_8						s14-d26_18_8		
	s14-d26_3_5	s14-d26_7_5						s14-d26_15_7	s14-d26_16_9		s14-d26_19_9	s14-d26_20_6
