s15-d35_1_1	s15-d35_3_1	s15-d35_4_1	s15-d35_5_1	s15-d35_6_1	s15-d35_7_1	s15-d35_8_1	s15-d35_9_1	s15-d35_11_1	s15-d35_12_1	s15-d35_13_1	s15-d35_15_1	s15-d35_16_1	s15-d35_17_1	s15-d35_18_1	s15-d35_19_1	s15-d35_20_1
s15-d35_1_2		s15-d35_4_2							s15-d35_12_2						s15-d35_19_2	
s15-d35_1_3	s15-d35_3_2. s15-d35_3_3	s15-d35_4_3			s15-d35_7_2	s15-d35_8_2		s15-d35_11_2	s15-d35_12_3	s15-d35_13_2				s15-d35_18_2	s15-d35_19_3	
																
s15-d35_1_4													s15-d35_17_2		s15-d35_19_4	
			s15-d35_5_2												s15-d35_19_5	s15-d35_20_2
	s15-d35_3_4	s15-d35_4_4		s15-d35_6_2	s15-d35_7_3	s15-d35_8_3	s15-d35_9_2	s15-d35_11_3	s15-d35_12_4	s15-d35_13_3	s15-d35_15_2	s15-d35_16_2	s15-d35_17_3	s15-d35_18_3		
																
					s15-d35_7_4		s15-d35_9_3									
s15-d35_1_5			s15-d35_5_3		s15-d35_7_5	s15-d35_8_4	s15-d35_9_4		s15-d35_12_5			s15-d35_16_3			s15-d35_19_6	
		s15-d35_4_5		s15-d35_6_3				s15-d35_11_4		s15-d35_13_4	s15-d35_15_3		s15-d35_17_4	s15-d35_18_4		s15-d35_20_3
	s15-d35_3_5				s15-d35_7_6		s15-d35_9_5									
							s15-d35_9_6	s15-d35_11_5	s15-d35_12_6	s15-d35_13_5		s15-d35_16_4		s15-d35_18_5		
s15-d35_1_6	s15-d35_3_6				s15-d35_7_7	s15-d35_8_5		s15-d35_11_6					s15-d35_17_5		s15-d35_19_7	
							s15-d35_9_7									
s15-d35_1_7	s15-d35_3_7	s15-d35_4_6	s15-d35_5_4	s15-d35_6_4		s15-d35_8_6	s15-d35_9_8	s15-d35_11_7	s15-d35_12_7	s15-d35_13_6		s15-d35_16_5	s15-d35_17_6	s15-d35_18_6	s15-d35_19_8	s15-d35_20_4
					s15-d35_7_8											
s15-d35_1_8	s15-d35_3_8					s15-d35_8_7		s15-d35_11_8. s15-d35_11_9	s15-d35_12_8	s15-d35_13_7		s15-d35_16_6	s15-d35_17_7	s15-d35_18_7	s15-d35_19_9	
																
																
																
																
	s15-d35_3_9					s15-d35_8_8	s15-d35_9_9	s15-d35_11_10	s15-d35_12_9	s15-d35_13_8		s15-d35_16_7			s15-d35_19_10	
		s15-d35_4_7														
s15-d35_1_9			s15-d35_5_5					s15-d35_11_11					s15-d35_17_8			s15-d35_20_5
							s15-d35_9_10				s15-d35_15_4					
				s15-d35_6_5												
								s15-d35_11_12			s15-d35_15_5		s15-d35_17_9	s15-d35_18_8		
