s15-d70_1_1	s15-d70_2_1	s15-d70_3_1	s15-d70_4_1			s15-d70_7_1	s15-d70_8_1		s15-d70_10_1	s15-d70_11_1	s15-d70_12_1	s15-d70_14_1	s15-d70_15_1	s15-d70_17_1	s15-d70_18_1	s15-d70_19_1	s15-d70_20_1
s15-d70_1_2		s15-d70_3_2											s15-d70_15_2				
	s15-d70_2_2		s15-d70_4_2	s15-d70_5_1	s15-d70_6_1	s15-d70_7_2	s15-d70_8_2	s15-d70_9_1	s15-d70_10_2	s15-d70_11_2	s15-d70_12_2	s15-d70_14_2		s15-d70_17_2		s15-d70_19_2	s15-d70_20_2
s15-d70_1_3													s15-d70_15_3				
	s15-d70_2_3		s15-d70_4_3							s15-d70_11_3	s15-d70_12_3	s15-d70_14_3		s15-d70_17_3		s15-d70_19_3	s15-d70_20_3
							s15-d70_8_3		s15-d70_10_3								
	s15-d70_2_4		s15-d70_4_4				s15-d70_8_4						s15-d70_15_4	s15-d70_17_4			s15-d70_20_4
s15-d70_1_4	s15-d70_2_5		s15-d70_4_5				s15-d70_8_5				s15-d70_12_4	s15-d70_14_4	s15-d70_15_5	s15-d70_17_5		s15-d70_19_4	
		s15-d70_3_3		s15-d70_5_2		s15-d70_7_3			s15-d70_10_4	s15-d70_11_4							s15-d70_20_5
s15-d70_1_5	s15-d70_2_6	s15-d70_3_4	s15-d70_4_6			s15-d70_7_4	s15-d70_8_6	s15-d70_9_2. s15-d70_9_3	s15-d70_10_5. s15-d70_10_6	s15-d70_11_5	s15-d70_12_5	s15-d70_14_5	s15-d70_15_6	s15-d70_17_6	s15-d70_18_2	s15-d70_19_5	s15-d70_20_6
																	
s15-d70_1_6				s15-d70_5_3	s15-d70_6_2				s15-d70_10_7						s15-d70_18_3		
																	
									s15-d70_10_8								
																	
s15-d70_1_7			s15-d70_4_7	s15-d70_5_4		s15-d70_7_5		s15-d70_9_4						s15-d70_17_7			
s15-d70_1_8									s15-d70_10_9								
																	
																	
																	
s15-d70_1_9							s15-d70_8_7		s15-d70_10_10					s15-d70_17_8			
s15-d70_1_10. s15-d70_1_11	s15-d70_2_7	s15-d70_3_5	s15-d70_4_8		s15-d70_6_3	s15-d70_7_6		s15-d70_9_5	s15-d70_10_11		s15-d70_12_6		s15-d70_15_7			s15-d70_19_6	
	s15-d70_2_8			s15-d70_5_5		s15-d70_7_7	s15-d70_8_8	s15-d70_9_6		s15-d70_11_6. s15-d70_11_7	s15-d70_12_7	s15-d70_14_6	s15-d70_15_8	s15-d70_17_9		s15-d70_19_7	s15-d70_20_7
																	
	s15-d70_2_9		s15-d70_4_9						s15-d70_10_12						s15-d70_18_4	s15-d70_19_8	
s15-d70_1_12	s15-d70_2_10		s15-d70_4_10				s15-d70_8_9			s15-d70_11_8	s15-d70_12_8	s15-d70_14_7	s15-d70_15_9	s15-d70_17_10		s15-d70_19_9	s15-d70_20_8
	s15-d70_2_11	s15-d70_3_6	s15-d70_4_11	s15-d70_5_6	s15-d70_6_4	s15-d70_7_8	s15-d70_8_10	s15-d70_9_7	s15-d70_10_13	s15-d70_11_9	s15-d70_12_9	s15-d70_14_8	s15-d70_15_10	s15-d70_17_11	s15-d70_18_5	s15-d70_19_10	s15-d70_20_9
	s15-d70_2_12													s15-d70_17_12		s15-d70_19_11	s15-d70_20_10
																	
																	
																	
															s15-d70_18_6		
																	
s15-d70_1_13	s15-d70_2_13		s15-d70_4_12					s15-d70_9_8	s15-d70_10_14							s15-d70_19_12	
		s15-d70_3_7			s15-d70_6_5	s15-d70_7_9								s15-d70_17_13			s15-d70_20_11
	s15-d70_2_14		s15-d70_4_13	s15-d70_5_7		s15-d70_7_10		s15-d70_9_9						s15-d70_17_14		s15-d70_19_13	
																	
																	
																	
s15-d70_1_14																	
	s15-d70_2_15		s15-d70_4_14											s15-d70_17_15			s15-d70_20_12
		s15-d70_3_8		s15-d70_5_8	s15-d70_6_6	s15-d70_7_11		s15-d70_9_10	s15-d70_10_15							s15-d70_19_14	
