s17-d55_1_1	s17-d55_2_1	s17-d55_3_1	s17-d55_4_1	s17-d55_5_1	s17-d55_6_1	s17-d55_8_1	s17-d55_9_1	s17-d55_10_1		s17-d55_13_1	s17-d55_15_1	s17-d55_17_1	s17-d55_19_1	s17-d55_20_1
s17-d55_1_2	s17-d55_2_2	s17-d55_3_2	s17-d55_4_2	s17-d55_5_2	s17-d55_6_2	s17-d55_8_2		s17-d55_10_2		s17-d55_13_2		s17-d55_17_2	s17-d55_19_2	s17-d55_20_2
		s17-d55_3_3	s17-d55_4_3		s17-d55_6_3		s17-d55_9_2							
s17-d55_1_3				s17-d55_5_3		s17-d55_8_3				s17-d55_13_3	s17-d55_15_2	s17-d55_17_3	s17-d55_19_3	s17-d55_20_3
											s17-d55_15_3			
	s17-d55_2_3								s17-d55_12_1	s17-d55_13_4				
s17-d55_1_4		s17-d55_3_4	s17-d55_4_4	s17-d55_5_4	s17-d55_6_4	s17-d55_8_4	s17-d55_9_3	s17-d55_10_3	s17-d55_12_2	s17-d55_13_5	s17-d55_15_4	s17-d55_17_4	s17-d55_19_4	s17-d55_20_4
				s17-d55_5_5	s17-d55_6_5	s17-d55_8_5	s17-d55_9_4	s17-d55_10_4	s17-d55_12_3			s17-d55_17_5	s17-d55_19_5	s17-d55_20_5
	s17-d55_2_4							s17-d55_10_5						
														
	s17-d55_2_5	s17-d55_3_5	s17-d55_4_5	s17-d55_5_6	s17-d55_6_6	s17-d55_8_6	s17-d55_9_5	s17-d55_10_6	s17-d55_12_4	s17-d55_13_6	s17-d55_15_5	s17-d55_17_6	s17-d55_19_6	s17-d55_20_6
s17-d55_1_5	s17-d55_2_6	s17-d55_3_6	s17-d55_4_6	s17-d55_5_7		s17-d55_8_7			s17-d55_12_5	s17-d55_13_7	s17-d55_15_6	s17-d55_17_7	s17-d55_19_7	s17-d55_20_7
s17-d55_1_6		s17-d55_3_7	s17-d55_4_7	s17-d55_5_8		s17-d55_8_8		s17-d55_10_7		s17-d55_13_8		s17-d55_17_8	s17-d55_19_8	s17-d55_20_8
														
														
														
s17-d55_1_7	s17-d55_2_7	s17-d55_3_8. s17-d55_3_9	s17-d55_4_8	s17-d55_5_9	s17-d55_6_7	s17-d55_8_9	s17-d55_9_6	s17-d55_10_8. s17-d55_10_9	s17-d55_12_6	s17-d55_13_9	s17-d55_15_7	s17-d55_17_9	s17-d55_19_9	s17-d55_20_9
