s17-d69_1_1	s17-d69_2_1			s17-d69_7_1	s17-d69_8_1	s17-d69_9_1	s17-d69_10_1		s17-d69_12_1	s17-d69_13_1		s17-d69_16_1. s17-d69_16_2	s17-d69_17_1	s17-d69_19_1
s17-d69_1_2	s17-d69_2_2	s17-d69_4_1			s17-d69_8_2	s17-d69_9_2	s17-d69_10_2	s17-d69_11_1		s17-d69_13_2		s17-d69_16_3	s17-d69_17_2	s17-d69_19_2
s17-d69_1_3					s17-d69_8_3	s17-d69_9_3	s17-d69_10_3						s17-d69_17_3	s17-d69_19_3
s17-d69_1_4	s17-d69_2_3	s17-d69_4_2	s17-d69_5_1	s17-d69_7_2		s17-d69_9_4	s17-d69_10_4	s17-d69_11_2	s17-d69_12_2	s17-d69_13_3	s17-d69_14_1		s17-d69_17_4	s17-d69_19_4
														
s17-d69_1_5				s17-d69_7_3	s17-d69_8_4	s17-d69_9_5	s17-d69_10_5						s17-d69_17_5	s17-d69_19_5
						s17-d69_9_6		s17-d69_11_3		s17-d69_13_4	s17-d69_14_2	s17-d69_16_4	s17-d69_17_6	
		s17-d69_4_3												
														
s17-d69_1_6												s17-d69_16_5	s17-d69_17_7	
														
		s17-d69_4_4												
														
									s17-d69_12_3					
				s17-d69_7_4	s17-d69_8_5		s17-d69_10_6	s17-d69_11_4		s17-d69_13_5			s17-d69_17_8	
		s17-d69_4_5									s17-d69_14_3			
	s17-d69_2_4								s17-d69_12_4			s17-d69_16_6		s17-d69_19_6
s17-d69_1_7	s17-d69_2_5	s17-d69_4_6	s17-d69_5_2	s17-d69_7_5		s17-d69_9_7	s17-d69_10_7	s17-d69_11_5		s17-d69_13_6	s17-d69_14_4		s17-d69_17_9	s17-d69_19_7
s17-d69_1_8												s17-d69_16_7	s17-d69_17_10	
														
														
														
s17-d69_1_9			s17-d69_5_3		s17-d69_8_6	s17-d69_9_8				s17-d69_13_7	s17-d69_14_5	s17-d69_16_8	s17-d69_17_11	s17-d69_19_8
												s17-d69_16_9	s17-d69_17_12	
									s17-d69_12_5					
s17-d69_1_10			s17-d69_5_4											
				s17-d69_7_6			s17-d69_10_8							
					s17-d69_8_7			s17-d69_11_6		s17-d69_13_8	s17-d69_14_6	s17-d69_16_10	s17-d69_17_13	
	s17-d69_2_6	s17-d69_4_7				s17-d69_9_9							s17-d69_17_14	s17-d69_19_9
s17-d69_1_11												s17-d69_16_11		
												s17-d69_16_12		
		s17-d69_4_8							s17-d69_12_6	s17-d69_13_9				
s17-d69_1_12		s17-d69_4_9	s17-d69_5_5	s17-d69_7_7	s17-d69_8_8	s17-d69_9_10	s17-d69_10_9			s17-d69_13_10	s17-d69_14_7		s17-d69_17_15	s17-d69_19_10
	s17-d69_2_7											s17-d69_16_13		s17-d69_19_11
								s17-d69_11_7	s17-d69_12_7			s17-d69_16_14		
						s17-d69_9_11					s17-d69_14_8			s17-d69_19_12
														
	s17-d69_2_8				s17-d69_8_9									
									s17-d69_12_8					s17-d69_19_13
		s17-d69_4_10	s17-d69_5_6	s17-d69_7_8	s17-d69_8_10		s17-d69_10_10			s17-d69_13_11	s17-d69_14_9			
	s17-d69_2_9					s17-d69_9_12		s17-d69_11_8						
														
														
	s17-d69_2_10				s17-d69_8_11	s17-d69_9_13	s17-d69_10_11			s17-d69_13_12				s17-d69_19_14
		s17-d69_4_11				s17-d69_9_14					s17-d69_14_10			
											s17-d69_14_11			
			s17-d69_5_7					s17-d69_11_9	s17-d69_12_9	s17-d69_13_13				
		s17-d69_4_12		s17-d69_7_9	s17-d69_8_12	s17-d69_9_15	s17-d69_10_12. s17-d69_10_13				s17-d69_14_12			s17-d69_19_15
														
	s17-d69_2_11													
