s21-d53_1_1	s21-d53_2_1	s21-d53_3_1	s21-d53_4_1	s21-d53_5_1	s21-d53_6_1	s21-d53_7_1. s21-d53_7_2. s21-d53_7_3	s21-d53_8_1	s21-d53_9_1	s21-d53_10_1		s21-d53_12_1. s21-d53_12_2	s21-d53_13_1
							s21-d53_8_2					
s21-d53_1_2			s21-d53_4_2									
												
												
												
				s21-d53_5_2	s21-d53_6_2	s21-d53_7_4		s21-d53_9_2		s21-d53_11_1	s21-d53_12_3	s21-d53_13_2
s21-d53_1_3	s21-d53_2_2	s21-d53_3_2	s21-d53_4_3	s21-d53_5_3	s21-d53_6_3	s21-d53_7_5	s21-d53_8_3	s21-d53_9_3	s21-d53_10_2			
												
			s21-d53_4_4						s21-d53_10_3	s21-d53_11_2		
												
												
				s21-d53_5_4							s21-d53_12_4	s21-d53_13_3
s21-d53_1_4							s21-d53_8_4	s21-d53_9_4	s21-d53_10_4			
s21-d53_1_5			s21-d53_4_5	s21-d53_5_5	s21-d53_6_4	s21-d53_7_6. s21-d53_7_7	s21-d53_8_5	s21-d53_9_5		s21-d53_11_3	s21-d53_12_5	
												
												
												
												
												
												
												
			s21-d53_4_6	s21-d53_5_6		s21-d53_7_8					s21-d53_12_6	
		s21-d53_3_3	s21-d53_4_7						s21-d53_10_5	s21-d53_11_4		
							s21-d53_8_6					
s21-d53_1_6	s21-d53_2_3			s21-d53_5_7	s21-d53_6_5	s21-d53_7_9		s21-d53_9_6		s21-d53_11_5	s21-d53_12_7	s21-d53_13_4
	s21-d53_2_4	s21-d53_3_4	s21-d53_4_8		s21-d53_6_6	s21-d53_7_10	s21-d53_8_7					
	s21-d53_2_5	s21-d53_3_5		s21-d53_5_8					s21-d53_10_6		s21-d53_12_8	s21-d53_13_5
