s22-d26_1_1	s22-d26_2_1	s22-d26_3_1	s22-d26_4_1	s22-d26_5_1	s22-d26_6_1	s22-d26_7_1	s22-d26_8_1	s22-d26_9_1	s22-d26_10_1	s22-d26_11_1	s22-d26_12_1	s22-d26_13_1		s22-d26_15_1	s22-d26_16_1	s22-d26_17_1	s22-d26_18_1	s22-d26_19_1	
s22-d26_1_2					s22-d26_6_2	s22-d26_7_2	s22-d26_8_2	s22-d26_9_2	s22-d26_10_2	s22-d26_11_2	s22-d26_12_2	s22-d26_13_2		s22-d26_15_2	s22-d26_16_2				
s22-d26_1_3	s22-d26_2_2	s22-d26_3_2		s22-d26_5_2	s22-d26_6_3	s22-d26_7_3	s22-d26_8_3	s22-d26_9_3	s22-d26_10_3	s22-d26_11_3	s22-d26_12_3	s22-d26_13_3	s22-d26_14_1	s22-d26_15_3	s22-d26_16_3	s22-d26_17_2		s22-d26_19_2	s22-d26_20_1
			s22-d26_4_2																
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
	s22-d26_2_3	s22-d26_3_3			s22-d26_6_4			s22-d26_9_4	s22-d26_10_4	s22-d26_11_4	s22-d26_12_4	s22-d26_13_4		s22-d26_15_4	s22-d26_16_4	s22-d26_17_3		s22-d26_19_3	
s22-d26_1_4						s22-d26_7_4													
																		s22-d26_19_4	
	s22-d26_2_4		s22-d26_4_3	s22-d26_5_3	s22-d26_6_5	s22-d26_7_5	s22-d26_8_4	s22-d26_9_5	s22-d26_10_5	s22-d26_11_5		s22-d26_13_5	s22-d26_14_2	s22-d26_15_5	s22-d26_16_5	s22-d26_17_4		s22-d26_19_5	s22-d26_20_2
											s22-d26_12_5						s22-d26_18_2	s22-d26_19_6	
					s22-d26_6_6										s22-d26_16_6			s22-d26_19_7	
						s22-d26_7_6	s22-d26_8_5	s22-d26_9_6	s22-d26_10_6		s22-d26_12_6		s22-d26_14_3	s22-d26_15_6	s22-d26_16_7	s22-d26_17_5		s22-d26_19_8	s22-d26_20_3
																			
																	s22-d26_18_3		
																			
																			
		s22-d26_3_4			s22-d26_6_7														
																			
										s22-d26_11_6		s22-d26_13_6							
																			
																			
													s22-d26_14_4						
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
			s22-d26_4_4																
																			
																			
																			
																			
																			
																			
																			
																			
					s22-d26_6_8		s22-d26_8_6	s22-d26_9_7			s22-d26_12_7	s22-d26_13_7		s22-d26_15_7				s22-d26_19_9	s22-d26_20_4
s22-d26_1_5	s22-d26_2_5	s22-d26_3_5	s22-d26_4_5	s22-d26_5_4				s22-d26_9_8	s22-d26_10_7	s22-d26_11_7	s22-d26_12_8	s22-d26_13_8	s22-d26_14_5	s22-d26_15_8	s22-d26_16_8	s22-d26_17_6	s22-d26_18_4	s22-d26_19_10	s22-d26_20_5
s22-d26_1_6						s22-d26_7_7	s22-d26_8_7	s22-d26_9_9	s22-d26_10_8	s22-d26_11_8	s22-d26_12_9								
					s22-d26_6_9							s22-d26_13_9	s22-d26_14_6	s22-d26_15_9				s22-d26_19_11	
s22-d26_1_7						s22-d26_7_8		s22-d26_9_10	s22-d26_10_9		s22-d26_12_10	s22-d26_13_10		s22-d26_15_10			s22-d26_18_5		
							s22-d26_8_8												
																			
																			
s22-d26_1_8					s22-d26_6_10	s22-d26_7_9				s22-d26_11_9	s22-d26_12_11	s22-d26_13_11		s22-d26_15_11		s22-d26_17_7		s22-d26_19_12	
													s22-d26_14_7						
s22-d26_1_9	s22-d26_2_6	s22-d26_3_6	s22-d26_4_6	s22-d26_5_5	s22-d26_6_11. s22-d26_6_12	s22-d26_7_10	s22-d26_8_9	s22-d26_9_11	s22-d26_10_10	s22-d26_11_10	s22-d26_12_12	s22-d26_13_12	s22-d26_14_8	s22-d26_15_12		s22-d26_17_8	s22-d26_18_6	s22-d26_19_13	s22-d26_20_6
