s22-d29_1_1	s22-d29_2_1	s22-d29_3_1	s22-d29_4_1	s22-d29_5_1		s22-d29_8_1		s22-d29_10_1	s22-d29_11_1		s22-d29_13_1	s22-d29_15_1	s22-d29_16_1		s22-d29_18_1	s22-d29_19_1	s22-d29_20_1
							s22-d29_9_1. s22-d29_9_2		s22-d29_11_2								
																	
s22-d29_1_2	s22-d29_2_2	s22-d29_3_2	s22-d29_4_2	s22-d29_5_2	s22-d29_6_1	s22-d29_8_2		s22-d29_10_2	s22-d29_11_3	s22-d29_12_1	s22-d29_13_2	s22-d29_15_2	s22-d29_16_2	s22-d29_17_1	s22-d29_18_2	s22-d29_19_2	s22-d29_20_2
											s22-d29_13_3	s22-d29_15_3	s22-d29_16_3				s22-d29_20_3
						s22-d29_8_3	s22-d29_9_3			s22-d29_12_2						s22-d29_19_3	
s22-d29_1_3	s22-d29_2_3	s22-d29_3_3	s22-d29_4_3		s22-d29_6_2	s22-d29_8_4	s22-d29_9_4	s22-d29_10_3		s22-d29_12_3	s22-d29_13_4	s22-d29_15_4	s22-d29_16_4		s22-d29_18_3	s22-d29_19_4	s22-d29_20_4
s22-d29_1_4																	
		s22-d29_3_4		s22-d29_5_3			s22-d29_9_5	s22-d29_10_4	s22-d29_11_4. s22-d29_11_5			s22-d29_15_5					
s22-d29_1_5	s22-d29_2_4	s22-d29_3_5	s22-d29_4_4		s22-d29_6_3	s22-d29_8_5		s22-d29_10_5		s22-d29_12_4	s22-d29_13_5	s22-d29_15_6	s22-d29_16_5	s22-d29_17_2. s22-d29_17_3	s22-d29_18_4	s22-d29_19_5	s22-d29_20_5
s22-d29_1_6. s22-d29_1_7	s22-d29_2_5	s22-d29_3_6	s22-d29_4_5	s22-d29_5_4. s22-d29_5_5	s22-d29_6_4. s22-d29_6_5	s22-d29_8_6		s22-d29_10_6	s22-d29_11_6	s22-d29_12_5	s22-d29_13_6. s22-d29_13_7	s22-d29_15_7. s22-d29_15_8	s22-d29_16_6. s22-d29_16_7	s22-d29_17_4. s22-d29_17_5	s22-d29_18_5	s22-d29_19_6	s22-d29_20_6
