s24-d28_1_1	s24-d28_2_1	s24-d28_5_1	s24-d28_6_1	s24-d28_7_1	s24-d28_8_1	s24-d28_9_1	s24-d28_10_1	s24-d28_11_1			s24-d28_15_1	s24-d28_16_1	s24-d28_18_1. s24-d28_18_2. s24-d28_18_3	s24-d28_19_1
s24-d28_1_2	s24-d28_2_2		s24-d28_6_2		s24-d28_8_2			s24-d28_11_2	s24-d28_13_1	s24-d28_14_1		s24-d28_16_2	s24-d28_18_4	s24-d28_19_2
		s24-d28_5_2												
							s24-d28_10_2					s24-d28_16_3		
									s24-d28_13_2				s24-d28_18_5	
s24-d28_1_3				s24-d28_7_2	s24-d28_8_3	s24-d28_9_2								s24-d28_19_3
	s24-d28_2_3	s24-d28_5_3	s24-d28_6_3								s24-d28_15_2			
														
	s24-d28_2_4				s24-d28_8_4		s24-d28_10_3	s24-d28_11_3		s24-d28_14_2		s24-d28_16_4	s24-d28_18_6	
														
s24-d28_1_4		s24-d28_5_4	s24-d28_6_4		s24-d28_8_5		s24-d28_10_4	s24-d28_11_4	s24-d28_13_3	s24-d28_14_3	s24-d28_15_3	s24-d28_16_5	s24-d28_18_7	s24-d28_19_4
													s24-d28_18_8	
	s24-d28_2_5													
														
	s24-d28_2_6					s24-d28_9_3				s24-d28_14_4				
										s24-d28_14_5. s24-d28_14_6				
	s24-d28_2_7			s24-d28_7_3	s24-d28_8_6	s24-d28_9_4				s24-d28_14_7				
													s24-d28_18_9	
		s24-d28_5_5												
s24-d28_1_5			s24-d28_6_5	s24-d28_7_4			s24-d28_10_5	s24-d28_11_5	s24-d28_13_4	s24-d28_14_8	s24-d28_15_4	s24-d28_16_6		s24-d28_19_5
			s24-d28_6_6	s24-d28_7_5		s24-d28_9_5		s24-d28_11_6			s24-d28_15_5	s24-d28_16_7		
	s24-d28_2_8				s24-d28_8_7	s24-d28_9_6	s24-d28_10_6						s24-d28_18_10	s24-d28_19_6
s24-d28_1_6		s24-d28_5_6	s24-d28_6_7		s24-d28_8_8		s24-d28_10_7	s24-d28_11_7		s24-d28_14_9	s24-d28_15_6	s24-d28_16_8	s24-d28_18_11	s24-d28_19_7
														
s24-d28_1_7			s24-d28_6_8	s24-d28_7_6	s24-d28_8_9		s24-d28_10_8	s24-d28_11_8	s24-d28_13_5. s24-d28_13_6	s24-d28_14_10		s24-d28_16_9	s24-d28_18_12. s24-d28_18_13	
