s24-d34_1_1	s24-d34_2_1	s24-d34_3_1	s24-d34_4_1	s24-d34_5_1	s24-d34_6_1	s24-d34_7_1	s24-d34_8_1				s24-d34_12_1	s24-d34_13_1	s24-d34_14_1	s24-d34_15_1	s24-d34_16_1	s24-d34_17_1	s24-d34_18_1		s24-d34_20_1
s24-d34_1_2	s24-d34_2_2	s24-d34_3_2	s24-d34_4_2	s24-d34_5_2	s24-d34_6_2	s24-d34_7_2	s24-d34_8_2	s24-d34_9_1	s24-d34_10_1		s24-d34_12_2	s24-d34_13_2	s24-d34_14_2	s24-d34_15_2	s24-d34_16_2	s24-d34_17_2	s24-d34_18_2		s24-d34_20_2
s24-d34_1_3	s24-d34_2_3	s24-d34_3_3	s24-d34_4_3	s24-d34_5_3	s24-d34_6_3	s24-d34_7_3	s24-d34_8_3		s24-d34_10_2	s24-d34_11_1	s24-d34_12_3		s24-d34_14_3	s24-d34_15_3	s24-d34_16_3	s24-d34_17_3	s24-d34_18_3	s24-d34_19_1	s24-d34_20_3
															s24-d34_16_4				
s24-d34_1_4	s24-d34_2_4	s24-d34_3_4	s24-d34_4_4		s24-d34_6_4	s24-d34_7_4	s24-d34_8_4				s24-d34_12_4	s24-d34_13_3	s24-d34_14_4	s24-d34_15_4		s24-d34_17_4	s24-d34_18_4	s24-d34_19_2	s24-d34_20_4
						s24-d34_7_5	s24-d34_8_5		s24-d34_10_3	s24-d34_11_2					s24-d34_16_5				
s24-d34_1_5	s24-d34_2_5	s24-d34_3_5	s24-d34_4_5	s24-d34_5_4. s24-d34_5_5		s24-d34_7_6. s24-d34_7_7	s24-d34_8_6	s24-d34_9_2						s24-d34_15_5	s24-d34_16_6				s24-d34_20_5
	s24-d34_2_6	s24-d34_3_6	s24-d34_4_6		s24-d34_6_5		s24-d34_8_7	s24-d34_9_3		s24-d34_11_3	s24-d34_12_5	s24-d34_13_4	s24-d34_14_5	s24-d34_15_6	s24-d34_16_7	s24-d34_17_5			s24-d34_20_6
s24-d34_1_6				s24-d34_5_6		s24-d34_7_8													
s24-d34_1_7	s24-d34_2_7	s24-d34_3_7	s24-d34_4_7		s24-d34_6_6		s24-d34_8_8			s24-d34_11_4		s24-d34_13_5	s24-d34_14_6	s24-d34_15_7	s24-d34_16_8	s24-d34_17_6	s24-d34_18_5	s24-d34_19_3	s24-d34_20_7
						s24-d34_7_9		s24-d34_9_4											
															s24-d34_16_9			s24-d34_19_4	
																			
				s24-d34_5_7															
									s24-d34_10_4										
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
					s24-d34_6_7								s24-d34_14_7						
											s24-d34_12_6	s24-d34_13_6							
s24-d34_1_8	s24-d34_2_8	s24-d34_3_8	s24-d34_4_8			s24-d34_7_10. s24-d34_7_11	s24-d34_8_9	s24-d34_9_5	s24-d34_10_5	s24-d34_11_5				s24-d34_15_8	s24-d34_16_10	s24-d34_17_7	s24-d34_18_6	s24-d34_19_5	s24-d34_20_8
		s24-d34_3_9	s24-d34_4_9	s24-d34_5_8					s24-d34_10_6	s24-d34_11_6					s24-d34_16_11				
