s27-d21_1_1. s27-d21_1_2	s27-d21_2_1	s27-d21_3_1	s27-d21_4_1	s27-d21_5_1	s27-d21_6_1	s27-d21_7_1	s27-d21_8_1	s27-d21_10_1	s27-d21_11_1	s27-d21_12_1	s27-d21_13_1	s27-d21_14_1	s27-d21_15_1	s27-d21_16_1	s27-d21_17_1	s27-d21_19_1	s27-d21_20_1
			s27-d21_4_2										s27-d21_15_2	s27-d21_16_2	s27-d21_17_2		s27-d21_20_2
s27-d21_1_3		s27-d21_3_2					s27-d21_8_2			s27-d21_12_2	s27-d21_13_2	s27-d21_14_2					
		s27-d21_3_3	s27-d21_4_3	s27-d21_5_2	s27-d21_6_2	s27-d21_7_2	s27-d21_8_3	s27-d21_10_2		s27-d21_12_3		s27-d21_14_3	s27-d21_15_3	s27-d21_16_3	s27-d21_17_3	s27-d21_19_2	s27-d21_20_3
	s27-d21_2_2																
											s27-d21_13_3						
s27-d21_1_4			s27-d21_4_4	s27-d21_5_3		s27-d21_7_3	s27-d21_8_4	s27-d21_10_3	s27-d21_11_2	s27-d21_12_4		s27-d21_14_4	s27-d21_15_4	s27-d21_16_4		s27-d21_19_3	s27-d21_20_4
		s27-d21_3_4													s27-d21_17_4		
s27-d21_1_5	s27-d21_2_3		s27-d21_4_5	s27-d21_5_4	s27-d21_6_3		s27-d21_8_5	s27-d21_10_4			s27-d21_13_4		s27-d21_15_5	s27-d21_16_5	s27-d21_17_5	s27-d21_19_4	s27-d21_20_5
					s27-d21_6_4					s27-d21_12_5		s27-d21_14_5					
s27-d21_1_6	s27-d21_2_4		s27-d21_4_6		s27-d21_6_5				s27-d21_11_3		s27-d21_13_5	s27-d21_14_6	s27-d21_15_6		s27-d21_17_6	s27-d21_19_5	s27-d21_20_6
									s27-d21_11_4			s27-d21_14_7		s27-d21_16_6			
s27-d21_1_7	s27-d21_2_5. s27-d21_2_6	s27-d21_3_5	s27-d21_4_7	s27-d21_5_5	s27-d21_6_6	s27-d21_7_4. s27-d21_7_5	s27-d21_8_6	s27-d21_10_5	s27-d21_11_5	s27-d21_12_6	s27-d21_13_6		s27-d21_15_7		s27-d21_17_7. s27-d21_17_8	s27-d21_19_6. s27-d21_19_7	s27-d21_20_7. s27-d21_20_8
