s27-d70_1_1	s27-d70_2_1	s27-d70_3_1	s27-d70_4_1	s27-d70_5_1	s27-d70_6_1	s27-d70_7_1	s27-d70_8_1	s27-d70_9_1	s27-d70_10_1	s27-d70_11_1	s27-d70_12_1	s27-d70_13_1	s27-d70_14_1		s27-d70_16_1	s27-d70_18_1	s27-d70_19_1
s27-d70_1_2		s27-d70_3_2	s27-d70_4_2								s27-d70_12_2	s27-d70_13_2	s27-d70_14_2				s27-d70_19_2
	s27-d70_2_2																
s27-d70_1_3	s27-d70_2_3	s27-d70_3_3	s27-d70_4_3			s27-d70_7_2			s27-d70_10_2		s27-d70_12_3	s27-d70_13_3	s27-d70_14_3		s27-d70_16_2		
				s27-d70_5_2	s27-d70_6_2		s27-d70_8_2	s27-d70_9_2		s27-d70_11_2				s27-d70_15_1			
s27-d70_1_4	s27-d70_2_4	s27-d70_3_4	s27-d70_4_4	s27-d70_5_3	s27-d70_6_3	s27-d70_7_3	s27-d70_8_3	s27-d70_9_3	s27-d70_10_3	s27-d70_11_3	s27-d70_12_4	s27-d70_13_4	s27-d70_14_4	s27-d70_15_2	s27-d70_16_3	s27-d70_18_2	
																	
s27-d70_1_5	s27-d70_2_5	s27-d70_3_5	s27-d70_4_5	s27-d70_5_4		s27-d70_7_4	s27-d70_8_4				s27-d70_12_5	s27-d70_13_5	s27-d70_14_5		s27-d70_16_4. s27-d70_16_5		s27-d70_19_3
		s27-d70_3_6		s27-d70_5_5				s27-d70_9_4		s27-d70_11_4		s27-d70_13_6				s27-d70_18_3	
s27-d70_1_6	s27-d70_2_6	s27-d70_3_7	s27-d70_4_6	s27-d70_5_6	s27-d70_6_4	s27-d70_7_5	s27-d70_8_5	s27-d70_9_5	s27-d70_10_4	s27-d70_11_5	s27-d70_12_6	s27-d70_13_7	s27-d70_14_6	s27-d70_15_3	s27-d70_16_6	s27-d70_18_4	s27-d70_19_4
	s27-d70_2_7	s27-d70_3_8	s27-d70_4_7								s27-d70_12_7	s27-d70_13_8	s27-d70_14_7				
			s27-d70_4_8	s27-d70_5_7			s27-d70_8_6				s27-d70_12_8		s27-d70_14_8	s27-d70_15_4			s27-d70_19_5
s27-d70_1_7	s27-d70_2_8	s27-d70_3_9		s27-d70_5_8				s27-d70_9_6		s27-d70_11_6	s27-d70_12_9	s27-d70_13_9		s27-d70_15_5	s27-d70_16_7	s27-d70_18_5	
s27-d70_1_8	s27-d70_2_9		s27-d70_4_9	s27-d70_5_9							s27-d70_12_10	s27-d70_13_10	s27-d70_14_9				s27-d70_19_6
		s27-d70_3_10												s27-d70_15_6			
			s27-d70_4_10			s27-d70_7_6	s27-d70_8_7		s27-d70_10_5								s27-d70_19_7
s27-d70_1_9	s27-d70_2_10	s27-d70_3_11		s27-d70_5_10	s27-d70_6_5			s27-d70_9_7		s27-d70_11_7	s27-d70_12_11	s27-d70_13_11	s27-d70_14_10	s27-d70_15_7	s27-d70_16_8		
	s27-d70_2_11			s27-d70_5_11								s27-d70_13_12					
		s27-d70_3_12															
											s27-d70_12_12	s27-d70_13_13					
																	
s27-d70_1_10		s27-d70_3_13		s27-d70_5_12		s27-d70_7_7	s27-d70_8_8		s27-d70_10_6		s27-d70_12_13	s27-d70_13_14			s27-d70_16_9		
										s27-d70_11_8							
	s27-d70_2_12	s27-d70_3_14		s27-d70_5_13. s27-d70_5_14	s27-d70_6_6			s27-d70_9_8			s27-d70_12_14	s27-d70_13_15		s27-d70_15_8		s27-d70_18_6	
