	s29-d50_3_1	s29-d50_4_1	s29-d50_5_1					s29-d50_13_1	s29-d50_14_1	s29-d50_15_1	s29-d50_16_1		s29-d50_19_1	
														
														
s29-d50_2_1	s29-d50_3_2	s29-d50_4_2. s29-d50_4_3	s29-d50_5_2	s29-d50_6_1	s29-d50_7_1	s29-d50_8_1	s29-d50_10_1. s29-d50_10_2	s29-d50_13_2	s29-d50_14_2	s29-d50_15_2	s29-d50_16_2	s29-d50_17_1	s29-d50_19_2	s29-d50_20_1
	s29-d50_3_3	s29-d50_4_4. s29-d50_4_5	s29-d50_5_3		s29-d50_7_2		s29-d50_10_3	s29-d50_13_3		s29-d50_15_3	s29-d50_16_3. s29-d50_16_4		s29-d50_19_3. s29-d50_19_4	
s29-d50_2_2			s29-d50_5_4		s29-d50_7_3	s29-d50_8_2	s29-d50_10_4	s29-d50_13_4	s29-d50_14_3			s29-d50_17_2		s29-d50_20_2
		s29-d50_4_6					s29-d50_10_5							
s29-d50_2_3	s29-d50_3_4. s29-d50_3_5	s29-d50_4_7. s29-d50_4_8. s29-d50_4_9	s29-d50_5_5. s29-d50_5_6	s29-d50_6_2	s29-d50_7_4. s29-d50_7_5		s29-d50_10_6. s29-d50_10_7	s29-d50_13_5	s29-d50_14_4	s29-d50_15_4	s29-d50_16_5. s29-d50_16_6	s29-d50_17_3	s29-d50_19_5. s29-d50_19_6	s29-d50_20_3
s29-d50_2_4		s29-d50_4_10	s29-d50_5_7	s29-d50_6_3	s29-d50_7_6		s29-d50_10_8	s29-d50_13_6	s29-d50_14_5				s29-d50_19_7	
s29-d50_2_5	s29-d50_3_6. s29-d50_3_7	s29-d50_4_11		s29-d50_6_4. s29-d50_6_5		s29-d50_8_3. s29-d50_8_4	s29-d50_10_9	s29-d50_13_7	s29-d50_14_6		s29-d50_16_7	s29-d50_17_4	s29-d50_19_8	s29-d50_20_4
s29-d50_2_6		s29-d50_4_12	s29-d50_5_8	s29-d50_6_6			s29-d50_10_10		s29-d50_14_7		s29-d50_16_8	s29-d50_17_5	s29-d50_19_9	
	s29-d50_3_8	s29-d50_4_13			s29-d50_7_7	s29-d50_8_5		s29-d50_13_8		s29-d50_15_5				s29-d50_20_5
