s30-d29_1_1	s30-d29_2_1	s30-d29_3_1	s30-d29_4_1		s30-d29_6_1	s30-d29_7_1	s30-d29_8_1	s30-d29_9_1	s30-d29_10_1	s30-d29_11_1	s30-d29_12_1. s30-d29_12_2	s30-d29_13_1	s30-d29_14_1	s30-d29_16_1	s30-d29_17_1			
								s30-d29_9_2			s30-d29_12_3							
s30-d29_1_2										s30-d29_11_2							s30-d29_19_1	
		s30-d29_3_2	s30-d29_4_2			s30-d29_7_2			s30-d29_10_2		s30-d29_12_4	s30-d29_13_2	s30-d29_14_2	s30-d29_16_2	s30-d29_17_2	s30-d29_18_1		s30-d29_20_1
							s30-d29_8_2	s30-d29_9_3				s30-d29_13_3						
s30-d29_1_3. s30-d29_1_4	s30-d29_2_2	s30-d29_3_3	s30-d29_4_3		s30-d29_6_2	s30-d29_7_3			s30-d29_10_3	s30-d29_11_3			s30-d29_14_3. s30-d29_14_4	s30-d29_16_3	s30-d29_17_3		s30-d29_19_2	s30-d29_20_2
s30-d29_1_5	s30-d29_2_3	s30-d29_3_4	s30-d29_4_4		s30-d29_6_3	s30-d29_7_4			s30-d29_10_4	s30-d29_11_4		s30-d29_13_4	s30-d29_14_5					
s30-d29_1_6	s30-d29_2_4	s30-d29_3_5	s30-d29_4_5			s30-d29_7_5			s30-d29_10_5			s30-d29_13_5	s30-d29_14_6		s30-d29_17_4			
								s30-d29_9_4		s30-d29_11_5	s30-d29_12_5					s30-d29_18_2	s30-d29_19_3	
s30-d29_1_7			s30-d29_4_6			s30-d29_7_6	s30-d29_8_3	s30-d29_9_5	s30-d29_10_6	s30-d29_11_6		s30-d29_13_6	s30-d29_14_7	s30-d29_16_4	s30-d29_17_5	s30-d29_18_3		
s30-d29_1_8	s30-d29_2_5	s30-d29_3_6	s30-d29_4_7		s30-d29_6_4	s30-d29_7_7	s30-d29_8_4	s30-d29_9_6	s30-d29_10_7	s30-d29_11_7	s30-d29_12_6	s30-d29_13_7. s30-d29_13_8	s30-d29_14_8	s30-d29_16_5			s30-d29_19_4	s30-d29_20_3
s30-d29_1_9		s30-d29_3_7	s30-d29_4_8			s30-d29_7_8		s30-d29_9_7	s30-d29_10_8	s30-d29_11_8	s30-d29_12_7	s30-d29_13_9	s30-d29_14_9					
			s30-d29_4_9		s30-d29_6_5		s30-d29_8_5		s30-d29_10_9	s30-d29_11_9			s30-d29_14_10			s30-d29_18_4		s30-d29_20_4
s30-d29_1_10	s30-d29_2_6	s30-d29_3_8				s30-d29_7_9		s30-d29_9_8				s30-d29_13_10		s30-d29_16_6	s30-d29_17_6	s30-d29_18_5	s30-d29_19_5	
s30-d29_1_11			s30-d29_4_10							s30-d29_11_10	s30-d29_12_8. s30-d29_12_9	s30-d29_13_11			s30-d29_17_7			
							s30-d29_8_6											
s30-d29_1_12			s30-d29_4_11			s30-d29_7_10		s30-d29_9_9	s30-d29_10_10	s30-d29_11_11	s30-d29_12_10	s30-d29_13_12	s30-d29_14_11	s30-d29_16_7	s30-d29_17_8			
	s30-d29_2_7	s30-d29_3_9		s30-d29_5_1. s30-d29_5_2. s30-d29_5_3. s30-d29_5_4. s30-d29_5_5. s30-d29_5_6. s30-d29_5_7. s30-d29_5_8	s30-d29_6_6		s30-d29_8_7		s30-d29_10_11				s30-d29_14_12					s30-d29_20_5
								s30-d29_9_10						s30-d29_16_8		s30-d29_18_6		
										s30-d29_11_12								
s30-d29_1_13			s30-d29_4_12			s30-d29_7_11						s30-d29_13_13			s30-d29_17_9			
	s30-d29_2_8	s30-d29_3_10	s30-d29_4_13	s30-d29_5_9		s30-d29_7_12			s30-d29_10_12			s30-d29_13_14	s30-d29_14_13					
	s30-d29_2_9		s30-d29_4_14	s30-d29_5_10		s30-d29_7_13			s30-d29_10_13	s30-d29_11_13	s30-d29_12_11	s30-d29_13_15						
s30-d29_1_14					s30-d29_6_7		s30-d29_8_8	s30-d29_9_11						s30-d29_16_9	s30-d29_17_10		s30-d29_19_6	s30-d29_20_6
