s30-d41_1_1			s30-d41_4_1	s30-d41_5_1	s30-d41_6_1	s30-d41_7_1	s30-d41_8_1	s30-d41_9_1		s30-d41_12_1	s30-d41_13_1	s30-d41_14_1	s30-d41_15_1. s30-d41_15_2	s30-d41_16_1	s30-d41_17_1. s30-d41_17_2	s30-d41_18_1	s30-d41_19_1. s30-d41_19_2. s30-d41_19_3	s30-d41_20_1
s30-d41_1_2	s30-d41_2_1	s30-d41_3_1	s30-d41_4_2	s30-d41_5_2	s30-d41_6_2	s30-d41_7_2	s30-d41_8_2	s30-d41_9_2	s30-d41_11_1	s30-d41_12_2			s30-d41_15_3. s30-d41_15_4	s30-d41_16_2	s30-d41_17_3. s30-d41_17_4	s30-d41_18_2	s30-d41_19_4	s30-d41_20_2
		s30-d41_3_2			s30-d41_6_3		s30-d41_8_3				s30-d41_13_2	s30-d41_14_2				s30-d41_18_3		
s30-d41_1_3			s30-d41_4_3	s30-d41_5_3		s30-d41_7_3		s30-d41_9_3					s30-d41_15_5	s30-d41_16_3	s30-d41_17_5		s30-d41_19_5	
	s30-d41_2_2								s30-d41_11_2	s30-d41_12_3			s30-d41_15_6		s30-d41_17_6			
s30-d41_1_4			s30-d41_4_4	s30-d41_5_4		s30-d41_7_4	s30-d41_8_4	s30-d41_9_4	s30-d41_11_3	s30-d41_12_4			s30-d41_15_7	s30-d41_16_4		s30-d41_18_4	s30-d41_19_6. s30-d41_19_7	s30-d41_20_3
s30-d41_1_5	s30-d41_2_3	s30-d41_3_3	s30-d41_4_5	s30-d41_5_5	s30-d41_6_4	s30-d41_7_5	s30-d41_8_5	s30-d41_9_5	s30-d41_11_4	s30-d41_12_5	s30-d41_13_3					s30-d41_18_5	s30-d41_19_8	s30-d41_20_4
s30-d41_1_6	s30-d41_2_4	s30-d41_3_4	s30-d41_4_6	s30-d41_5_6		s30-d41_7_6	s30-d41_8_6	s30-d41_9_6		s30-d41_12_6		s30-d41_14_3		s30-d41_16_5		s30-d41_18_6	s30-d41_19_9	s30-d41_20_5
																		
s30-d41_1_7				s30-d41_5_7	s30-d41_6_5				s30-d41_11_5	s30-d41_12_7	s30-d41_13_4			s30-d41_16_6				s30-d41_20_6
																		
														s30-d41_16_7				
																		
																		
																		
																		
																		
																		
																		
																		
																		
													s30-d41_15_8					
													s30-d41_15_9					
																		
																		
																		
	s30-d41_2_5			s30-d41_5_8										s30-d41_16_8				
																		
													s30-d41_15_10		s30-d41_17_7			
																		
																		
																		
													s30-d41_15_11					
				s30-d41_5_9														
													s30-d41_15_12					
													s30-d41_15_13					
																		
																		
																		
																		
																		
																		
																		
																		
																		
s30-d41_1_8										s30-d41_12_8				s30-d41_16_9		s30-d41_18_7	s30-d41_19_10	
																		
s30-d41_1_9				s30-d41_5_10						s30-d41_12_9								
				s30-d41_5_11														
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
														s30-d41_16_10				
																		
																		
																		
																		
																		
																		
																		
												s30-d41_14_4		s30-d41_16_11				
s30-d41_1_10	s30-d41_2_6		s30-d41_4_7			s30-d41_7_7	s30-d41_8_7	s30-d41_9_7	s30-d41_11_6	s30-d41_12_10							s30-d41_19_11	s30-d41_20_7
s30-d41_1_11				s30-d41_5_12	s30-d41_6_6	s30-d41_7_8	s30-d41_8_8	s30-d41_9_8		s30-d41_12_11	s30-d41_13_5					s30-d41_18_8		s30-d41_20_8
																		
		s30-d41_3_5																
																		
s30-d41_1_12		s30-d41_3_6				s30-d41_7_9				s30-d41_12_12				s30-d41_16_12. s30-d41_16_13		s30-d41_18_9	s30-d41_19_12	
			s30-d41_4_8					s30-d41_9_9	s30-d41_11_7									
		s30-d41_3_7	s30-d41_4_9			s30-d41_7_10												
								s30-d41_9_10								s30-d41_18_10		
																		
																		
	s30-d41_2_7			s30-d41_5_13													s30-d41_19_13	
										s30-d41_12_13								
s30-d41_1_13																		
																		
								s30-d41_9_11										
		s30-d41_3_8		s30-d41_5_14										s30-d41_16_14				
																		
s30-d41_1_14	s30-d41_2_8		s30-d41_4_10															
				s30-d41_5_15		s30-d41_7_11				s30-d41_12_14							s30-d41_19_14	
																s30-d41_18_11		
					s30-d41_6_7				s30-d41_11_8		s30-d41_13_6	s30-d41_14_5		s30-d41_16_15				
