s32-d52_1_1	s32-d52_3_1	s32-d52_4_1	s32-d52_5_1		s32-d52_7_1	s32-d52_8_1	s32-d52_9_1	s32-d52_10_1	s32-d52_12_1		s32-d52_14_1	s32-d52_15_1	s32-d52_16_1	s32-d52_17_1	s32-d52_19_1	s32-d52_20_1
		s32-d52_4_2	s32-d52_5_2			s32-d52_8_2		s32-d52_10_2	s32-d52_12_2		s32-d52_14_2	s32-d52_15_2				s32-d52_20_2
																
	s32-d52_3_2	s32-d52_4_3	s32-d52_5_3		s32-d52_7_2	s32-d52_8_3	s32-d52_9_2	s32-d52_10_3	s32-d52_12_3		s32-d52_14_3	s32-d52_15_3		s32-d52_17_2		
s32-d52_1_2							s32-d52_9_3						s32-d52_16_2			s32-d52_20_3
	s32-d52_3_3	s32-d52_4_4	s32-d52_5_4	s32-d52_6_1. s32-d52_6_2	s32-d52_7_3	s32-d52_8_4			s32-d52_12_4	s32-d52_13_1	s32-d52_14_4	s32-d52_15_4		s32-d52_17_3	s32-d52_19_2	
	s32-d52_3_4	s32-d52_4_5	s32-d52_5_5			s32-d52_8_5	s32-d52_9_4	s32-d52_10_4	s32-d52_12_5		s32-d52_14_5					s32-d52_20_4
s32-d52_1_3		s32-d52_4_6														
																
	s32-d52_3_5	s32-d52_4_7	s32-d52_5_6		s32-d52_7_4		s32-d52_9_5				s32-d52_14_6	s32-d52_15_5		s32-d52_17_4	s32-d52_19_3	s32-d52_20_5
s32-d52_1_4	s32-d52_3_6	s32-d52_4_8	s32-d52_5_7	s32-d52_6_3	s32-d52_7_5	s32-d52_8_6	s32-d52_9_6	s32-d52_10_5	s32-d52_12_6	s32-d52_13_2	s32-d52_14_7	s32-d52_15_6	s32-d52_16_3	s32-d52_17_5		
s32-d52_1_5	s32-d52_3_7	s32-d52_4_9	s32-d52_5_8		s32-d52_7_6	s32-d52_8_7	s32-d52_9_7	s32-d52_10_6	s32-d52_12_7	s32-d52_13_3	s32-d52_14_8	s32-d52_15_7	s32-d52_16_4	s32-d52_17_6		s32-d52_20_6
	s32-d52_3_8			s32-d52_6_4	s32-d52_7_7	s32-d52_8_8	s32-d52_9_8				s32-d52_14_9	s32-d52_15_8		s32-d52_17_7	s32-d52_19_4	
																
s32-d52_1_6	s32-d52_3_9		s32-d52_5_9		s32-d52_7_8	s32-d52_8_9	s32-d52_9_9	s32-d52_10_7	s32-d52_12_8	s32-d52_13_4	s32-d52_14_10	s32-d52_15_9	s32-d52_16_5	s32-d52_17_8		
							s32-d52_9_10									s32-d52_20_7
	s32-d52_3_10			s32-d52_6_5								s32-d52_15_10			s32-d52_19_5	
			s32-d52_5_10		s32-d52_7_9			s32-d52_10_8	s32-d52_12_9		s32-d52_14_11	s32-d52_15_11	s32-d52_16_6	s32-d52_17_9		
s32-d52_1_7	s32-d52_3_11		s32-d52_5_11		s32-d52_7_10		s32-d52_9_11		s32-d52_12_10	s32-d52_13_5	s32-d52_14_12	s32-d52_15_12	s32-d52_16_7	s32-d52_17_10		s32-d52_20_8
	s32-d52_3_12		s32-d52_5_12		s32-d52_7_11		s32-d52_9_12	s32-d52_10_9. s32-d52_10_10	s32-d52_12_11		s32-d52_14_13	s32-d52_15_13	s32-d52_16_8	s32-d52_17_11		s32-d52_20_9
				s32-d52_6_6												
																
																
																
			s32-d52_5_13													
	s32-d52_3_13				s32-d52_7_12		s32-d52_9_13				s32-d52_14_14	s32-d52_15_14		s32-d52_17_12		
											s32-d52_14_15	s32-d52_15_15	s32-d52_16_9		s32-d52_19_6	s32-d52_20_10
