s35-d48_1_1	s35-d48_2_1	s35-d48_3_1	s35-d48_5_1	s35-d48_7_1	s35-d48_8_1	s35-d48_9_1		s35-d48_11_1	s35-d48_12_1	s35-d48_13_1		s35-d48_16_1	s35-d48_17_1	s35-d48_18_1	s35-d48_19_1	s35-d48_20_1
s35-d48_1_2				s35-d48_7_2	s35-d48_8_2	s35-d48_9_2			s35-d48_12_2			s35-d48_16_2	s35-d48_17_2	s35-d48_18_2		
		s35-d48_3_2					s35-d48_10_1									s35-d48_20_2
																
																
									s35-d48_12_3				s35-d48_17_3			
s35-d48_1_3	s35-d48_2_2		s35-d48_5_2	s35-d48_7_3	s35-d48_8_3	s35-d48_9_3	s35-d48_10_2	s35-d48_11_2		s35-d48_13_2		s35-d48_16_3		s35-d48_18_3	s35-d48_19_2	
s35-d48_1_4		s35-d48_3_3			s35-d48_8_4				s35-d48_12_4			s35-d48_16_4	s35-d48_17_4			
				s35-d48_7_4		s35-d48_9_4								s35-d48_18_4		
s35-d48_1_5		s35-d48_3_4			s35-d48_8_5				s35-d48_12_5	s35-d48_13_3		s35-d48_16_5	s35-d48_17_5	s35-d48_18_5		
	s35-d48_2_3		s35-d48_5_3	s35-d48_7_5		s35-d48_9_5	s35-d48_10_3								s35-d48_19_3	s35-d48_20_3
																
		s35-d48_3_5														
																
											s35-d48_14_1			s35-d48_18_6		
						s35-d48_9_6				s35-d48_13_4			s35-d48_17_6			s35-d48_20_4
s35-d48_1_6			s35-d48_5_4		s35-d48_8_6	s35-d48_9_7		s35-d48_11_3	s35-d48_12_6			s35-d48_16_6	s35-d48_17_7	s35-d48_18_7	s35-d48_19_4	
																
s35-d48_1_7	s35-d48_2_4	s35-d48_3_6	s35-d48_5_5		s35-d48_8_7	s35-d48_9_8	s35-d48_10_4		s35-d48_12_7	s35-d48_13_5	s35-d48_14_2	s35-d48_16_7	s35-d48_17_8	s35-d48_18_8		s35-d48_20_5
																
																
		s35-d48_3_7									s35-d48_14_3					
		s35-d48_3_8									s35-d48_14_4					
																s35-d48_20_6
											s35-d48_14_5					
								s35-d48_11_4	s35-d48_12_8							
										s35-d48_13_6. s35-d48_13_7						
		s35-d48_3_9			s35-d48_8_8											s35-d48_20_7
s35-d48_1_8									s35-d48_12_9	s35-d48_13_8	s35-d48_14_6	s35-d48_16_8				
				s35-d48_7_6						s35-d48_13_9			s35-d48_17_9	s35-d48_18_9	s35-d48_19_5	
	s35-d48_2_5		s35-d48_5_6			s35-d48_9_9	s35-d48_10_5		s35-d48_12_10		s35-d48_14_7					s35-d48_20_8
						s35-d48_9_10		s35-d48_11_5					s35-d48_17_10	s35-d48_18_10		
		s35-d48_3_10														
						s35-d48_9_11								s35-d48_18_11		s35-d48_20_9
																
																
																
																
						s35-d48_9_12	s35-d48_10_6	s35-d48_11_6								
	s35-d48_2_6		s35-d48_5_7			s35-d48_9_13				s35-d48_13_10	s35-d48_14_8		s35-d48_17_11	s35-d48_18_12	s35-d48_19_6	s35-d48_20_10
