s35-d55_1_1	s35-d55_2_1	s35-d55_3_1	s35-d55_4_1	s35-d55_6_1	s35-d55_7_1	s35-d55_10_1	s35-d55_12_1	s35-d55_13_1	s35-d55_14_1		s35-d55_16_1	s35-d55_17_1	s35-d55_18_1	s35-d55_19_1	s35-d55_20_1
s35-d55_1_2		s35-d55_3_2		s35-d55_6_2		s35-d55_10_2	s35-d55_12_2		s35-d55_14_2	s35-d55_15_1	s35-d55_16_2	s35-d55_17_2	s35-d55_18_2	s35-d55_19_2	s35-d55_20_2
s35-d55_1_3			s35-d55_4_2				s35-d55_12_3		s35-d55_14_3		s35-d55_16_3	s35-d55_17_3	s35-d55_18_3		
								s35-d55_13_2						s35-d55_19_3	
															s35-d55_20_3
			s35-d55_4_3			s35-d55_10_3	s35-d55_12_4		s35-d55_14_4		s35-d55_16_4	s35-d55_17_4	s35-d55_18_4		
															s35-d55_20_4
s35-d55_1_4		s35-d55_3_3		s35-d55_6_3				s35-d55_13_3		s35-d55_15_2				s35-d55_19_4	
s35-d55_1_5	s35-d55_2_2	s35-d55_3_4	s35-d55_4_4	s35-d55_6_4	s35-d55_7_2		s35-d55_12_5	s35-d55_13_4	s35-d55_14_5	s35-d55_15_3	s35-d55_16_5	s35-d55_17_5	s35-d55_18_5	s35-d55_19_5	
															
															
s35-d55_1_6		s35-d55_3_5		s35-d55_6_5			s35-d55_12_6		s35-d55_14_6		s35-d55_16_6	s35-d55_17_6	s35-d55_18_6	s35-d55_19_6	
s35-d55_1_7		s35-d55_3_6	s35-d55_4_5	s35-d55_6_6	s35-d55_7_3	s35-d55_10_4	s35-d55_12_7	s35-d55_13_5	s35-d55_14_7		s35-d55_16_7	s35-d55_17_7	s35-d55_18_7	s35-d55_19_7	s35-d55_20_5
															
s35-d55_1_8		s35-d55_3_7		s35-d55_6_7			s35-d55_12_8	s35-d55_13_6	s35-d55_14_8			s35-d55_17_8	s35-d55_18_8	s35-d55_19_8	
	s35-d55_2_3		s35-d55_4_6							s35-d55_15_4		s35-d55_17_9		s35-d55_19_9	
		s35-d55_3_8	s35-d55_4_7	s35-d55_6_8	s35-d55_7_4		s35-d55_12_9		s35-d55_14_9		s35-d55_16_8		s35-d55_18_9		s35-d55_20_6
															
															
															
															
															
															
															
															
															
															
s35-d55_1_9	s35-d55_2_4	s35-d55_3_9	s35-d55_4_8	s35-d55_6_9			s35-d55_12_10		s35-d55_14_10	s35-d55_15_5	s35-d55_16_9	s35-d55_17_10	s35-d55_18_10	s35-d55_19_10	s35-d55_20_7
s35-d55_1_10			s35-d55_4_9				s35-d55_12_11		s35-d55_14_11						
	s35-d55_2_5	s35-d55_3_10		s35-d55_6_10	s35-d55_7_5	s35-d55_10_5		s35-d55_13_7		s35-d55_15_6	s35-d55_16_10	s35-d55_17_11	s35-d55_18_11		s35-d55_20_8
															
		s35-d55_3_11		s35-d55_6_11			s35-d55_12_12		s35-d55_14_12	s35-d55_15_7		s35-d55_17_12	s35-d55_18_12		s35-d55_20_9
			s35-d55_4_10			s35-d55_10_6	s35-d55_12_13								
											s35-d55_16_11				
															
		s35-d55_3_12	s35-d55_4_11	s35-d55_6_12	s35-d55_7_6		s35-d55_12_14	s35-d55_13_8	s35-d55_14_13	s35-d55_15_8	s35-d55_16_12	s35-d55_17_13	s35-d55_18_13		s35-d55_20_10
		s35-d55_3_13		s35-d55_6_13			s35-d55_12_15						s35-d55_18_14		s35-d55_20_11
	s35-d55_2_6								s35-d55_14_14	s35-d55_15_9	s35-d55_16_13	s35-d55_17_14			s35-d55_20_12
