	s36-d50_3_1	s36-d50_6_1	s36-d50_7_1	s36-d50_8_1	s36-d50_9_1	s36-d50_10_1	s36-d50_12_1		s36-d50_14_1	s36-d50_15_1	s36-d50_16_1	s36-d50_17_1	s36-d50_18_1	s36-d50_19_1	s36-d50_20_1
		s36-d50_6_2	s36-d50_7_2		s36-d50_9_2	s36-d50_10_2	s36-d50_12_2		s36-d50_14_2	s36-d50_15_2	s36-d50_16_2	s36-d50_17_2	s36-d50_18_2	s36-d50_19_2	
s36-d50_2_1	s36-d50_3_2	s36-d50_6_3	s36-d50_7_3		s36-d50_9_3	s36-d50_10_3	s36-d50_12_3	s36-d50_13_1	s36-d50_14_3	s36-d50_15_3	s36-d50_16_3	s36-d50_17_3	s36-d50_18_3	s36-d50_19_3	s36-d50_20_2
										s36-d50_15_4					
		s36-d50_6_4			s36-d50_9_4									s36-d50_19_4	s36-d50_20_3
	s36-d50_3_3														
															
															
s36-d50_2_2		s36-d50_6_5					s36-d50_12_4		s36-d50_14_4	s36-d50_15_5	s36-d50_16_4		s36-d50_18_4		
s36-d50_2_3	s36-d50_3_4		s36-d50_7_4	s36-d50_8_2	s36-d50_9_5	s36-d50_10_4						s36-d50_17_4			s36-d50_20_4
s36-d50_2_4	s36-d50_3_5	s36-d50_6_6	s36-d50_7_5	s36-d50_8_3	s36-d50_9_6	s36-d50_10_5	s36-d50_12_5	s36-d50_13_2	s36-d50_14_5	s36-d50_15_6	s36-d50_16_5	s36-d50_17_5	s36-d50_18_5		
														s36-d50_19_5	
								s36-d50_13_3							
		s36-d50_6_7			s36-d50_9_7										
					s36-d50_9_8				s36-d50_14_6	s36-d50_15_7	s36-d50_16_6				
s36-d50_2_5	s36-d50_3_6	s36-d50_6_8. s36-d50_6_9	s36-d50_7_6	s36-d50_8_4	s36-d50_9_9	s36-d50_10_6			s36-d50_14_7	s36-d50_15_8	s36-d50_16_7	s36-d50_17_6	s36-d50_18_6	s36-d50_19_6	s36-d50_20_5
							s36-d50_12_6	s36-d50_13_4							
		s36-d50_6_10	s36-d50_7_7		s36-d50_9_10	s36-d50_10_7			s36-d50_14_8		s36-d50_16_8	s36-d50_17_7			
														s36-d50_19_7	
			s36-d50_7_8	s36-d50_8_5		s36-d50_10_8			s36-d50_14_9					s36-d50_19_8	
				s36-d50_8_6	s36-d50_9_11				s36-d50_14_10						
															
															
											s36-d50_16_9	s36-d50_17_8	s36-d50_18_7		
		s36-d50_6_11	s36-d50_7_9			s36-d50_10_9			s36-d50_14_11		s36-d50_16_10				
															
															
s36-d50_2_6	s36-d50_3_7	s36-d50_6_12			s36-d50_9_12	s36-d50_10_10	s36-d50_12_7	s36-d50_13_5		s36-d50_15_9					s36-d50_20_6
