		s37-d29_4_1	s37-d29_5_1		s37-d29_7_1			s37-d29_11_1	s37-d29_12_1	s37-d29_13_1	s37-d29_14_1	s37-d29_15_1	s37-d29_16_1	s37-d29_17_1. s37-d29_17_2	s37-d29_18_1	s37-d29_19_1. s37-d29_19_2
							s37-d29_10_1									s37-d29_19_3. s37-d29_19_4
s37-d29_1_1	s37-d29_3_1	s37-d29_4_2	s37-d29_5_2	s37-d29_6_1	s37-d29_7_2	s37-d29_9_1	s37-d29_10_2	s37-d29_11_2	s37-d29_12_2	s37-d29_13_2	s37-d29_14_2	s37-d29_15_2	s37-d29_16_2	s37-d29_17_3	s37-d29_18_2	s37-d29_19_5
											s37-d29_14_3					
	s37-d29_3_2	s37-d29_4_3	s37-d29_5_3		s37-d29_7_3	s37-d29_9_2		s37-d29_11_3		s37-d29_13_3		s37-d29_15_3	s37-d29_16_3		s37-d29_18_3	
s37-d29_1_2				s37-d29_6_2			s37-d29_10_3							s37-d29_17_4		s37-d29_19_6
			s37-d29_5_4									s37-d29_15_4				
			s37-d29_5_5	s37-d29_6_3		s37-d29_9_3. s37-d29_9_4										
s37-d29_1_3			s37-d29_5_6													
		s37-d29_4_4				s37-d29_9_5					s37-d29_14_4	s37-d29_15_5	s37-d29_16_4			
	s37-d29_3_3		s37-d29_5_7	s37-d29_6_4	s37-d29_7_4		s37-d29_10_4	s37-d29_11_4	s37-d29_12_3	s37-d29_13_4				s37-d29_17_5	s37-d29_18_4	s37-d29_19_7
																s37-d29_19_8
s37-d29_1_4		s37-d29_4_5	s37-d29_5_8		s37-d29_7_5	s37-d29_9_6		s37-d29_11_5	s37-d29_12_4	s37-d29_13_5	s37-d29_14_5	s37-d29_15_6	s37-d29_16_5			s37-d29_19_9
																
																
				s37-d29_6_5								s37-d29_15_7				
s37-d29_1_5	s37-d29_3_4	s37-d29_4_6	s37-d29_5_9		s37-d29_7_6	s37-d29_9_7	s37-d29_10_5	s37-d29_11_6	s37-d29_12_5	s37-d29_13_6	s37-d29_14_6		s37-d29_16_6		s37-d29_18_5	s37-d29_19_10
			s37-d29_5_10					s37-d29_11_7	s37-d29_12_6			s37-d29_15_8				s37-d29_19_11
											s37-d29_14_7					
													s37-d29_16_7			s37-d29_19_12
			s37-d29_5_11		s37-d29_7_7				s37-d29_12_7	s37-d29_13_7	s37-d29_14_8	s37-d29_15_9			s37-d29_18_6	s37-d29_19_13
	s37-d29_3_5					s37-d29_9_8	s37-d29_10_6							s37-d29_17_6		s37-d29_19_14
