s37-d39_1_1	s37-d39_2_1	s37-d39_3_1	s37-d39_4_1	s37-d39_5_1	s37-d39_6_1	s37-d39_7_1	s37-d39_10_1	s37-d39_11_1	s37-d39_13_1	s37-d39_14_1	s37-d39_15_1	s37-d39_17_1	s37-d39_18_1	s37-d39_19_1	s37-d39_20_1
s37-d39_1_2							s37-d39_10_2	s37-d39_11_2	s37-d39_13_2			s37-d39_17_2		s37-d39_19_2	
		s37-d39_3_2			s37-d39_6_2						s37-d39_15_2				
s37-d39_1_3	s37-d39_2_2	s37-d39_3_3. s37-d39_3_4	s37-d39_4_2	s37-d39_5_2	s37-d39_6_3	s37-d39_7_2	s37-d39_10_3	s37-d39_11_3	s37-d39_13_3	s37-d39_14_2	s37-d39_15_3	s37-d39_17_3	s37-d39_18_2	s37-d39_19_3	s37-d39_20_2
s37-d39_1_4	s37-d39_2_3		s37-d39_4_3	s37-d39_5_3	s37-d39_6_4		s37-d39_10_4	s37-d39_11_4	s37-d39_13_4	s37-d39_14_3	s37-d39_15_4	s37-d39_17_4	s37-d39_18_3	s37-d39_19_4	s37-d39_20_3
						s37-d39_7_3									
		s37-d39_3_5								s37-d39_14_4					
															
s37-d39_1_5			s37-d39_4_4		s37-d39_6_5			s37-d39_11_5		s37-d39_14_5	s37-d39_15_5	s37-d39_17_5		s37-d39_19_5	
							s37-d39_10_5								
	s37-d39_2_4			s37-d39_5_4		s37-d39_7_4			s37-d39_13_5						s37-d39_20_4
s37-d39_1_6		s37-d39_3_6					s37-d39_10_6		s37-d39_13_6		s37-d39_15_6	s37-d39_17_6			
															
s37-d39_1_7					s37-d39_6_6	s37-d39_7_5	s37-d39_10_7	s37-d39_11_6		s37-d39_14_6	s37-d39_15_7	s37-d39_17_7	s37-d39_18_4	s37-d39_19_6	
							s37-d39_10_8		s37-d39_13_7						
															
s37-d39_1_8	s37-d39_2_5	s37-d39_3_7	s37-d39_4_5			s37-d39_7_6	s37-d39_10_9			s37-d39_14_7		s37-d39_17_8		s37-d39_19_7	s37-d39_20_5
				s37-d39_5_5	s37-d39_6_7			s37-d39_11_7	s37-d39_13_8		s37-d39_15_8				
															
		s37-d39_3_8					s37-d39_10_10		s37-d39_13_9						
s37-d39_1_9					s37-d39_6_8		s37-d39_10_11	s37-d39_11_8		s37-d39_14_8	s37-d39_15_9	s37-d39_17_9	s37-d39_18_5		
															
															
		s37-d39_3_9													
															
															
															
															
			s37-d39_4_6												
s37-d39_1_10	s37-d39_2_6			s37-d39_5_6		s37-d39_7_7		s37-d39_11_9	s37-d39_13_10	s37-d39_14_9		s37-d39_17_10		s37-d39_19_8	s37-d39_20_6
s37-d39_1_11					s37-d39_6_9			s37-d39_11_10		s37-d39_14_10	s37-d39_15_10		s37-d39_18_6		
															
															
s37-d39_1_12		s37-d39_3_10													
															
															
		s37-d39_3_11				s37-d39_7_8									
s37-d39_1_13			s37-d39_4_7							s37-d39_14_11				s37-d39_19_9	
	s37-d39_2_7			s37-d39_5_7	s37-d39_6_10			s37-d39_11_11	s37-d39_13_11			s37-d39_17_11			s37-d39_20_7
s37-d39_1_14					s37-d39_6_11			s37-d39_11_12		s37-d39_14_12	s37-d39_15_11	s37-d39_17_12	s37-d39_18_7	s37-d39_19_10	
					s37-d39_6_12			s37-d39_11_13	s37-d39_13_12		s37-d39_15_12	s37-d39_17_13			
		s37-d39_3_12													
															
															
															
s37-d39_1_15	s37-d39_2_8	s37-d39_3_13	s37-d39_4_8	s37-d39_5_8	s37-d39_6_13	s37-d39_7_9		s37-d39_11_14			s37-d39_15_13	s37-d39_17_14		s37-d39_19_11	s37-d39_20_8
									s37-d39_13_13	s37-d39_14_13		s37-d39_17_15	s37-d39_18_8	s37-d39_19_12	
